arm,dataset,fit,lr,order,reuse_key,seed,mode,status,updates,epochs,active_seconds,validation_seconds,checkpoint_seconds,resume_save_seconds,load_seconds,load_peak,train_peak_allocated,train_peak_reserved,validation_peak_allocated,wall_seconds,historical_steps_path,initial_hash,original_training_cost,trainable,resume_path,frozen_and_buffers_unchanged
LH,traffic,00_traffic_LH_41001_0.001,0.001,0,traffic_41001_LH,41001,REUSE,COMPLETE,1260,20,0.0,2.357719861989608,0.17945372106623836,0.0,0.3253629690152593,221992448,0,0,290763264,3.139638073014794,results/channel_phase_balance_20260916/03_traffic_41001_BALANCED_LH_steps.json,444e696964b9db300ab5e387eab1294a2a626e245eb83bbea534717aa857d31e,REUSED; separate old step records,761952,,
SIDE,traffic,01_traffic_SIDE_41000_0.0003,0.0003,1,,41000,NEW,COMPLETE,1260,20,49.51983084800304,3.3360955699754413,0.15372931704041548,27.28224910533754,0.3241956119891256,222680576,446556160,469762048,339703808,189.20079188299133,,,,761952,.cache/channel_controlled_improvement_v1_20260916/01_traffic_SIDE_41000_0.0003_resume.pt,True
SIDE,electricity,02_electricity_SIDE_41000_0.0003,0.0003,2,,41000,NEW,COMPLETE,1280,20,51.35204173892271,4.62370688887313,0.15640605104272254,28.551171929691918,0.36850427300669253,222680576,446556160,471859200,339703808,197.33354054100346,,,,761952,.cache/channel_controlled_improvement_v1_20260916/02_electricity_SIDE_41000_0.0003_resume.pt,True
LH,electricity,03_electricity_LH_41002_0.0003,0.0003,3,,41002,NEW,COMPLETE,1280,20,59.12648923887173,3.2551607178756967,0.14206511701922864,26.902996222517686,0.3280654909904115,221992448,1121556992,1195376640,299907072,200.32276015897514,,,,761952,.cache/channel_controlled_improvement_v1_20260916/03_electricity_LH_41002_0.0003_resume.pt,True
LH,traffic,04_traffic_LH_41000_0.0003,0.0003,4,,41000,NEW,COMPLETE,1260,20,58.53370134389843,2.4407470859587193,0.1444975270133,26.423739785706857,0.3339513139799237,221992448,1121556992,1195376640,299907072,196.76729254398379,,,,761952,.cache/channel_controlled_improvement_v1_20260916/04_traffic_LH_41000_0.0003_resume.pt,True
LH,traffic,05_traffic_LH_41000_0.001,0.001,5,traffic_41000_LH,41000,REUSE,COMPLETE,1260,20,0.0,2.4110807740944438,0.1839178669906687,0.0,0.3245170160080306,221992448,0,0,290763264,4.0716406060091686,results/channel_phase_balance_20260916/02_traffic_41000_BALANCED_LH_steps.json,f9dd5efaba87dbfdc1743401a3315393378463669d40146dad08c8cc4a35d4d9,REUSED; separate old step records,761952,,
SIDE,traffic,06_traffic_SIDE_41000_0.001,0.001,6,traffic_41000_SIDE,41000,REUSE,COMPLETE,1260,20,0.0,3.208074544003466,0.18624275791808031,0.0,0.3304281140153762,222680576,0,0,330035712,5.044070724019548,results/channel_attention_prior_20260916/04_traffic_41000_SIDE_steps.json,360619303038124fd984c92199c58dd5e736f75655e7bc26b6fa5caa031c207d,REUSED; separate old step records,761952,,
PRIOR,electricity,07_electricity_PRIOR_41002_0.0003,0.0003,7,,41002,NEW,COMPLETE,1280,20,48.971413359977305,4.320673112029908,0.14566864699008875,26.536359446763527,0.33170082297874615,222680576,446556160,471859200,339703808,190.0834703349974,,,,761952,.cache/channel_controlled_improvement_v1_20260916/07_electricity_PRIOR_41002_0.0003_resume.pt,True
SIDE,electricity,08_electricity_SIDE_41001_0.0003,0.0003,8,,41001,NEW,COMPLETE,1280,20,48.706341540644644,4.294980300939642,0.1457451099413447,26.401657151407562,0.3239583649847191,222680576,446556160,471859200,339703808,189.48637390998192,,,,761952,.cache/channel_controlled_improvement_v1_20260916/08_electricity_SIDE_41001_0.0003_resume.pt,True
SIDE,electricity,09_electricity_SIDE_41001_0.001,0.001,9,,41001,NEW,COMPLETE,1280,20,48.5725928141037,4.310415994841605,0.1470761770324316,26.397835488955025,0.34190223101177253,222680576,446556160,471859200,339703808,189.84212222500355,,,,761952,.cache/channel_controlled_improvement_v1_20260916/09_electricity_SIDE_41001_0.001_resume.pt,True
