dataset,panel,arm,policy,seed,channel,mse,mae,raw_mae,valid_count
electricity,E_FIXED,LH,P_MAIN,41000,0,0.3661255935791081,0.32256068746174144,7.9508893629327115,5184
electricity,E_FIXED,LH,P_MAIN,41000,1,0.16543548434757682,0.2686048630683127,7.05670432862303,5184
electricity,E_FIXED,LH,P_MAIN,41000,2,0.0006203458354287356,0.013933385876122356,0.8132771482789629,5184
electricity,E_FIXED,LH,P_MAIN,41000,3,0.143823343020349,0.27727810261821567,42.508076708723856,5184
electricity,E_FIXED,LH,P_MAIN,41000,4,0.2549956929307544,0.3696359618501177,25.752305023375982,5184
electricity,E_FIXED,LH,P_MAIN,41000,5,0.12264252064129848,0.25923808700526146,66.0923302880783,5184
electricity,E_FIXED,LH,P_MAIN,41000,6,0.7404335397135158,0.4284425792275327,12.2165110441825,5184
electricity,E_FIXED,LH,P_MAIN,41000,7,0.19504275730307155,0.3326959162590423,78.89178810728683,5184
electricity,E_FIXED,LH,P_MAIN,41000,8,0.23471137650071885,0.3610821225975761,32.40473659252221,5184
electricity,E_FIXED,LH,P_MAIN,41000,9,0.6159160868921293,0.5666667511368696,59.42894370676894,5184
electricity,E_FIXED,LH,P_MAIN,41000,10,0.16309543701641843,0.295359487051035,15.042018041049785,5184
electricity,E_FIXED,LH,P_MAIN,41000,11,0.3677994339296326,0.41803072009367304,61.7460501084479,5184
electricity,E_FIXED,LH,P_MAIN,41000,12,0.125203767066236,0.2411634479474203,18.41105366202536,5184
electricity,E_FIXED,LH,P_MAIN,41000,13,0.18955142856781476,0.3083059329507458,14.22947300427122,5184
electricity,E_FIXED,LH,P_MAIN,41000,14,0.1292088875116356,0.26681886131637716,14.349587484781864,5184
electricity,E_FIXED,LH,P_MAIN,41000,15,0.2706072385687171,0.3915220792532412,135.58069272319784,5184
electricity,E_FIXED,LH,P_MAIN,41000,16,0.2306304105038745,0.3590865222414536,3.584299855870518,5184
electricity,E_FIXED,LH,P_MAIN,41000,17,0.4180510251079639,0.5134115233264804,22.54749987314239,5184
electricity,E_FIXED,LH,P_MAIN,41000,18,0.10398246854024254,0.23543177173681856,47.986685161073595,5184
electricity,E_FIXED,LH,P_MAIN,41000,19,0.6098656856097333,0.5357312281428025,24.92249641795862,5184
electricity,E_FIXED,LH,P_MAIN,41000,20,0.3207319480182087,0.39781046775924217,5.831865303854228,5184
electricity,E_FIXED,LH,P_MAIN,41000,21,0.19370800782067715,0.32787399920831645,97.98747230631034,5184
electricity,E_FIXED,LH,P_MAIN,41000,22,0.15680817129812025,0.278536202354223,9.683366626924789,5184
electricity,E_FIXED,LH,P_MAIN,41000,23,0.16227623485170864,0.3009617777892861,9.042793954338205,5184
electricity,E_FIXED,LH,P_MAIN,41000,24,0.20487899258214987,0.32918118582677347,28.60038290175445,5184
electricity,E_FIXED,LH,P_MAIN,41000,25,0.4969797822913679,0.46090340529288953,56.30306386214297,5184
electricity,E_FIXED,LH,P_MAIN,41000,26,0.13423163141177194,0.27407101560589736,28.778879086437772,5184
electricity,E_FIXED,LH,P_MAIN,41000,27,0.29931433832618765,0.419387568237855,7.126425412261722,5184
electricity,E_FIXED,LH,P_MAIN,41000,28,0.35194727015700117,0.44090915269528824,56.50321697200986,5184
electricity,E_FIXED,LH,P_MAIN,41000,29,0.5281472221879376,0.5193660808730738,52.173056465583926,5184
electricity,E_FIXED,LH,P_MAIN,41000,30,0.33240897300440414,0.3722735121624103,55.48545907194741,5184
electricity,E_FIXED,LH,P_MAIN,41000,31,0.20280781725119953,0.3342876670196549,39.01175796471869,5184
electricity,E_MIXED,LH,P_MAIN,41000,0,0.3137365101723034,0.30149906116141073,7.431735395860313,5184
electricity,E_MIXED,LH,P_MAIN,41000,1,0.1656693971094819,0.2770715162858121,7.2791376372622825,5184
electricity,E_MIXED,LH,P_MAIN,41000,2,0.0005611989305341204,0.013334850940197982,0.7783412906086393,5184
electricity,E_MIXED,LH,P_MAIN,41000,3,0.13024253135485148,0.26556346836658146,40.712166513576705,5184
electricity,E_MIXED,LH,P_MAIN,41000,4,0.2546138415658392,0.3691337137158068,25.717313711687968,5184
electricity,E_MIXED,LH,P_MAIN,41000,5,0.11231545644793792,0.24743990312212483,63.084402421414474,5184
electricity,E_MIXED,LH,P_MAIN,41000,6,0.6857340429426562,0.40967917229791956,11.681495667336923,5184
electricity,E_MIXED,LH,P_MAIN,41000,7,0.17514753192411922,0.32073698106391313,76.05597998552945,5184
electricity,E_MIXED,LH,P_MAIN,41000,8,0.2316205332668616,0.36010695186295955,32.31722145729298,5184
electricity,E_MIXED,LH,P_MAIN,41000,9,0.6005525111758533,0.5549582841214695,58.20102301836648,5184
electricity,E_MIXED,LH,P_MAIN,41000,10,0.14730361895373142,0.28574622236479674,14.552435321742054,5184
electricity,E_MIXED,LH,P_MAIN,41000,11,0.381298650172417,0.4355569883159604,64.33480204425051,5184
electricity,E_MIXED,LH,P_MAIN,41000,12,0.1175869567597074,0.23997042000916768,18.319974762721127,5184
electricity,E_MIXED,LH,P_MAIN,41000,13,0.18430440064267192,0.3094682296048121,14.283117346122511,5184
electricity,E_MIXED,LH,P_MAIN,41000,14,0.12891076357506612,0.26271161795254255,14.12869887263555,5184
electricity,E_MIXED,LH,P_MAIN,41000,15,0.277643628504001,0.39459287446664315,136.64408241258195,5184
electricity,E_MIXED,LH,P_MAIN,41000,16,0.2203903461018532,0.3510015366356791,3.5035978218298003,5184
electricity,E_MIXED,LH,P_MAIN,41000,17,0.427138803265744,0.5243868144387329,23.02950186125096,5184
electricity,E_MIXED,LH,P_MAIN,41000,18,0.10245478128744337,0.23269825184042142,47.429527740551045,5184
electricity,E_MIXED,LH,P_MAIN,41000,19,0.541350755191312,0.5089075669809657,23.67464569710384,5184
electricity,E_MIXED,LH,P_MAIN,41000,20,0.30501103581107764,0.4057798061586692,5.948695080526719,5184
electricity,E_MIXED,LH,P_MAIN,41000,21,0.1800838316948564,0.31645723801557324,94.57549217399459,5184
electricity,E_MIXED,LH,P_MAIN,41000,22,0.14783460539317145,0.2723392448164372,9.46792816218421,5184
electricity,E_MIXED,LH,P_MAIN,41000,23,0.15161702231992763,0.2897134095342883,8.704821879612892,5184
electricity,E_MIXED,LH,P_MAIN,41000,24,0.20182869092889857,0.32682917924588156,28.39603255702863,5184
electricity,E_MIXED,LH,P_MAIN,41000,25,0.5257289289586606,0.486732108939611,59.458248081217256,5184
electricity,E_MIXED,LH,P_MAIN,41000,26,0.12646148436931692,0.26659116690782947,27.993456152200604,5184
electricity,E_MIXED,LH,P_MAIN,41000,27,0.3069938725681425,0.4168300543228893,7.082966965859973,5184
electricity,E_MIXED,LH,P_MAIN,41000,28,0.33223390839288125,0.42828406516267103,54.885291701497074,5184
electricity,E_MIXED,LH,P_MAIN,41000,29,0.5397621852231442,0.5305313784575211,53.29466937559369,5184
electricity,E_MIXED,LH,P_MAIN,41000,30,0.33637680383988805,0.3780498889384798,56.34639842627066,5184
electricity,E_MIXED,LH,P_MAIN,41000,31,0.19142973371849936,0.33417301574131053,38.99837802772911,5184
electricity,E_FIXED,LH,P_VFIXED,41000,0,0.35649887724494755,0.31737144368292514,7.822978229411368,5184
electricity,E_FIXED,LH,P_VFIXED,41000,1,0.17269570865865677,0.2789617553356454,7.328797416064196,5184
