fit,dataset,arm,seed,lr,epoch,mse,mae
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,0,1.0306974713457309,0.7308741210698226
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,1,0.3676019908006414,0.3603357077075926
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,2,0.3563070784766853,0.3345969953619767
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,3,0.32511975050061365,0.3272850816141241
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,4,0.307324998010779,0.3151487746892203
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,5,0.31062685083514174,0.3130563781926173
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,6,0.29833056302569355,0.2939550418089475
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,7,0.29606418573247506,0.28811179398721504
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,8,0.28676473004604736,0.29432477083824016
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,9,0.2858712353901706,0.2872594571571375
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,10,0.2837577906658164,0.2837418457232217
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,11,0.2835151046027174,0.28193864735599516
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,12,0.2835785493678944,0.2786361134558506
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,13,0.2813196471928895,0.2806331888440199
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,14,0.2793184911324115,0.2762427335315852
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,15,0.2820091602392463,0.28020109563690954
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,16,0.2770869008083541,0.27932471784198654
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,17,0.2758529558912554,0.27416170988273236
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,18,0.2754800487833187,0.2728190031878652
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,19,0.27694344812096383,0.2735420476628424
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,20,0.27635981336106646,0.2743689842019511
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,0,0.9800923596408937,0.7028393650113227
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,1,0.42720246855919153,0.3845082983475944
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,2,0.36176793324045087,0.3434667802040984
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,3,0.3377525249065332,0.32685037553995183
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,4,0.3399179431455568,0.34524678697955125
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,5,0.3240167646004901,0.3241537196132319
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,6,0.31188187111630955,0.30679790698194176
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,7,0.3053318964736747,0.30333997251212763
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,8,0.3107371682151069,0.307009803239086
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,9,0.3041145225573169,0.2995786297694446
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,10,0.3068938755614795,0.30745188206333374
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,11,0.30478703858763045,0.2999157100029627
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,12,0.2990373701987285,0.29851982220758905
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,13,0.30173438501337,0.2982706165207303
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,14,0.2987135958276324,0.2957793726716194
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,15,0.2983131820978697,0.2992992997009083
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,16,0.2962962243661107,0.2960496695518158
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,17,0.2953570762613178,0.29532545192202914
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,18,0.296306209896647,0.2962536040021091
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,19,0.29606582189769853,0.29371336249196706
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,20,0.2959591893389564,0.2953483966914937
02_electricity_SIDE_41000_0.0003,electricity,SIDE,41000,0.0003,0,0.848024961321334,0.7044639315070468
02_electricity_SIDE_41000_0.0003,electricity,SIDE,41000,0.0003,1,0.33968813562970246,0.4033676580080671
02_electricity_SIDE_41000_0.0003,electricity,SIDE,41000,0.0003,2,0.32723358973301253,0.39219178756340967
