dataset,panel,kind,arm,policy,baseline,baseline_policy,mse,baseline_mse,gain_pct,ci_low,ci_high,all_seed_positive,gain_41000,gain_41001,gain_41002,replicates,seed,blocks,origin_count,denominator,interpretation
electricity,E_FIXED,LR_SELECTION,LH,P_MAIN,LH,P_LR_FIXED,0.2746258657670528,0.2746258657670528,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_FIXED,V_PANEL_SELECTION,LH,P_MAIN,LH,P_VFIXED,0.2746258657670528,0.27533382288738645,0.25712682623203487,0.08252890561618184,0.45718906038998364,False,0.8206636340058152,0.0,-0.05861658437507503,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_FIXED,LR_SELECTION,SIDE,P_MAIN,SIDE,P_LR_FIXED,0.2791603785475429,0.2791603785475429,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_FIXED,V_PANEL_SELECTION,SIDE,P_MAIN,SIDE,P_VFIXED,0.2791603785475429,0.2791418191388004,-0.00664873819328551,-0.17566738213212416,0.1417236086020843,False,-0.019969790673183777,0.0,0.0,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_FIXED,LR_SELECTION,PRIOR,P_MAIN,PRIOR,P_LR_FIXED,0.2784510329677646,0.2784510329677646,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_FIXED,V_PANEL_SELECTION,PRIOR,P_MAIN,PRIOR,P_VFIXED,0.2784510329677646,0.27967404635445975,0.4372995644884116,0.07855143076642758,0.8128538453594671,False,0.8804889281481921,0.0,0.42041504704956084,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_FIXED,COMPONENT,PRIOR,P_MAIN,SIDE,P_MAIN,0.2784510329677646,0.2791603785475429,0.2540996625198022,-0.4447252247762472,1.0825184704686772,False,-0.5109334138304248,0.7893661102828369,0.4841408188830707,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_FIXED,ACCURACY_TRADEOFF,PRIOR,P_MAIN,LH,P_MAIN,0.2784510329677646,0.2746258657670528,-1.392864867272349,-2.569821351263301,0.0896828341198275,False,-1.5555498986015956,-0.30181956550601785,-2.3273436203732607,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_FIXED,ACCURACY_TRADEOFF,SIDE,P_MAIN,LH,P_MAIN,0.2791603785475429,0.2746258657670528,-1.6511601220900434,-3.294623715901324,-0.1666378864599427,False,-1.0393063215025624,-1.0998676583417661,-2.825162202679157,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_FIXED,COMPONENT,PRIOR,P_LAST20,SIDE,P_LAST20,0.27991282127073785,0.28020934942327946,0.10582378966009383,-0.8883616906380319,1.071868859276564,False,-0.19243865274846936,0.7893661102828369,-0.27156511817759094,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_FIXED,ACCURACY_TRADEOFF,PRIOR,P_LAST20,LH,P_LAST20,0.27991282127073785,0.27471890168796737,-1.8906305867041775,-3.3381979510362103,-0.16103986396225006,False,-2.0844932990559895,-0.30181956550601785,-3.29906657073977,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_FIXED,ACCURACY_TRADEOFF,SIDE,P_LAST20,LH,P_LAST20,0.28020934942327946,0.27471890168796737,-1.9985693381769147,-3.589500798632524,-0.7567423217547389,False,-1.8884205951559774,-1.0998676583417661,-3.019302081296966,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,LR_SELECTION,LH,P_MAIN,LH,P_LR_FIXED,0.26865472044556377,0.26865472044556377,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,V_PANEL_SELECTION,LH,P_MAIN,LH,P_VFIXED,0.26865472044556377,0.26962068176674114,0.3582667749549965,0.15833118938881868,0.5653238208415404,False,1.463349214451367,0.0,-0.4010887491324886,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,LR_SELECTION,SIDE,P_MAIN,SIDE,P_LR_FIXED,0.2764745877119996,0.2764745877119996,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,V_PANEL_SELECTION,SIDE,P_MAIN,SIDE,P_VFIXED,0.2764745877119996,0.2762380665195454,-0.08562222992444582,-0.28833379885090804,0.12323931429562664,False,-0.2564137495378049,0.0,0.0,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,LR_SELECTION,PRIOR,P_MAIN,PRIOR,P_LR_FIXED,0.2761617887038429,0.2761617887038429,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,V_PANEL_SELECTION,PRIOR,P_MAIN,PRIOR,P_VFIXED,0.2761617887038429,0.2770389313853822,0.3166135088498267,0.005302614651880741,0.7368563328408703,False,0.392614867677837,0.0,0.551760196290825,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,COMPONENT,PRIOR,P_MAIN,SIDE,P_MAIN,0.2761617887038429,0.2764745877119996,0.11313843009780229,-0.7397792875821814,1.0524488733170323,False,0.7827941055697947,1.2297190890566327,-1.6969256068260985,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,ACCURACY_TRADEOFF,PRIOR,P_MAIN,LH,P_MAIN,0.2761617887038429,0.26865472044556377,-2.794318389726656,-4.324860541042666,-1.1082980101405049,False,-3.09581468903921,-0.9875267948274392,-4.331261391557129,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,ACCURACY_TRADEOFF,SIDE,P_MAIN,LH,P_MAIN,0.2764745877119996,0.26865472044556377,-2.9107499966747676,-4.698160602478844,-1.0441734220967247,False,-3.909209858959291,-2.2448512482041645,-2.5903789804971344,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,COMPONENT,PRIOR,P_LAST20,SIDE,P_LAST20,0.27708959219719165,0.27689068476513834,-0.07183608658486412,-0.9422021736447947,0.8481132487828319,False,0.6899860600722495,1.2297190890566327,-2.167749127734361,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,ACCURACY_TRADEOFF,PRIOR,P_LAST20,LH,P_LAST20,0.27708959219719165,0.2695632455245984,-2.792052253988172,-4.238840176414314,-1.4146986503177068,False,-2.4345721880182203,-0.9875267948274392,-4.994681234145777,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
electricity,E_MIXED,ACCURACY_TRADEOFF,SIDE,P_LAST20,LH,P_LAST20,0.27689068476513834,0.2695632455245984,-2.7182634733010227,-4.472150761725143,-0.8291032565716236,False,-3.146267052163041,-2.2448512482041645,-2.7669515385692494,2000,65016,8,54,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
traffic,E_FIXED,LR_SELECTION,LH,P_MAIN,LH,P_LR_FIXED,0.3855144335830374,0.3855144335830374,0.0,0.0,0.0,False,0.0,0.0,0.0,2000,65017,8,36,"resampled finite target counts per channel and seed, then equal-channel mean; three-seed score mean before gain",descriptive reused-development block CI; overlapping targets; phase-time correlation; selection bias remains
