dataset,arm,seed,policy,panel,fit,lr,epoch,updates,checkpoint_path,checkpoint_sha256,prediction_path,prediction_sha256,seconds,peak_allocated,peak_reserved,exposure,mse,mae,raw_mae
electricity,LH,41000,P_MAIN,E_MIXED,17_electricity_LH_41000_0.001,0.001,17,1088,.cache/channel_phase_balance_20260916/00_electricity_41000_BALANCED_LH_17.pt,ea0005c0f7fdb9f8d09385007edc2cec93f1254ccdc573aa8ed908c9171f8149,.cache/channel_controlled_improvement_v1_20260916/E_MIXED_17_electricity_LH_41000_0.001_17.npz,7a186c61210ed141b1b1a6a3625b971a1a45758a9a90a712fd1e51324dadbc02,0.1451218139845878,290763264,325058560,DISCOVERY_REUSED_PERIODS,0.26699807383008906,0.34740234318090873,35.25973686135753
electricity,LH,41000,P_VFIXED,E_MIXED,17_electricity_LH_41000_0.001,0.001,16,1024,.cache/channel_phase_balance_20260916/00_electricity_41000_BALANCED_LH_16.pt,4808f436aa3d21526fb72ac3969d2bdadc0d3b6d0a7cbddd916fe7d4150a0ce7,.cache/channel_controlled_improvement_v1_20260916/E_MIXED_17_electricity_LH_41000_0.001_16.npz,c240903f48464128e1990c38b4facc5158e58cd1607ebc89c659ed8e24b7e5e8,0.14958348599611782,290763264,325058560,DISCOVERY_REUSED_PERIODS,0.27096321186232863,0.35015480186095166,35.526244713620265
electricity,LH,41000,P_LR_FIXED,E_MIXED,17_electricity_LH_41000_0.001,0.001,17,1088,.cache/channel_phase_balance_20260916/00_electricity_41000_BALANCED_LH_17.pt,ea0005c0f7fdb9f8d09385007edc2cec93f1254ccdc573aa8ed908c9171f8149,.cache/channel_controlled_improvement_v1_20260916/E_MIXED_17_electricity_LH_41000_0.001_17.npz,7a186c61210ed141b1b1a6a3625b971a1a45758a9a90a712fd1e51324dadbc02,0.1451218139845878,290763264,325058560,DISCOVERY_REUSED_PERIODS,0.26699807383008906,0.34740234318090873,35.25973686135753
electricity,LH,41000,P_LAST20,E_MIXED,17_electricity_LH_41000_0.001,0.001,20,1280,.cache/channel_phase_balance_20260916/00_electricity_41000_BALANCED_LH_20.pt,b5f837aa002942831f029410875337296715575a88366e70217d9983b954bfec,.cache/channel_controlled_improvement_v1_20260916/E_MIXED_17_electricity_LH_41000_0.001_20.npz,032bc64b371ccde3df66d8ad830e2cc09660a727201ba8ce2e94ca092cd21090,0.1482993859972339,290763264,325058560,DISCOVERY_REUSED_PERIODS,0.27032461611025793,0.3503089427919752,35.58850442318896
electricity,LH,41001,P_MAIN,E_MIXED,31_electricity_LH_41001_0.001,0.001,20,1280,.cache/channel_controlled_improvement_v1_20260916/31_electricity_LH_41001_0.001_20.pt,62728bee53d0d9bbe44dfc54d9b579c9f2320243e6bda0af85aa3cba907af320,.cache/channel_controlled_improvement_v1_20260916/E_MIXED_31_electricity_LH_41001_0.001_20.npz,87fd98410b05d21ca63aa62f7fe79119e05068758b6eb5b8a8bcc735f60f0fd6,0.15092656799242832,290763264,325058560,DISCOVERY_REUSED_PERIODS,0.2718095773777832,0.3498860078612407,35.53232904190377
electricity,LH,41001,P_VFIXED,E_MIXED,31_electricity_LH_41001_0.001,0.001,20,1280,.cache/channel_controlled_improvement_v1_20260916/31_electricity_LH_41001_0.001_20.pt,62728bee53d0d9bbe44dfc54d9b579c9f2320243e6bda0af85aa3cba907af320,.cache/channel_controlled_improvement_v1_20260916/E_MIXED_31_electricity_LH_41001_0.001_20.npz,87fd98410b05d21ca63aa62f7fe79119e05068758b6eb5b8a8bcc735f60f0fd6,0.15092656799242832,290763264,325058560,DISCOVERY_REUSED_PERIODS,0.2718095773777832,0.3498860078612407,35.53232904190377
electricity,LH,41001,P_LR_FIXED,E_MIXED,31_electricity_LH_41001_0.001,0.001,20,1280,.cache/channel_controlled_improvement_v1_20260916/31_electricity_LH_41001_0.001_20.pt,62728bee53d0d9bbe44dfc54d9b579c9f2320243e6bda0af85aa3cba907af320,.cache/channel_controlled_improvement_v1_20260916/E_MIXED_31_electricity_LH_41001_0.001_20.npz,87fd98410b05d21ca63aa62f7fe79119e05068758b6eb5b8a8bcc735f60f0fd6,0.15092656799242832,290763264,325058560,DISCOVERY_REUSED_PERIODS,0.2718095773777832,0.3498860078612407,35.53232904190377
electricity,LH,41001,P_LAST20,E_MIXED,31_electricity_LH_41001_0.001,0.001,20,1280,.cache/channel_controlled_improvement_v1_20260916/31_electricity_LH_41001_0.001_20.pt,62728bee53d0d9bbe44dfc54d9b579c9f2320243e6bda0af85aa3cba907af320,.cache/channel_controlled_improvement_v1_20260916/E_MIXED_31_electricity_LH_41001_0.001_20.npz,87fd98410b05d21ca63aa62f7fe79119e05068758b6eb5b8a8bcc735f60f0fd6,0.15092656799242832,290763264,325058560,DISCOVERY_REUSED_PERIODS,0.2718095773777832,0.3498860078612407,35.53232904190377
electricity,LH,41002,P_MAIN,E_MIXED,29_electricity_LH_41002_0.001,0.001,16,1024,.cache/channel_controlled_improvement_v1_20260916/29_electricity_LH_41002_0.001_16.pt,fddf6a224b44a96b879bdfeeec712224d370ece78cea5aa909f9daa77fcd82a2,.cache/channel_controlled_improvement_v1_20260916/E_MIXED_29_electricity_LH_41002_0.001_16.npz,5bded1279bbf82a6d5c40de21ef3bb36b7456d4c8f657968fca1160cf9384bbe,0.15034014100092463,290763264,325058560,DISCOVERY_REUSED_PERIODS,0.267156510128819,0.3476308231852248,35.34270665069158
electricity,LH,41002,P_VFIXED,E_MIXED,29_electricity_LH_41002_0.001,0.001,19,1216,.cache/channel_controlled_improvement_v1_20260916/29_electricity_LH_41002_0.001_19.pt,52d36d6957e6fb692870a07213585c6a346e69ce8414f2d11563cad06cebb95d,.cache/channel_controlled_improvement_v1_20260916/E_MIXED_29_electricity_LH_41002_0.001_19.npz,fa5d3dbd649a7a2bb8deac3253a13f83c5709bc8369954941b4fd0e08548ba94,0.14663435399415903,290763264,325058560,DISCOVERY_REUSED_PERIODS,0.2660892560601116,0.34713772528118914,35.28462856705117
