dataset,option,baseline,seed,mse,lh_mse,accuracy_gain_pct,training_memory_saving_pct,step_time_saving_pct
electricity,SIDE-fast,LH-current,41000,0.2774355888554863,0.26699807383008906,-3.909209858959284,60.31726987692494,24.57517918831228
electricity,PRIOR-current,LH-current,41000,0.2752638394191727,0.26699807383008906,-3.0958146890392113,60.21216408000266,14.030042441843927
electricity,LH-native-checkpoint,LH-current,41000,0.26699807383008906,0.26699807383008906,0.0,62.480104485380764,-53.356718894333866
traffic,SIDE-fast,LH-current,41000,0.4010883874946094,0.3884478796858796,-3.254106527483591,60.31726987692494,25.583317781165082
traffic,PRIOR-current,LH-current,41000,0.4057436314796097,0.3884478796858796,-4.452528305140024,60.21216408000266,14.955720424184005
traffic,LH-native-checkpoint,LH-current,41000,0.3884478796858796,0.3884478796858796,0.0,62.480104485380764,-46.3094380783595
