dataset,panel,arm,policy,seed,epoch,lr,mse,mae,raw_mae
electricity,E_FIXED,LH,P_MAIN,41000,17,0.001,0.27599946601209235,0.35064256456205467,35.5638487053399
electricity,E_FIXED,LH,P_VFIXED,41000,16,0.001,0.2782832353239307,0.3536111853314478,35.85855305994083
electricity,E_FIXED,LH,P_LR_FIXED,41000,17,0.001,0.27599946601209235,0.35064256456205467,35.5638487053399
electricity,E_FIXED,LH,P_LAST20,41000,20,0.001,0.27724365641714754,0.3523690738835319,35.6811345982103
electricity,E_FIXED,LH,P_MAIN,41001,20,0.001,0.2749320371758206,0.351815148635254,35.6790662933287
electricity,E_FIXED,LH,P_VFIXED,41001,20,0.001,0.2749320371758206,0.351815148635254,35.6790662933287
electricity,E_FIXED,LH,P_LR_FIXED,41001,20,0.001,0.2749320371758206,0.351815148635254,35.6790662933287
electricity,E_FIXED,LH,P_LAST20,41001,20,0.001,0.2749320371758206,0.351815148635254,35.6790662933287
electricity,E_FIXED,LH,P_MAIN,41002,16,0.001,0.2729460941132453,0.35009051068516817,35.571786147819225
electricity,E_FIXED,LH,P_VFIXED,41002,19,0.001,0.2727861961624082,0.34994132973004566,35.53125212336765
electricity,E_FIXED,LH,P_LR_FIXED,41002,16,0.001,0.2729460941132453,0.35009051068516817,35.571786147819225
electricity,E_FIXED,LH,P_LAST20,41002,20,0.001,0.2719810114709339,0.3494001373934047,35.477550063993405
electricity,E_FIXED,SIDE,P_MAIN,41000,17,0.001,0.27886794590966935,0.35597525497629046,36.147856207132236
electricity,E_FIXED,SIDE,P_VFIXED,41000,18,0.001,0.2788122676834418,0.3576946431275915,36.2806402463025
electricity,E_FIXED,SIDE,P_LR_FIXED,41000,17,0.001,0.27886794590966935,0.35597525497629046,36.147856207132236
electricity,E_FIXED,SIDE,P_LAST20,41000,20,0.001,0.28247918272369243,0.35948466758928094,36.44725111414995
electricity,E_FIXED,SIDE,P_MAIN,41001,20,0.001,0.2779559257351376,0.35740099322640845,36.38477905071133
electricity,E_FIXED,SIDE,P_VFIXED,41001,20,0.001,0.2779559257351376,0.35740099322640845,36.38477905071133
electricity,E_FIXED,SIDE,P_LR_FIXED,41001,20,0.001,0.2779559257351376,0.35740099322640845,36.38477905071133
electricity,E_FIXED,SIDE,P_LAST20,41001,20,0.001,0.2779559257351376,0.35740099322640845,36.38477905071133
electricity,E_FIXED,SIDE,P_MAIN,41002,19,0.001,0.28065726399782176,0.358481068086694,36.14362770600387
electricity,E_FIXED,SIDE,P_VFIXED,41002,19,0.001,0.28065726399782176,0.358481068086694,36.14362770600387
electricity,E_FIXED,SIDE,P_LR_FIXED,41002,19,0.001,0.28065726399782176,0.358481068086694,36.14362770600387
electricity,E_FIXED,SIDE,P_LAST20,41002,20,0.001,0.28019293981100835,0.3573182480008028,36.09256090279548
electricity,E_FIXED,PRIOR,P_MAIN,41000,15,0.001,0.2802927754257844,0.3574800343353871,36.299056446515316
electricity,E_FIXED,PRIOR,P_VFIXED,41000,18,0.001,0.2827826453084499,0.3611099360046032,36.6600577306772
electricity,E_FIXED,PRIOR,P_LR_FIXED,41000,15,0.001,0.2802927754257844,0.3574800343353871,36.299056446515316
electricity,E_FIXED,PRIOR,P_LAST20,41000,20,0.001,0.2830227818572208,0.36037798515474484,36.540348013219116
electricity,E_FIXED,PRIOR,P_MAIN,41001,20,0.001,0.2757618358558615,0.3553235832330275,36.171103377900906
electricity,E_FIXED,PRIOR,P_VFIXED,41001,20,0.001,0.2757618358558615,0.3553235832330275,36.171103377900906
electricity,E_FIXED,PRIOR,P_LR_FIXED,41001,20,0.001,0.2757618358558615,0.3553235832330275,36.171103377900906
