fit,panel,best_epoch,status
00_traffic_LH_41001_0.001,V_FIXED,18,FIXED20_COMPLETE
00_traffic_LH_41001_0.001,V_MIXED,20,BUDGET_LIMITED
01_traffic_SIDE_41000_0.0003,V_FIXED,17,FIXED20_COMPLETE
01_traffic_SIDE_41000_0.0003,V_MIXED,15,FIXED20_COMPLETE
02_electricity_SIDE_41000_0.0003,V_FIXED,18,FIXED20_COMPLETE
02_electricity_SIDE_41000_0.0003,V_MIXED,18,FIXED20_COMPLETE
03_electricity_LH_41002_0.0003,V_FIXED,19,FIXED20_COMPLETE
03_electricity_LH_41002_0.0003,V_MIXED,17,FIXED20_COMPLETE
04_traffic_LH_41000_0.0003,V_FIXED,17,FIXED20_COMPLETE
04_traffic_LH_41000_0.0003,V_MIXED,19,FIXED20_COMPLETE
05_traffic_LH_41000_0.001,V_FIXED,17,FIXED20_COMPLETE
05_traffic_LH_41000_0.001,V_MIXED,20,BUDGET_LIMITED
06_traffic_SIDE_41000_0.001,V_FIXED,20,BUDGET_LIMITED
06_traffic_SIDE_41000_0.001,V_MIXED,17,FIXED20_COMPLETE
07_electricity_PRIOR_41002_0.0003,V_FIXED,13,FIXED20_COMPLETE
07_electricity_PRIOR_41002_0.0003,V_MIXED,17,FIXED20_COMPLETE
08_electricity_SIDE_41001_0.0003,V_FIXED,17,FIXED20_COMPLETE
08_electricity_SIDE_41001_0.0003,V_MIXED,20,BUDGET_LIMITED
09_electricity_SIDE_41001_0.001,V_FIXED,20,BUDGET_LIMITED
09_electricity_SIDE_41001_0.001,V_MIXED,20,BUDGET_LIMITED
10_traffic_PRIOR_41000_0.0003,V_FIXED,19,FIXED20_COMPLETE
10_traffic_PRIOR_41000_0.0003,V_MIXED,17,FIXED20_COMPLETE
11_electricity_LH_41000_0.0003,V_FIXED,18,FIXED20_COMPLETE
11_electricity_LH_41000_0.0003,V_MIXED,18,FIXED20_COMPLETE
12_electricity_PRIOR_41001_0.001,V_FIXED,20,BUDGET_LIMITED
12_electricity_PRIOR_41001_0.001,V_MIXED,20,BUDGET_LIMITED
13_traffic_PRIOR_41000_0.001,V_FIXED,18,FIXED20_COMPLETE
13_traffic_PRIOR_41000_0.001,V_MIXED,15,FIXED20_COMPLETE
14_traffic_PRIOR_41002_0.001,V_FIXED,19,FIXED20_COMPLETE
14_traffic_PRIOR_41002_0.001,V_MIXED,20,BUDGET_LIMITED
15_electricity_SIDE_41000_0.001,V_FIXED,18,FIXED20_COMPLETE
15_electricity_SIDE_41000_0.001,V_MIXED,17,FIXED20_COMPLETE
16_electricity_PRIOR_41001_0.0003,V_FIXED,17,FIXED20_COMPLETE
16_electricity_PRIOR_41001_0.0003,V_MIXED,20,BUDGET_LIMITED
17_electricity_LH_41000_0.001,V_FIXED,16,FIXED20_COMPLETE
17_electricity_LH_41000_0.001,V_MIXED,17,FIXED20_COMPLETE
18_traffic_SIDE_41001_0.0003,V_FIXED,20,BUDGET_LIMITED
18_traffic_SIDE_41001_0.0003,V_MIXED,20,BUDGET_LIMITED
19_traffic_SIDE_41002_0.0003,V_FIXED,19,FIXED20_COMPLETE
19_traffic_SIDE_41002_0.0003,V_MIXED,18,FIXED20_COMPLETE
20_traffic_SIDE_41001_0.001,V_FIXED,16,FIXED20_COMPLETE
20_traffic_SIDE_41001_0.001,V_MIXED,20,BUDGET_LIMITED
21_traffic_LH_41002_0.0003,V_FIXED,19,FIXED20_COMPLETE
21_traffic_LH_41002_0.0003,V_MIXED,20,BUDGET_LIMITED
22_electricity_PRIOR_41002_0.001,V_FIXED,18,FIXED20_COMPLETE
22_electricity_PRIOR_41002_0.001,V_MIXED,16,FIXED20_COMPLETE
23_electricity_SIDE_41002_0.0003,V_FIXED,13,FIXED20_COMPLETE
23_electricity_SIDE_41002_0.0003,V_MIXED,17,FIXED20_COMPLETE
24_traffic_PRIOR_41001_0.001,V_FIXED,16,FIXED20_COMPLETE
24_traffic_PRIOR_41001_0.001,V_MIXED,20,BUDGET_LIMITED
25_electricity_LH_41001_0.0003,V_FIXED,20,BUDGET_LIMITED
25_electricity_LH_41001_0.0003,V_MIXED,20,BUDGET_LIMITED
26_traffic_SIDE_41002_0.001,V_FIXED,19,FIXED20_COMPLETE
26_traffic_SIDE_41002_0.001,V_MIXED,18,FIXED20_COMPLETE
27_electricity_SIDE_41002_0.001,V_FIXED,19,FIXED20_COMPLETE
27_electricity_SIDE_41002_0.001,V_MIXED,19,FIXED20_COMPLETE
28_electricity_PRIOR_41000_0.0003,V_FIXED,19,FIXED20_COMPLETE
28_electricity_PRIOR_41000_0.0003,V_MIXED,18,FIXED20_COMPLETE
29_electricity_LH_41002_0.001,V_FIXED,19,FIXED20_COMPLETE
29_electricity_LH_41002_0.001,V_MIXED,16,FIXED20_COMPLETE
30_traffic_LH_41001_0.0003,V_FIXED,18,FIXED20_COMPLETE
30_traffic_LH_41001_0.0003,V_MIXED,20,BUDGET_LIMITED
31_electricity_LH_41001_0.001,V_FIXED,20,BUDGET_LIMITED
31_electricity_LH_41001_0.001,V_MIXED,20,BUDGET_LIMITED
32_traffic_PRIOR_41002_0.0003,V_FIXED,19,FIXED20_COMPLETE
32_traffic_PRIOR_41002_0.0003,V_MIXED,20,BUDGET_LIMITED
33_electricity_PRIOR_41000_0.001,V_FIXED,18,FIXED20_COMPLETE
33_electricity_PRIOR_41000_0.001,V_MIXED,15,FIXED20_COMPLETE
34_traffic_PRIOR_41001_0.0003,V_FIXED,20,BUDGET_LIMITED
34_traffic_PRIOR_41001_0.0003,V_MIXED,20,BUDGET_LIMITED
35_traffic_LH_41002_0.001,V_FIXED,19,FIXED20_COMPLETE
35_traffic_LH_41002_0.001,V_MIXED,20,BUDGET_LIMITED
