dataset,panel,arm,policy,seed,phase,origins,mse,mae
electricity,E_FIXED,LH,P_MAIN,41000,19,54,0.27599946601209235,0.35064256456205467
electricity,E_FIXED,LH,P_VFIXED,41000,19,54,0.2782832353239307,0.3536111853314478
electricity,E_FIXED,LH,P_LR_FIXED,41000,19,54,0.27599946601209235,0.35064256456205467
electricity,E_FIXED,LH,P_LAST20,41000,19,54,0.27724365641714754,0.3523690738835319
electricity,E_FIXED,LH,P_MAIN,41001,19,54,0.2749320371758206,0.351815148635254
electricity,E_FIXED,LH,P_VFIXED,41001,19,54,0.2749320371758206,0.351815148635254
electricity,E_FIXED,LH,P_LR_FIXED,41001,19,54,0.2749320371758206,0.351815148635254
electricity,E_FIXED,LH,P_LAST20,41001,19,54,0.2749320371758206,0.351815148635254
electricity,E_FIXED,LH,P_MAIN,41002,19,54,0.2729460941132453,0.35009051068516817
electricity,E_FIXED,LH,P_VFIXED,41002,19,54,0.2727861961624082,0.34994132973004566
electricity,E_FIXED,LH,P_LR_FIXED,41002,19,54,0.2729460941132453,0.35009051068516817
electricity,E_FIXED,LH,P_LAST20,41002,19,54,0.2719810114709339,0.3494001373934047
electricity,E_FIXED,SIDE,P_MAIN,41000,19,54,0.27886794590966935,0.35597525497629046
electricity,E_FIXED,SIDE,P_VFIXED,41000,19,54,0.2788122676834418,0.3576946431275915
electricity,E_FIXED,SIDE,P_LR_FIXED,41000,19,54,0.27886794590966935,0.35597525497629046
electricity,E_FIXED,SIDE,P_LAST20,41000,19,54,0.28247918272369243,0.35948466758928094
electricity,E_FIXED,SIDE,P_MAIN,41001,19,54,0.2779559257351376,0.35740099322640845
electricity,E_FIXED,SIDE,P_VFIXED,41001,19,54,0.2779559257351376,0.35740099322640845
electricity,E_FIXED,SIDE,P_LR_FIXED,41001,19,54,0.2779559257351376,0.35740099322640845
electricity,E_FIXED,SIDE,P_LAST20,41001,19,54,0.2779559257351376,0.35740099322640845
electricity,E_FIXED,SIDE,P_MAIN,41002,19,54,0.28065726399782176,0.358481068086694
electricity,E_FIXED,SIDE,P_VFIXED,41002,19,54,0.28065726399782176,0.358481068086694
electricity,E_FIXED,SIDE,P_LR_FIXED,41002,19,54,0.28065726399782176,0.358481068086694
electricity,E_FIXED,SIDE,P_LAST20,41002,19,54,0.28019293981100835,0.3573182480008028
electricity,E_FIXED,PRIOR,P_MAIN,41000,19,54,0.2802927754257844,0.3574800343353871
electricity,E_FIXED,PRIOR,P_VFIXED,41000,19,54,0.2827826453084499,0.3611099360046032
electricity,E_FIXED,PRIOR,P_LR_FIXED,41000,19,54,0.2802927754257844,0.3574800343353871
electricity,E_FIXED,PRIOR,P_LAST20,41000,19,54,0.2830227818572208,0.36037798515474484
electricity,E_FIXED,PRIOR,P_MAIN,41001,19,54,0.2757618358558615,0.3553235832330275
electricity,E_FIXED,PRIOR,P_VFIXED,41001,19,54,0.2757618358558615,0.3553235832330275
electricity,E_FIXED,PRIOR,P_LR_FIXED,41001,19,54,0.2757618358558615,0.3553235832330275
electricity,E_FIXED,PRIOR,P_LAST20,41001,19,54,0.2757618358558615,0.3553235832330275
electricity,E_FIXED,PRIOR,P_MAIN,41002,19,54,0.2792984876216479,0.35770860116120323
electricity,E_FIXED,PRIOR,P_VFIXED,41002,19,54,0.28047765789906776,0.3589892602333381
electricity,E_FIXED,PRIOR,P_LR_FIXED,41002,19,54,0.2792984876216479,0.35770860116120323
electricity,E_FIXED,PRIOR,P_LAST20,41002,19,54,0.2809538460991314,0.35881030692357685
electricity,E_FIXED,SEASONAL_NAIVE,BASELINE,,19,54,0.5256090952856125,0.4456026747733812
electricity,E_FIXED,LAST_VALUE,BASELINE,,19,54,1.561748413096999,0.9195775656958416
electricity,E_FIXED,INIT,BASELINE,41000,19,54,0.8033647981763301,0.6780759100751038
electricity,E_FIXED,INIT,BASELINE,41001,19,54,0.8459558758588919,0.6957407720118516
electricity,E_FIXED,INIT,BASELINE,41002,19,54,0.8660936871491476,0.7090508922877645
electricity,E_MIXED,LH,P_MAIN,41000,0,3,0.23189538755696582,0.32313474644350515
electricity,E_MIXED,LH,P_MAIN,41000,1,2,0.24668894228247795,0.32809411354114576
electricity,E_MIXED,LH,P_MAIN,41000,2,2,0.371371571311516,0.42862587578870637
electricity,E_MIXED,LH,P_MAIN,41000,3,2,0.17627174878711344,0.2907807246447381
electricity,E_MIXED,LH,P_MAIN,41000,4,3,0.3456065843148147,0.3935953892763517
electricity,E_MIXED,LH,P_MAIN,41000,5,2,0.2434128256554115,0.3505852477755103
electricity,E_MIXED,LH,P_MAIN,41000,6,2,0.2626357156045514,0.34753309820090783
electricity,E_MIXED,LH,P_MAIN,41000,7,2,0.16912370853258968,0.2862667927961695
electricity,E_MIXED,LH,P_MAIN,41000,8,3,0.21046265106708556,0.3149071022689517
electricity,E_MIXED,LH,P_MAIN,41000,9,2,0.3026029189630181,0.3790011017382043
electricity,E_MIXED,LH,P_MAIN,41000,10,2,0.17676339465919677,0.2880760461571204
electricity,E_MIXED,LH,P_MAIN,41000,11,2,0.25756800570919325,0.34227761126485484
electricity,E_MIXED,LH,P_MAIN,41000,12,3,0.3395896310108682,0.3780996994836288
electricity,E_MIXED,LH,P_MAIN,41000,13,2,0.2875112440413396,0.3541188102794308
electricity,E_MIXED,LH,P_MAIN,41000,14,2,0.32805550092392544,0.3952459396532693
electricity,E_MIXED,LH,P_MAIN,41000,15,2,0.23413876488039514,0.32589956968724226
electricity,E_MIXED,LH,P_MAIN,41000,16,3,0.29396909872967725,0.3588794467704335
electricity,E_MIXED,LH,P_MAIN,41000,17,2,0.43273036373818596,0.4106425676313066
electricity,E_MIXED,LH,P_MAIN,41000,18,2,0.19803601527172288,0.30849452004178585
electricity,E_MIXED,LH,P_MAIN,41000,19,2,0.24506947301826948,0.35846552490258904
electricity,E_MIXED,LH,P_MAIN,41000,20,3,0.28474459543366853,0.3539481856548971
electricity,E_MIXED,LH,P_MAIN,41000,21,2,0.31495493556871723,0.38707046212812435
electricity,E_MIXED,LH,P_MAIN,41000,22,2,0.16694366385829906,0.29332265598939244
electricity,E_MIXED,LH,P_MAIN,41000,23,2,0.23566727843686203,0.3215157488173853
electricity,E_MIXED,LH,P_VFIXED,41000,0,3,0.252379968797087,0.32938472537886
electricity,E_MIXED,LH,P_VFIXED,41000,1,2,0.2503337100737724,0.3315080835976829
electricity,E_MIXED,LH,P_VFIXED,41000,2,2,0.3835697325085702,0.43634936730505086
electricity,E_MIXED,LH,P_VFIXED,41000,3,2,0.1797378137880667,0.2929850874193297
electricity,E_MIXED,LH,P_VFIXED,41000,4,3,0.34959197325312596,0.39706491319695975
electricity,E_MIXED,LH,P_VFIXED,41000,5,2,0.24613767303102746,0.35452936990981954
electricity,E_MIXED,LH,P_VFIXED,41000,6,2,0.2680290214984574,0.350997876457086
electricity,E_MIXED,LH,P_VFIXED,41000,7,2,0.17166485745668708,0.28888606959097274
electricity,E_MIXED,LH,P_VFIXED,41000,8,3,0.21084843712025017,0.3163102162326873
electricity,E_MIXED,LH,P_VFIXED,41000,9,2,0.31114040388539854,0.38386875642230456
electricity,E_MIXED,LH,P_VFIXED,41000,10,2,0.17976733746621223,0.2899603623903223
electricity,E_MIXED,LH,P_VFIXED,41000,11,2,0.26127657255974907,0.34343771113293303
electricity,E_MIXED,LH,P_VFIXED,41000,12,3,0.3429172620091764,0.3806956769540951
electricity,E_MIXED,LH,P_VFIXED,41000,13,2,0.2944208390308932,0.36017253221122775
electricity,E_MIXED,LH,P_VFIXED,41000,14,2,0.32905732887984074,0.39683603664535383
electricity,E_MIXED,LH,P_VFIXED,41000,15,2,0.23442757962573024,0.32717516173055594
electricity,E_MIXED,LH,P_VFIXED,41000,16,3,0.29228922797193474,0.3587450575467794
electricity,E_MIXED,LH,P_VFIXED,41000,17,2,0.44173704923392765,0.4165403454979521
electricity,E_MIXED,LH,P_VFIXED,41000,18,2,0.19853027228599737,0.31118022690633984
electricity,E_MIXED,LH,P_VFIXED,41000,19,2,0.2445407497802986,0.35904226201422773
electricity,E_MIXED,LH,P_VFIXED,41000,20,3,0.2871489258659363,0.3566136670564851
electricity,E_MIXED,LH,P_VFIXED,41000,21,2,0.3145472075440652,0.3890640017659758
electricity,E_MIXED,LH,P_VFIXED,41000,22,2,0.1659202885078368,0.2900345120579549
electricity,E_MIXED,LH,P_VFIXED,41000,23,2,0.23840459060007524,0.3233905026418048
electricity,E_MIXED,LH,P_LR_FIXED,41000,0,3,0.23189538755696582,0.32313474644350515
electricity,E_MIXED,LH,P_LR_FIXED,41000,1,2,0.24668894228247795,0.32809411354114576
electricity,E_MIXED,LH,P_LR_FIXED,41000,2,2,0.371371571311516,0.42862587578870637
electricity,E_MIXED,LH,P_LR_FIXED,41000,3,2,0.17627174878711344,0.2907807246447381
electricity,E_MIXED,LH,P_LR_FIXED,41000,4,3,0.3456065843148147,0.3935953892763517
electricity,E_MIXED,LH,P_LR_FIXED,41000,5,2,0.2434128256554115,0.3505852477755103
electricity,E_MIXED,LH,P_LR_FIXED,41000,6,2,0.2626357156045514,0.34753309820090783
electricity,E_MIXED,LH,P_LR_FIXED,41000,7,2,0.16912370853258968,0.2862667927961695
electricity,E_MIXED,LH,P_LR_FIXED,41000,8,3,0.21046265106708556,0.3149071022689517
electricity,E_MIXED,LH,P_LR_FIXED,41000,9,2,0.3026029189630181,0.3790011017382043
electricity,E_MIXED,LH,P_LR_FIXED,41000,10,2,0.17676339465919677,0.2880760461571204
electricity,E_MIXED,LH,P_LR_FIXED,41000,11,2,0.25756800570919325,0.34227761126485484
electricity,E_MIXED,LH,P_LR_FIXED,41000,12,3,0.3395896310108682,0.3780996994836288
electricity,E_MIXED,LH,P_LR_FIXED,41000,13,2,0.2875112440413396,0.3541188102794308
electricity,E_MIXED,LH,P_LR_FIXED,41000,14,2,0.32805550092392544,0.3952459396532693
electricity,E_MIXED,LH,P_LR_FIXED,41000,15,2,0.23413876488039514,0.32589956968724226
electricity,E_MIXED,LH,P_LR_FIXED,41000,16,3,0.29396909872967725,0.3588794467704335
electricity,E_MIXED,LH,P_LR_FIXED,41000,17,2,0.43273036373818596,0.4106425676313066
electricity,E_MIXED,LH,P_LR_FIXED,41000,18,2,0.19803601527172288,0.30849452004178585
