fit,dataset,arm,seed,lr,epoch,mse,mae
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,0,1.011339666580719,0.7216836613612421
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,1,0.40242227955457077,0.3709885271544673
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,2,0.3582465527989988,0.3395552519298597
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,3,0.3335860779851025,0.32710969651444577
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,4,0.3263347972891938,0.324088476927531
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,5,0.3226568357420032,0.32361488564705604
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,6,0.31078400313912347,0.296831569887215
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,7,0.30480513211631877,0.2936108758748107
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,8,0.30784498043689335,0.3014317278698393
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,9,0.30579387323874496,0.2983957850007838
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,10,0.3018972091340919,0.29536935454560864
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,11,0.2955662196698048,0.28702082026898035
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,12,0.2946740288138274,0.28329786341289476
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,13,0.29323666276435234,0.2874062848797345
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,14,0.28942542408531946,0.28237365644026147
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,15,0.2907578644070232,0.28442279486415034
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,16,0.29362648614476944,0.28729362753041815
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,17,0.29074255913910196,0.281767451461103
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,18,0.2884657118222949,0.27825470176168066
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,19,0.2895285714281748,0.2808175611550332
00_traffic_LH_41001_0.001,traffic,LH,41001,0.001,20,0.2858614760922933,0.27959832253463124
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,0,1.0161203783854103,0.7244164396761668
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,1,0.45464202391353864,0.3996051806654207
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,2,0.3831546354440665,0.3558113007024013
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,3,0.3514513666171746,0.3348137568013431
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,4,0.339233450732564,0.33265054205189537
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,5,0.33362550961121623,0.3276716035191912
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,6,0.3215314241652495,0.3119029422109693
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,7,0.3204479243630809,0.31007575925261177
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,8,0.3179510202362962,0.3097908609247577
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,9,0.3168777692974025,0.307552970899981
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,10,0.3184945018554187,0.31008495415681736
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,11,0.3135855649888688,0.30395890911463963
01_traffic_SIDE_41000_0.0003,traffic,SIDE,41000,0.0003,12,0.31263539861853473,0.3039255497235841
