target,seed,arm,variant,condition,metric,date,id,value
T0,61730,E0,RAW,S0,normalized_2pinball,2024-10-01,T0_TEST_1001,0.09895613909827156
T0,61730,E0,RAW,S1,normalized_2pinball,2024-10-01,T0_TEST_1001,0.10711765755921102
T0,61730,E0,RAW,S2,normalized_2pinball,2024-10-01,T0_TEST_1001,0.13519341950038946
T0,61730,E0,RAW,S3,normalized_2pinball,2024-10-01,T0_TEST_1001,0.226777353639668
T0,61730,E0,RAW,DELAYED,normalized_2pinball,2024-10-01,T0_TEST_1001,0.15636281023308948
T0,61730,E0,RAW,MEAN,normalized_2pinball,2024-10-01,T0_TEST_1001,0.142011142449385
T0,61730,E0,RAW,S0,normalized_2pinball,2024-10-02,T0_TEST_1002,0.13524980179071755
T0,61730,E0,RAW,S1,normalized_2pinball,2024-10-02,T0_TEST_1002,0.14768486731336786
T0,61730,E0,RAW,S2,normalized_2pinball,2024-10-02,T0_TEST_1002,0.13391054869983357
T0,61730,E0,RAW,S3,normalized_2pinball,2024-10-02,T0_TEST_1002,0.11521468070274724
T0,61730,E0,RAW,DELAYED,normalized_2pinball,2024-10-02,T0_TEST_1002,0.13227003223864955
T0,61730,E0,RAW,MEAN,normalized_2pinball,2024-10-02,T0_TEST_1002,0.13301497462666653
T0,61730,E0,RAW,S0,normalized_2pinball,2024-10-03,T0_TEST_1003,0.11024733420135462
T0,61730,E0,RAW,S1,normalized_2pinball,2024-10-03,T0_TEST_1003,0.19934093648247989
T0,61730,E0,RAW,S2,normalized_2pinball,2024-10-03,T0_TEST_1003,0.11392425099404566
T0,61730,E0,RAW,S3,normalized_2pinball,2024-10-03,T0_TEST_1003,0.09620254711924384
T0,61730,E0,RAW,DELAYED,normalized_2pinball,2024-10-03,T0_TEST_1003,0.13648924486525646
T0,61730,E0,RAW,MEAN,normalized_2pinball,2024-10-03,T0_TEST_1003,0.12992876719928098
T0,61730,E0,RAW,S0,normalized_2pinball,2024-10-04,T0_TEST_1004,0.08218616239886632
T0,61730,E0,RAW,S1,normalized_2pinball,2024-10-04,T0_TEST_1004,0.1153548218592364
T0,61730,E0,RAW,S2,normalized_2pinball,2024-10-04,T0_TEST_1004,0.09496906936978582
T0,61730,E0,RAW,S3,normalized_2pinball,2024-10-04,T0_TEST_1004,0.08320303944265224
T0,61730,E0,RAW,DELAYED,normalized_2pinball,2024-10-04,T0_TEST_1004,0.09784231022389149
T0,61730,E0,RAW,MEAN,normalized_2pinball,2024-10-04,T0_TEST_1004,0.0939282732676352
T0,61730,E0,RAW,S0,normalized_2pinball,2024-10-05,T0_TEST_1005,0.1179638440576104
T0,61730,E0,RAW,S1,normalized_2pinball,2024-10-05,T0_TEST_1005,0.13143962318389277
T0,61730,E0,RAW,S2,normalized_2pinball,2024-10-05,T0_TEST_1005,0.1232466609772583
T0,61730,E0,RAW,S3,normalized_2pinball,2024-10-05,T0_TEST_1005,0.14134429248620348
T0,61730,E0,RAW,DELAYED,normalized_2pinball,2024-10-05,T0_TEST_1005,0.13201019221578483
T0,61730,E0,RAW,MEAN,normalized_2pinball,2024-10-05,T0_TEST_1005,0.12849860517624123
T0,61730,E0,RAW,S0,normalized_2pinball,2024-10-06,T0_TEST_1006,0.1245863991917536
T0,61730,E0,RAW,S1,normalized_2pinball,2024-10-06,T0_TEST_1006,0.10272260739262834
T0,61730,E0,RAW,S2,normalized_2pinball,2024-10-06,T0_TEST_1006,0.21835033301700074
T0,61730,E0,RAW,S3,normalized_2pinball,2024-10-06,T0_TEST_1006,0.33079567563344414
T0,61730,E0,RAW,DELAYED,normalized_2pinball,2024-10-06,T0_TEST_1006,0.2172895386810244
T0,61730,E0,RAW,MEAN,normalized_2pinball,2024-10-06,T0_TEST_1006,0.1941137538087067
T0,61730,E0,RAW,S0,normalized_2pinball,2024-10-07,T0_TEST_1007,0.10383520283975732
T0,61730,E0,RAW,S1,normalized_2pinball,2024-10-07,T0_TEST_1007,0.10599300614497217
