target,seed,arm,variant,condition,metric,score,n
T0,61731,E1,RAW,S1,normalized_2pinball,0.09395413848406911,75
T0,61731,E1,RAW,S2,normalized_2pinball,0.09810094034315647,75
T0,61731,E1,RAW,S3,normalized_2pinball,0.10948730773368394,75
T0,61731,E2,CALIBRATED,DELAYED,normalized_2pinball,0.09859007959715163,75
T0,61731,E2,CALIBRATED,MEAN,normalized_2pinball,0.09485518732309929,75
T0,61731,E2,CALIBRATED,S0,normalized_2pinball,0.08365051050094235,75
T0,61731,E2,CALIBRATED,S1,normalized_2pinball,0.09212596709110404,75
T0,61731,E2,CALIBRATED,S2,normalized_2pinball,0.09632352609978112,75
T0,61731,E2,CALIBRATED,S3,normalized_2pinball,0.10732074560056977,75
T0,61731,E2,RAW,DELAYED,normalized_2pinball,0.10051412885363652,75
T0,61731,E2,RAW,MEAN,normalized_2pinball,0.09640986239782656,75
T0,61731,E2,RAW,S0,normalized_2pinball,0.08409706303039664,75
T0,61731,E2,RAW,S1,normalized_2pinball,0.09395413848406911,75
T0,61731,E2,RAW,S2,normalized_2pinball,0.09810094034315647,75
T0,61731,E2,RAW,S3,normalized_2pinball,0.10948730773368394,75
T0,61731,E3,CALIBRATED,DELAYED,normalized_2pinball,0.09859007959715163,75
T0,61731,E3,CALIBRATED,MEAN,normalized_2pinball,0.09514750029496494,75
T0,61731,E3,CALIBRATED,S0,normalized_2pinball,0.08481976238840487,75
T0,61731,E3,CALIBRATED,S1,normalized_2pinball,0.09212596709110404,75
T0,61731,E3,CALIBRATED,S2,normalized_2pinball,0.09632352609978112,75
T0,61731,E3,CALIBRATED,S3,normalized_2pinball,0.10732074560056977,75
T0,61731,E3,RAW,DELAYED,normalized_2pinball,0.10051412885363652,75
T0,61731,E3,RAW,MEAN,normalized_2pinball,0.09604925899940608,75
T0,61731,E3,RAW,S0,normalized_2pinball,0.08265464943671473,75
T0,61731,E3,RAW,S1,normalized_2pinball,0.09395413848406911,75
T0,61731,E3,RAW,S2,normalized_2pinball,0.09810094034315647,75
T0,61731,E3,RAW,S3,normalized_2pinball,0.10948730773368394,75
T0,61731,E4,CALIBRATED,DELAYED,normalized_2pinball,0.09859007959715163,75
T0,61731,E4,CALIBRATED,MEAN,normalized_2pinball,0.09514750029496494,75
T0,61731,E4,CALIBRATED,S0,normalized_2pinball,0.08481976238840487,75
T0,61731,E4,CALIBRATED,S1,normalized_2pinball,0.09212596709110404,75
T0,61731,E4,CALIBRATED,S2,normalized_2pinball,0.09632352609978112,75
T0,61731,E4,CALIBRATED,S3,normalized_2pinball,0.10732074560056977,75
T0,61731,E4,RAW,DELAYED,normalized_2pinball,0.10051412885363652,75
T0,61731,E4,RAW,MEAN,normalized_2pinball,0.09604925899940608,75
T0,61731,E4,RAW,S0,normalized_2pinball,0.08265464943671473,75
T0,61731,E4,RAW,S1,normalized_2pinball,0.09395413848406911,75
T0,61731,E4,RAW,S2,normalized_2pinball,0.09810094034315647,75
T0,61731,E4,RAW,S3,normalized_2pinball,0.10948730773368394,75
T1,61730,E0,CALIBRATED,DELAYED,normalized_2pinball,0.09763452840263415,75
T1,61730,E0,CALIBRATED,MEAN,normalized_2pinball,0.0939974315222165,75
T1,61730,E0,CALIBRATED,S0,normalized_2pinball,0.08308614088096357,75
T1,61730,E0,CALIBRATED,S1,normalized_2pinball,0.09190465382834288,75
T1,61730,E0,CALIBRATED,S2,normalized_2pinball,0.0940014390372348,75
T1,61730,E0,CALIBRATED,S3,normalized_2pinball,0.10699749234232475,75
T1,61730,E0,RAW,DELAYED,normalized_2pinball,0.09770898143764337,75
T1,61730,E0,RAW,MEAN,normalized_2pinball,0.09329165296278842,75
T1,61730,E0,RAW,S0,normalized_2pinball,0.08003966753822363,75
T1,61730,E0,RAW,S1,normalized_2pinball,0.09166868744161513,75
T1,61730,E0,RAW,S2,normalized_2pinball,0.09386927353727645,75
T1,61730,E0,RAW,S3,normalized_2pinball,0.10758898333403849,75
T1,61730,E1,CALIBRATED,DELAYED,normalized_2pinball,0.09388802934706142,75
T1,61730,E1,CALIBRATED,MEAN,normalized_2pinball,0.0907387389369418,75
T1,61730,E1,CALIBRATED,S0,normalized_2pinball,0.08129086770658299,75
T1,61730,E1,CALIBRATED,S1,normalized_2pinball,0.08857245135673895,75
T1,61730,E1,CALIBRATED,S2,normalized_2pinball,0.09108720432905487,75
T1,61730,E1,CALIBRATED,S3,normalized_2pinball,0.10200443235539047,75
T1,61730,E1,RAW,DELAYED,normalized_2pinball,0.09507400132035237,75
T1,61730,E1,RAW,MEAN,normalized_2pinball,0.09131423760418582,75
T1,61730,E1,RAW,S0,normalized_2pinball,0.08003494645568612,75
T1,61730,E1,RAW,S1,normalized_2pinball,0.08968591745505856,75
T1,61730,E1,RAW,S2,normalized_2pinball,0.09216225015533147,75
T1,61730,E1,RAW,S3,normalized_2pinball,0.10337383635066709,75
T1,61730,E2,CALIBRATED,DELAYED,normalized_2pinball,0.09388802934706142,75
T1,61730,E2,CALIBRATED,MEAN,normalized_2pinball,0.0907387389369418,75
T1,61730,E2,CALIBRATED,S0,normalized_2pinball,0.08129086770658299,75
T1,61730,E2,CALIBRATED,S1,normalized_2pinball,0.08857245135673895,75
T1,61730,E2,CALIBRATED,S2,normalized_2pinball,0.09108720432905487,75
T1,61730,E2,CALIBRATED,S3,normalized_2pinball,0.10200443235539047,75
T1,61730,E2,RAW,DELAYED,normalized_2pinball,0.09507400132035237,75
T1,61730,E2,RAW,MEAN,normalized_2pinball,0.09131423760418582,75
T1,61730,E2,RAW,S0,normalized_2pinball,0.08003494645568612,75
T1,61730,E2,RAW,S1,normalized_2pinball,0.08968591745505856,75
T1,61730,E2,RAW,S2,normalized_2pinball,0.09216225015533147,75
T1,61730,E2,RAW,S3,normalized_2pinball,0.10337383635066709,75
T1,61730,E3,CALIBRATED,DELAYED,normalized_2pinball,0.09388802934706142,75
T1,61730,E3,CALIBRATED,MEAN,normalized_2pinball,0.09118755723053697,75
T1,61730,E3,CALIBRATED,S0,normalized_2pinball,0.08308614088096357,75
T1,61730,E3,CALIBRATED,S1,normalized_2pinball,0.08857245135673895,75
T1,61730,E3,CALIBRATED,S2,normalized_2pinball,0.09108720432905487,75
T1,61730,E3,CALIBRATED,S3,normalized_2pinball,0.10200443235539047,75
T1,61730,E3,RAW,DELAYED,normalized_2pinball,0.09507400132035237,75
T1,61730,E3,RAW,MEAN,normalized_2pinball,0.09131541787482018,75
T1,61730,E3,RAW,S0,normalized_2pinball,0.08003966753822363,75
T1,61730,E3,RAW,S1,normalized_2pinball,0.08968591745505856,75
T1,61730,E3,RAW,S2,normalized_2pinball,0.09216225015533147,75
T1,61730,E3,RAW,S3,normalized_2pinball,0.10337383635066709,75
T1,61730,E4,CALIBRATED,DELAYED,normalized_2pinball,0.0942124013516316,75
T1,61730,E4,CALIBRATED,MEAN,normalized_2pinball,0.0914308362339646,75
T1,61730,E4,CALIBRATED,S0,normalized_2pinball,0.08308614088096357,75
T1,61730,E4,CALIBRATED,S1,normalized_2pinball,0.08911058991063958,75
T1,61730,E4,CALIBRATED,S2,normalized_2pinball,0.09152218178886473,75
T1,61730,E4,CALIBRATED,S3,normalized_2pinball,0.10200443235539047,75
T1,61730,E4,RAW,DELAYED,normalized_2pinball,0.0951780619139013,75
T1,61730,E4,RAW,MEAN,normalized_2pinball,0.09139346331998187,75
T1,61730,E4,RAW,S0,normalized_2pinball,0.08003966753822363,75
T1,61730,E4,RAW,S1,normalized_2pinball,0.08987574875917047,75
T1,61730,E4,RAW,S2,normalized_2pinball,0.09228460063186632,75
T1,61730,E4,RAW,S3,normalized_2pinball,0.10337383635066709,75
T1,61731,E0,CALIBRATED,DELAYED,normalized_2pinball,0.09771817051011597,75
T1,61731,E0,CALIBRATED,MEAN,normalized_2pinball,0.0940622219966097,75
T1,61731,E0,CALIBRATED,S0,normalized_2pinball,0.08309437645609093,75
T1,61731,E0,CALIBRATED,S1,normalized_2pinball,0.09198431150208225,75
T1,61731,E0,CALIBRATED,S2,normalized_2pinball,0.09409610050105754,75
T1,61731,E0,CALIBRATED,S3,normalized_2pinball,0.10707409952720812,75
T1,61731,E0,RAW,DELAYED,normalized_2pinball,0.09789247490286053,75
T1,61731,E0,RAW,MEAN,normalized_2pinball,0.09341242015517505,75
T1,61731,E0,RAW,S0,normalized_2pinball,0.0799722559121186,75
T1,61731,E0,RAW,S1,normalized_2pinball,0.09180513334896137,75
T1,61731,E0,RAW,S2,normalized_2pinball,0.09404771836242988,75
T1,61731,E0,RAW,S3,normalized_2pinball,0.10782457299719034,75
