target,seed,arm,S0,latest_harm_percent,E_latest_protected,delayed,alpha,models_per_case
T0,61730,E0,0.08299486785830891,0.0,True,0.1025070401290957,"[0, 0, 0, 0]","[1, 1, 1, 1]"
T0,61730,E1,0.08359340273956962,0.721170955151762,True,0.10044155606338188,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T0,61730,E2,0.08359340273956962,0.721170955151762,True,0.10044155606338188,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T0,61730,E3,0.08299486785830891,0.0,True,0.10044155606338188,"[0, 1, 1, 1]","[1, 1, 1, 1]"
T0,61730,E4,0.08299486785830891,0.0,True,0.10044155606338188,"[0, 1, 1, 1]","[1, 1, 1, 1]"
T0,61731,E0,0.08265464943671469,0.0,True,0.10272348815986332,"[0, 0, 0, 0]","[1, 1, 1, 1]"
T0,61731,E1,0.08409706303039662,1.7451088396259307,False,0.10051412885363648,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T0,61731,E2,0.08409706303039662,1.7451088396259307,False,0.10051412885363648,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T0,61731,E3,0.08265464943671469,0.0,True,0.10051412885363648,"[0, 1, 1, 1]","[1, 1, 1, 1]"
T0,61731,E4,0.08265464943671469,0.0,True,0.10051412885363648,"[0, 1, 1, 1]","[1, 1, 1, 1]"
T1,61730,E0,0.08003966753822359,0.0,True,0.09770898143764332,"[0, 0, 0, 0]","[1, 1, 1, 1]"
T1,61730,E1,0.08003494645568608,-0.0058984284701746326,True,0.09507400132035235,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T1,61730,E2,0.08003494645568608,-0.0058984284701746326,True,0.09507400132035235,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T1,61730,E3,0.08003966753822359,0.0,True,0.09507400132035235,"[0, 1, 1, 1]","[1, 1, 1, 1]"
T1,61730,E4,0.08003966753822359,0.0,True,0.09517806191390124,"[0, 0.75, 0.75, 1]","[1, 2, 2, 1]"
T1,61731,E0,0.07997225591211855,0.0,True,0.09789247490286049,"[0, 0, 0, 0]","[1, 1, 1, 1]"
T1,61731,E1,0.07978432958954358,-0.2349893978000117,True,0.09507805813551647,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T1,61731,E2,0.07978432958954358,-0.2349893978000117,True,0.09507805813551647,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T1,61731,E3,0.07997225591211855,0.0,True,0.09507805813551647,"[0, 1, 1, 1]","[1, 1, 1, 1]"
T1,61731,E4,0.07997225591211855,0.0,True,0.0951836813305207,"[0, 0.75, 0.75, 1]","[1, 2, 2, 1]"
T2,61730,E0,0.1309595607744236,0.0,True,0.1329268925025976,"[0, 0, 0, 0]","[1, 1, 1, 1]"
T2,61730,E1,0.13787724938795415,5.282308960585302,False,0.138662464123529,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T2,61730,E2,0.13787724938795415,5.282308960585302,False,0.138662464123529,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T2,61730,E3,0.1309595607744236,0.0,True,0.138662464123529,"[0, 1, 1, 1]","[1, 1, 1, 1]"
T2,61730,E4,0.1309595607744236,0.0,True,0.13683328604946712,"[0, 0.25, 1, 1]","[1, 2, 1, 1]"
T2,61731,E0,0.13320942978501701,0.0,True,0.13534861964870382,"[0, 0, 0, 0]","[1, 1, 1, 1]"
T2,61731,E1,0.14017592378093258,5.229730363052076,False,0.14070828350527206,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T2,61731,E2,0.14017592378093258,5.229730363052076,False,0.14070828350527206,"[1, 1, 1, 1]","[1, 1, 1, 1]"
T2,61731,E3,0.13320942978501701,0.0,True,0.14070828350527206,"[0, 1, 1, 1]","[1, 1, 1, 1]"
T2,61731,E4,0.13320942978501701,0.0,True,0.13893185750177856,"[0, 0.25, 1, 1]","[1, 2, 1, 1]"
