scope,variant,condition,metric,method,baseline,method_score,baseline_score,gain_percent,ci_low,ci_high,replicates,bootstrap_seed
ALL,CALIBRATED,DELAYED,normalized_2pinball,E4,E0,0.10993228730892035,0.11109213644961402,1.0440425198049195,-0.4506261803568326,2.777718118862727,2000,73300
ALL,CALIBRATED,DELAYED,normalized_2pinball,E4,E2,0.10993228730892035,0.1104049840442819,0.4281480038726803,0.10778505571928006,0.7328563578187806,2000,73300
ALL,CALIBRATED,DELAYED,normalized_2pinball,E4,E3,0.10993228730892035,0.1104049840442819,0.4281480038726803,0.10778505571928006,0.7328563578187806,2000,73300
ALL,CALIBRATED,MEAN,normalized_2pinball,E4,E0,0.10723183665982677,0.10810172351534704,0.8046928644914431,-0.34622873494235407,2.1414106778649677,2000,73300
ALL,CALIBRATED,MEAN,normalized_2pinball,E4,E2,0.10723183665982677,0.10788237427984314,0.6030063987365464,-0.1866217013291512,1.2723056146194807,2000,73300
ALL,CALIBRATED,MEAN,normalized_2pinball,E4,E3,0.10723183665982677,0.10758635921134795,0.3295236999559864,0.0830099596825965,0.5666240731033738,2000,73300
ALL,CALIBRATED,S0,normalized_2pinball,E4,E0,0.09913048471254604,0.09913048471254604,0.0,0.0,0.0,2000,73300
ALL,CALIBRATED,S0,normalized_2pinball,E4,E2,0.09913048471254604,0.10031454498652681,1.1803475499388447,-1.2405602833405531,3.208051185154571,2000,73300
ALL,CALIBRATED,S0,normalized_2pinball,E4,E3,0.09913048471254604,0.09913048471254604,0.0,0.0,0.0,2000,73300
ALL,CALIBRATED,S1,normalized_2pinball,E4,E0,0.10411605875207001,0.10568159749714455,1.48137308874124,0.22458321598000114,2.8677694039359434,2000,73300
ALL,CALIBRATED,S1,normalized_2pinball,E4,E2,0.10411605875207001,0.1056906395636656,1.4898015738159076,0.5126727877721651,2.3884852176378844,2000,73300
ALL,CALIBRATED,S1,normalized_2pinball,E4,E3,0.10411605875207001,0.1056906395636656,1.4898015738159076,0.5126727877721651,2.3884852176378844,2000,73300
ALL,CALIBRATED,S2,normalized_2pinball,E4,E0,0.10951698850858844,0.10956085649082482,0.04003983141556791,-2.0188833333976204,2.088068051168041,2000,73300
ALL,CALIBRATED,S2,normalized_2pinball,E4,E2,0.10951698850858844,0.10936049790307749,-0.14309609823617336,-0.22702441181378544,-0.03751778901565589,2000,73300
