target,arm,type,neural_fits,optimizer_updates,configurations,selected_alpha
T0,E2,CPU_policy_selection,0,0,5,"[1, 1, 1, 1]"
T0,E4,CPU_policy_selection,0,0,70,"[0, 1, 1, 1]"
T1,E2,CPU_policy_selection,0,0,5,"[1, 1, 1, 1]"
T1,E4,CPU_policy_selection,0,0,70,"[0, 0.75, 0.75, 1]"
T2,E2,CPU_policy_selection,0,0,5,"[1, 1, 1, 1]"
T2,E4,CPU_policy_selection,0,0,70,"[0, 0.25, 1, 1]"
