panel,kind,condition,arm,matched_nmae,swapped_nmae,pairing_penalty,penalty_pct,ci_low,ci_high,bonferroni2_low,bonferroni2_high
electricity,standard,SHIFT8,C3,0.2024921469452611,0.2158331763105347,0.0133410293652735,6.588418151781465,0.0112650737463446,0.0157728005693883,0.0109683903035336,0.0161151308021516
electricity,standard,SHIFT8,MAG_ONLY,0.2024730119813106,0.2158353787463977,0.0133623667650871,6.599579190495056,0.0113565856167787,0.0156831472885271,0.0111027637493246,0.0160067179133908
electricity_transfer,standard,SHIFT8,C3,0.3652404432097976,0.4008425010266458,0.0356020578168481,9.74756724747428,0.0333641600381357,0.0381539510723599,0.0330292215335693,0.0385190842302558
electricity_transfer,standard,SHIFT8,MAG_ONLY,0.3646782153962989,0.4018715668584576,0.0371933514621587,10.198950716521535,0.034935346238739,0.0398113310179317,0.0345413337411884,0.0401130904255086
ettm1,standard,SHIFT8,C3,0.5487169997321304,0.5548770234245848,0.0061600236924541,1.122623081745475,0.0046425493312517,0.0077384867736875,0.0044346629857344,0.0080098563676446
ettm1,standard,SHIFT8,MAG_ONLY,0.5495218339536563,0.555541037961412,0.0060192040077557,1.0953530207251658,0.0045613234490505,0.0075445704142141,0.0043819751549094,0.0077916545585801
