panel,kind,stage,condition,factor,effect_nmae,effect_pct_common_C3,C3_effect,MAG_effect,ci_low,ci_high,bonferroni7_low,bonferroni7_high,cell_variance_share_pct,common_C3,conditional_on_two_factor_levels
electricity_transfer,standard,fixed1024,SHIFT8,B0,0.0005090679676436,0.1393788604487166,0.0117445882466536,0.0112355202790101,0.0002040425969873,0.0007845983013061,8.343844688460507e-05,0.0008855429332238,8.600878097513727,0.3652404432097976,True
electricity_transfer,standard,fixed1024,SHIFT8,INIT,-0.0006579092170611,-0.1801304399039967,-9.798674234560988e-05,0.0005599224747155,-0.0008323922079516,-0.000466829607016,-0.0009086058208156,-0.0003907803393388,14.365580916579946,0.3652404432097976,True
electricity_transfer,standard,fixed1024,SHIFT8,ORDER,0.000621934992982,0.1702809764210181,-0.002919462544371,-0.0035413975373532,0.0005482988055543,0.000697419995649,0.0005155988593545,0.0007263961877818,12.837523071876298,0.3652404432097976,True
electricity_transfer,standard,fixed1024,SHIFT8,B0:INIT,-0.0010488866544516,-0.2871770292560914,-0.0007967555523286,0.0002521311021232,-0.0011528170420505,-0.0009442145137162,-0.0012035852044829,-0.0009185605568569,36.51307175419976,0.3652404432097976,True
electricity_transfer,standard,fixed1024,SHIFT8,B0:ORDER,0.0006885405723474,0.1885170673588044,0.0002480580353049,-0.0004404825370424,0.0005827205480147,0.0007896498111544,0.0005364518324339,0.0008203468047924,15.734404965026808,0.3652404432097976,True
electricity_transfer,standard,fixed1024,SHIFT8,INIT:ORDER,0.0002813801395749,0.0770396994106526,0.0007683942220265,0.0004870140824514,0.0001370392243657,0.0004413643174977,8.776072582252276e-05,0.0004921068090776,2.6277142285659254,0.3652404432097976,True
electricity_transfer,standard,fixed1024,SHIFT8,B0:INIT:ORDER,0.0005299459740893,0.1450950966525148,0.0006462914795633,0.0001163455054739,0.0004246062091378,0.0006446981751435,0.0003959462133021,0.0006902828582776,9.320826966237531,0.3652404432097976,True
electricity_transfer,standard,selected,SHIFT8,B0,0.0016909406242866,0.4647722263556933,0.0082456564790309,0.0065547158547444,0.0013090776606017,0.0020651253670952,0.0011874908615228,0.0022072853091917,59.43933343582184,0.3638213577315886,True
electricity_transfer,standard,selected,SHIFT8,INIT,-0.000629016357109,-0.1728915424401958,0.0005400434842585,0.0011690598413673,-0.0007843897665538,-0.0004769954863275,-0.000839402117678,-0.0004067171292331,8.225098217255779,0.3638213577315886,True
electricity_transfer,standard,selected,SHIFT8,ORDER,0.0001753186499169,0.0481881138067555,-0.0026852951875952,-0.0028606138375121,6.239089794093294e-05,0.0002906593811274,1.5980361278561012e-05,0.0003401220347239,0.6389596737054667,0.3638213577315886,True
electricity_transfer,standard,selected,SHIFT8,B0:INIT,-0.0008580276735435,-0.2358376316589286,-8.1468319201361e-05,0.0007765593543421,-0.0009675742165196,-0.0007524687258828,-0.0010028243111118,-0.0007138866067551,15.304523224695227,0.3638213577315886,True
electricity_transfer,standard,selected,SHIFT8,B0:ORDER,0.0007512566143921,0.2064905202586704,0.0011429862032853,0.0003917295888931,0.000647173753062,0.0008548213498642,0.0006053116433631,0.0008964247278269,11.732588313712236,0.3638213577315886,True
electricity_transfer,standard,selected,SHIFT8,INIT:ORDER,0.0002886576088881,0.0793404792637673,0.0003725891250292,8.393151614086158e-05,0.0002144541361339,0.0003679723798666,0.0001884078299767,0.0003937010909123,1.732140969701394,0.3638213577315886,True
electricity_transfer,standard,selected,SHIFT8,B0:INIT:ORDER,0.0003752573224465,0.1031432911982508,0.0001732293760428,-0.0002020279464036,0.0003022272875714,0.0004522414631067,0.0002829498534762,0.000480808128397,2.9273561651080544,0.3638213577315886,True
