arm,variant,scaled_2pinball,median_mae,qmean_mse,interval80_coverage,interval80_width,rmsse,occurrence_brier,positive_demand_mae,prediction_sha256
F0,clean,0.490207189618205,0.726555893691021,2.5192661077855787,0.7891845703125,2.2835986773764407,1.0580433443874329,0.17807775735855103,1.6833133697509766,6fd603935469085819c4ebcac24e166d318296ca4eee7729bd0d3d4f6ee8f8e6
STANDARD_LORA,clean,0.4842323298460305,0.7218637614454728,2.361271209691811,0.8491346571180556,2.158018675503524,1.0647921681350137,0.17676551640033722,1.7135552167892456,82081f187023e4c98ead71d6eff074ffb98386cca2faa7f85f38877d08d4e3b3
EVENT_SUMMARY_LORA,clean,0.4841542334368005,0.7219102167772942,2.361672864628515,0.8437364366319444,2.153335253797688,1.065341493616892,0.1767677515745163,1.7152010202407837,711d427b35325f3657679d6177857d4e32724e8dcf7fa04baff82b340383da4a
DUALCLOCK_ADAPTER,clean,0.4840854640646646,0.7218579620463567,2.359960939343229,0.8449978298611112,2.152562560911566,1.0649298457890966,0.17672273516654968,1.7141847610473633,b42d83d78b1025ad55718f8cb9f77f0ac66d0303ff475382634248408cbf6588
