arm,lr,step,validation_loss,train_loss
STANDARD_LORA,3e-05,0,0.4701703860210901,
STANDARD_LORA,3e-05,4,0.4697205928521722,3.785398006439209
STANDARD_LORA,3e-05,8,0.4694641592181415,22.115455627441406
STANDARD_LORA,3e-05,15,0.46925015637672773,2.836531639099121
STANDARD_LORA,3e-05,30,0.46885653377434444,16.220584869384766
STANDARD_LORA,3e-05,60,0.4683092444955913,4.696000099182129
STANDARD_LORA,3e-05,120,0.4673011950598601,4.956728935241699
STANDARD_LORA,3e-05,180,0.4657912708252504,6.284207344055176
STANDARD_LORA,3e-05,240,0.46514117628483637,4.275415420532227
STANDARD_LORA,3e-05,360,0.4639925120249996,3.4854187965393066
STANDARD_LORA,0.0001,0,0.4701703860210901,
STANDARD_LORA,0.0001,4,0.4693225824934849,3.784797191619873
STANDARD_LORA,0.0001,8,0.46885279480889963,22.115264892578125
STANDARD_LORA,0.0001,15,0.4683242897250746,2.8387858867645264
STANDARD_LORA,0.0001,30,0.4673569064441594,16.22185707092285
STANDARD_LORA,0.0001,60,0.46602082050713933,4.6467204093933105
STANDARD_LORA,0.0001,120,0.46581199917668603,4.751029014587402
STANDARD_LORA,0.0001,180,0.4642364196576483,6.180895805358887
STANDARD_LORA,0.0001,240,0.46459903334024,4.085041522979736
STANDARD_LORA,0.0001,360,0.463587285336927,3.3261308670043945
EVENT_SUMMARY_LORA,3e-05,0,0.4701703860210901,
EVENT_SUMMARY_LORA,3e-05,4,0.46970870926772945,3.785287380218506
EVENT_SUMMARY_LORA,3e-05,8,0.4694560436191239,22.115432739257812
EVENT_SUMMARY_LORA,3e-05,15,0.46924235298290484,2.8364951610565186
EVENT_SUMMARY_LORA,3e-05,30,0.46884435387598267,16.2205867767334
EVENT_SUMMARY_LORA,3e-05,60,0.4682853651144896,4.69541597366333
EVENT_SUMMARY_LORA,3e-05,120,0.4672664017684377,4.954309940338135
EVENT_SUMMARY_LORA,3e-05,180,0.4657201739786111,6.280324935913086
EVENT_SUMMARY_LORA,3e-05,240,0.46508050176812965,4.271801948547363
EVENT_SUMMARY_LORA,3e-05,360,0.4639268919443114,3.4859461784362793
EVENT_SUMMARY_LORA,0.0001,0,0.4701703860210901,
EVENT_SUMMARY_LORA,0.0001,4,0.46932527229011395,3.7847583293914795
EVENT_SUMMARY_LORA,0.0001,8,0.46884230600420956,22.11500358581543
EVENT_SUMMARY_LORA,0.0001,15,0.4683036988211346,2.8386714458465576
EVENT_SUMMARY_LORA,0.0001,30,0.46732303086563626,16.221851348876953
EVENT_SUMMARY_LORA,0.0001,60,0.4659716843629058,4.644894599914551
EVENT_SUMMARY_LORA,0.0001,120,0.46556197787665876,4.746685981750488
EVENT_SUMMARY_LORA,0.0001,180,0.4641838947588066,6.17747688293457
EVENT_SUMMARY_LORA,0.0001,240,0.46455696566466176,4.0811591148376465
EVENT_SUMMARY_LORA,0.0001,360,0.4634900214223502,3.324544906616211
DUALCLOCK_ADAPTER,3e-05,0,0.4701703860210901,
DUALCLOCK_ADAPTER,3e-05,4,0.4697043346965308,3.785245180130005
DUALCLOCK_ADAPTER,3e-05,8,0.46945051408438154,22.11539649963379
DUALCLOCK_ADAPTER,3e-05,15,0.46923544539540085,2.836456537246704
DUALCLOCK_ADAPTER,3e-05,30,0.4688376987515837,16.220657348632812
DUALCLOCK_ADAPTER,3e-05,60,0.46827949543114905,4.6951470375061035
DUALCLOCK_ADAPTER,3e-05,120,0.4672697574303608,4.951380729675293
DUALCLOCK_ADAPTER,3e-05,180,0.46572727464844793,6.280998229980469
DUALCLOCK_ADAPTER,3e-05,240,0.46508282637643805,4.27248477935791
DUALCLOCK_ADAPTER,3e-05,360,0.4638975380824128,3.486025333404541
DUALCLOCK_ADAPTER,0.0001,0,0.4701703860210901,
DUALCLOCK_ADAPTER,0.0001,4,0.4693185636150936,3.7847037315368652
DUALCLOCK_ADAPTER,0.0001,8,0.4688285417559164,22.114906311035156
DUALCLOCK_ADAPTER,0.0001,15,0.46828848330494793,2.838761568069458
DUALCLOCK_ADAPTER,0.0001,30,0.4673094957563295,16.221736907958984
DUALCLOCK_ADAPTER,0.0001,60,0.4659526727770489,4.645135402679443
DUALCLOCK_ADAPTER,0.0001,120,0.46557922056712825,4.7379865646362305
DUALCLOCK_ADAPTER,0.0001,180,0.46417824916965744,6.17315149307251
DUALCLOCK_ADAPTER,0.0001,240,0.4644828833562995,4.083795070648193
DUALCLOCK_ADAPTER,0.0001,360,0.4634599404090297,3.324263095855713
