arm,LoRA_parameters,extra_parameters,total_trainable,frozen_parameters,input_rows,context,horizon,native_calls_per_update,CPU_fitted_scalar_entries_used,shared_prepared_CPU_scalar_storage,CPU_scalar_entries_in_forward,unique_training_origins,occurrences_per_unique_origin
I0,1179648,0,1179648,119477664,5,336,24,1,0,0,0,16,32
I1,1179648,0,1179648,119477664,5,336,24,1,0,0,0,64,8
I2,1179648,0,1179648,119477664,5,336,24,1,0,0,0,64,8
I3,1179648,0,1179648,119477664,5,336,24,1,0,0,0,64,8
I4,1179648,0,1179648,119477664,5,336,24,1,0,0,0,64,8
