arm,buffers_unchanged,frozen_unchanged,id,initial_lora_hash,lr,optimizer_seconds,peak_allocated_bytes,peak_reserved_bytes,seconds,seed,started_at,status,trainable_parameters,updates
I0,True,True,I0_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.680579772393685,648435712,679477248,62.92201665000175,73100,1789571207.1333203,COMPLETE,1179648,512
I0,True,True,I0_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,50.11697960211313,647878656,662700032,62.22609460100648,73100,1789571271.0448005,COMPLETE,1179648,512
I1,True,True,I1_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.9815287811216,647878656,662700032,63.018588750011986,73100,1789571334.268004,COMPLETE,1179648,512
I1,True,True,I1_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,49.62348096386995,647878656,662700032,61.692396317987004,73100,1789571398.330638,COMPLETE,1179648,512
I2,True,True,I2_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,50.10238469237811,647878656,662700032,63.42568062900682,73100,1789571461.0743654,COMPLETE,1179648,512
I2,True,True,I2_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,49.742165303905495,647878656,662700032,61.91164103301708,73100,1789571525.4689507,COMPLETE,1179648,512
I3,True,True,I3_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.73582394814002,647878656,662700032,63.003063569020014,73100,1789571588.3793597,COMPLETE,1179648,512
I3,True,True,I3_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,49.60044699968421,647878656,662700032,61.74207489498076,73100,1789571652.3656657,COMPLETE,1179648,512
I4,True,True,I4_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.89471610673354,647878656,662700032,63.12373561100685,73100,1789571715.0906553,COMPLETE,1179648,512
I4,True,True,I4_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,49.54220134828938,647878656,662700032,61.679771383001935,73100,1789571779.1985657,COMPLETE,1179648,512
I0,True,True,I0_73101_1e-04,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,0.0001,49.52223648549989,647878656,662700032,62.68060066900216,73101,1789571841.8613424,COMPLETE,1179648,512
I1,True,True,I1_73101_1e-04,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,0.0001,49.695123325131135,647878656,662700032,62.984113283018814,73101,1789571905.5392199,COMPLETE,1179648,512
I2,True,True,I2_73101_1e-04,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,0.0001,49.7376703209884,647878656,662700032,62.97527847200399,73101,1789571969.5100732,COMPLETE,1179648,512
I3,True,True,I3_73101_1e-04,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,0.0001,50.039211346622324,647878656,662700032,63.24312681599986,73101,1789572033.4824178,COMPLETE,1179648,512
I4,True,True,I4_73101_1e-04,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,0.0001,49.983734968001954,647878656,662700032,63.31657033300144,73101,1789572097.7167273,COMPLETE,1179648,512
I0,True,True,I0_73102_1e-04,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,0.0001,49.37719990729238,647878656,662700032,62.54882817598991,73102,1789572162.0250413,COMPLETE,1179648,512
I1,True,True,I1_73102_1e-04,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,0.0001,49.79656988076749,647878656,662700032,63.05195583499153,73102,1789572225.5389686,COMPLETE,1179648,512
I2,True,True,I2_73102_1e-04,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,0.0001,49.90478724526474,647878656,662700032,63.24101451100432,73102,1789572289.5779831,COMPLETE,1179648,512
I3,True,True,I3_73102_1e-04,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,0.0001,49.581761269510025,647878656,662700032,62.73777539702132,73102,1789572353.7890127,COMPLETE,1179648,512
I4,True,True,I4_73102_1e-04,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,0.0001,49.57537488578237,647878656,662700032,62.83623484199052,73102,1789572417.5075326,COMPLETE,1179648,512
