id,unique_origins,each_occurrences,total_updates,contaminated_updates,clip_fraction
I0_73100_1e-04,16,32,512,0,0.673828125
I0_73100_3e-05,16,32,512,0,0.771484375
I1_73100_1e-04,64,8,512,0,0.330078125
I1_73100_3e-05,64,8,512,0,0.33984375
I2_73100_1e-04,64,8,512,0,0.36328125
I2_73100_3e-05,64,8,512,0,0.302734375
I3_73100_1e-04,64,8,512,0,0.333984375
I3_73100_3e-05,64,8,512,0,0.3125
I4_73100_1e-04,64,8,512,0,0.33203125
I4_73100_3e-05,64,8,512,0,0.31640625
I0_73101_1e-04,16,32,512,0,0.7109375
I1_73101_1e-04,64,8,512,0,0.35546875
I2_73101_1e-04,64,8,512,0,0.37890625
I3_73101_1e-04,64,8,512,0,0.326171875
I4_73101_1e-04,64,8,512,0,0.33984375
I0_73102_1e-04,16,32,512,0,0.72265625
I1_73102_1e-04,64,8,512,0,0.3671875
I2_73102_1e-04,64,8,512,0,0.345703125
I3_73102_1e-04,64,8,512,0,0.33984375
I4_73102_1e-04,64,8,512,0,0.333984375
