arm,seed,policy,metric,value
I0,73101,selected,daily_mean_RMSE_normalized,0.2791034500862419
I0,73101,selected,daily_sum_RMSE_raw,252.7979571389464
I0,73101,selected,pattern_RMSE_normalized,0.47001278187997875
I0,73101,fixed512,daily_mean_RMSE_normalized,0.2739989133796166
I0,73101,fixed512,daily_sum_RMSE_raw,250.7178201733006
I0,73101,fixed512,pattern_RMSE_normalized,0.47880205488582017
I1,73101,selected,daily_mean_RMSE_normalized,0.24819378504261386
I1,73101,selected,daily_sum_RMSE_raw,222.1512760864103
I1,73101,selected,pattern_RMSE_normalized,0.4744476214937391
I1,73101,fixed512,daily_mean_RMSE_normalized,0.24819378504261386
I1,73101,fixed512,daily_sum_RMSE_raw,222.1512760864103
I1,73101,fixed512,pattern_RMSE_normalized,0.4744476214937391
I2,73101,selected,daily_mean_RMSE_normalized,0.25750509750987727
I2,73101,selected,daily_sum_RMSE_raw,229.4950854939808
I2,73101,selected,pattern_RMSE_normalized,0.6315084942212463
I2,73101,fixed512,daily_mean_RMSE_normalized,0.25750509750987727
I2,73101,fixed512,daily_sum_RMSE_raw,229.4950854939808
I2,73101,fixed512,pattern_RMSE_normalized,0.6315084942212463
I3,73101,selected,daily_mean_RMSE_normalized,0.2219901296982609
I3,73101,selected,daily_sum_RMSE_raw,204.22035490451407
I3,73101,selected,pattern_RMSE_normalized,0.5757067683052526
I3,73101,fixed512,daily_mean_RMSE_normalized,0.2547806904589522
I3,73101,fixed512,daily_sum_RMSE_raw,222.6702994026659
I3,73101,fixed512,pattern_RMSE_normalized,0.5643882025650919
I4,73101,selected,daily_mean_RMSE_normalized,0.22089942847100502
I4,73101,selected,daily_sum_RMSE_raw,202.9257928730028
I4,73101,selected,pattern_RMSE_normalized,0.5776020368561532
I4,73101,fixed512,daily_mean_RMSE_normalized,0.2528674423624687
I4,73101,fixed512,daily_sum_RMSE_raw,223.80555217005366
I4,73101,fixed512,pattern_RMSE_normalized,0.5683691956978651
I0,73102,selected,daily_mean_RMSE_normalized,0.2825638635290335
I0,73102,selected,daily_sum_RMSE_raw,250.84520279490454
I0,73102,selected,pattern_RMSE_normalized,0.46095603054710044
I0,73102,fixed512,daily_mean_RMSE_normalized,0.29023300252469786
I0,73102,fixed512,daily_sum_RMSE_raw,262.4417312043188
I0,73102,fixed512,pattern_RMSE_normalized,0.4664648044858771
I1,73102,selected,daily_mean_RMSE_normalized,0.23406327968218604
I1,73102,selected,daily_sum_RMSE_raw,224.8804120824968
I1,73102,selected,pattern_RMSE_normalized,0.4767151841304865
I1,73102,fixed512,daily_mean_RMSE_normalized,0.24773586640270714
I1,73102,fixed512,daily_sum_RMSE_raw,223.1673919240398
I1,73102,fixed512,pattern_RMSE_normalized,0.47664258763832734
I2,73102,selected,daily_mean_RMSE_normalized,0.2409848183758794
I2,73102,selected,daily_sum_RMSE_raw,214.99429113367586
I2,73102,selected,pattern_RMSE_normalized,0.619643806646538
I2,73102,fixed512,daily_mean_RMSE_normalized,0.2409848183758794
I2,73102,fixed512,daily_sum_RMSE_raw,214.99429113367586
I2,73102,fixed512,pattern_RMSE_normalized,0.619643806646538
I3,73102,selected,daily_mean_RMSE_normalized,0.2214675578585077
I3,73102,selected,daily_sum_RMSE_raw,204.9163340337402
I3,73102,selected,pattern_RMSE_normalized,0.5420691539275861
I3,73102,fixed512,daily_mean_RMSE_normalized,0.24623116172719361
I3,73102,fixed512,daily_sum_RMSE_raw,215.99491238170185
I3,73102,fixed512,pattern_RMSE_normalized,0.560680067045465
I4,73102,selected,daily_mean_RMSE_normalized,0.22416160137263547
I4,73102,selected,daily_sum_RMSE_raw,206.38917680243898
I4,73102,selected,pattern_RMSE_normalized,0.5368705158808958
I4,73102,fixed512,daily_mean_RMSE_normalized,0.2583076989636746
I4,73102,fixed512,daily_sum_RMSE_raw,225.21915176300354
I4,73102,fixed512,pattern_RMSE_normalized,0.5598237571632411
FROZEN,73101,selected,daily_mean_RMSE_normalized,0.21750436002883783
FROZEN,73101,selected,daily_sum_RMSE_raw,210.52269493079922
FROZEN,73101,selected,pattern_RMSE_normalized,0.676354739400502
FROZEN,73102,selected,daily_mean_RMSE_normalized,0.21750436002883783
FROZEN,73102,selected,daily_sum_RMSE_raw,210.52269493079922
FROZEN,73102,selected,pattern_RMSE_normalized,0.676354739400502
