id,arm,seed,updates,optimizer_seconds,seconds,trainable_parameters,peak_allocated_bytes,peak_reserved_bytes,status
I0_73100_1e-04,I0,73100,512,49.680579772393685,62.92201665000175,1179648,648435712,679477248,COMPLETE
I0_73100_3e-05,I0,73100,512,50.11697960211313,62.22609460100648,1179648,647878656,662700032,COMPLETE
I1_73100_1e-04,I1,73100,512,49.9815287811216,63.018588750011986,1179648,647878656,662700032,COMPLETE
I1_73100_3e-05,I1,73100,512,49.62348096386995,61.692396317987004,1179648,647878656,662700032,COMPLETE
I2_73100_1e-04,I2,73100,512,50.10238469237811,63.42568062900682,1179648,647878656,662700032,COMPLETE
I2_73100_3e-05,I2,73100,512,49.742165303905495,61.91164103301708,1179648,647878656,662700032,COMPLETE
I3_73100_1e-04,I3,73100,512,49.73582394814002,63.003063569020014,1179648,647878656,662700032,COMPLETE
I3_73100_3e-05,I3,73100,512,49.60044699968421,61.74207489498076,1179648,647878656,662700032,COMPLETE
I4_73100_1e-04,I4,73100,512,49.89471610673354,63.12373561100685,1179648,647878656,662700032,COMPLETE
I4_73100_3e-05,I4,73100,512,49.54220134828938,61.679771383001935,1179648,647878656,662700032,COMPLETE
I0_73101_1e-04,I0,73101,512,49.52223648549989,62.68060066900216,1179648,647878656,662700032,COMPLETE
I1_73101_1e-04,I1,73101,512,49.695123325131135,62.984113283018814,1179648,647878656,662700032,COMPLETE
I2_73101_1e-04,I2,73101,512,49.7376703209884,62.97527847200399,1179648,647878656,662700032,COMPLETE
I3_73101_1e-04,I3,73101,512,50.039211346622324,63.24312681599986,1179648,647878656,662700032,COMPLETE
I4_73101_1e-04,I4,73101,512,49.983734968001954,63.31657033300144,1179648,647878656,662700032,COMPLETE
I0_73102_1e-04,I0,73102,512,49.37719990729238,62.54882817598991,1179648,647878656,662700032,COMPLETE
I1_73102_1e-04,I1,73102,512,49.79656988076749,63.05195583499153,1179648,647878656,662700032,COMPLETE
I2_73102_1e-04,I2,73102,512,49.90478724526474,63.24101451100432,1179648,647878656,662700032,COMPLETE
I3_73102_1e-04,I3,73102,512,49.581761269510025,62.73777539702132,1179648,647878656,662700032,COMPLETE
I4_73102_1e-04,I4,73102,512,49.57537488578237,62.83623484199052,1179648,647878656,662700032,COMPLETE
