panel,kind,condition,seed,new,baseline,new_nmae,baseline_nmae,gain_pct
electricity,shape,PAIRED_SHIFT8_D32,81551,C2,C0,0.20505801983541472,0.21142078463748246,3.009526623873715
electricity,shape,PAIRED_SHIFT8_D32,81551,C3,C0,0.20478331838228295,0.21142078463748246,3.1394577721299277
electricity,shape,PAIRED_SHIFT8_D32,81551,C3,C2,0.20478331838228295,0.20505801983541472,0.1339627942141708
electricity,shape,PAIRED_SHIFT8_D32,81551,C3,M_MEAN,0.20478331838228295,0.20501019499571488,0.11066601513972651
electricity,shape,PAIRED_SHIFT8_D32,81551,C3,M_ROTATE16,0.20478331838228295,0.20525933838778035,0.2319114975407821
electricity,shape,PAIRED_SHIFT8_D32,81551,C3,M_RECENCY,0.20478331838228295,0.2052813549855261,0.24261170883165262
electricity,shape,PAIRED_SHIFT8_D32,81551,C3_W_RECENCY_G,C3,0.20503166937096348,0.20478331838228295,-0.12127500943066583
electricity,shape,PAIRED_SHIFT8_D32,81551,RECENCY_W_C3_G,M_RECENCY,0.2051211733965236,0.2052813549855261,0.07803026680810454
electricity,shape,PAIRED_SHIFT8_D32,81551,C3,RECENCY_W_C3_G,0.20478331838228295,0.2051211733965236,0.16470996564920126
electricity,shape,PAIRED_SHIFT8_D32,81551,C3_W_RECENCY_G,M_RECENCY,0.20503166937096348,0.2052813549855261,0.12163092677375253
electricity,shape,PAIRED_SHIFT8_D32,81552,C2,C0,0.21016006454604294,0.2143870549534957,1.9716630784305744
electricity,shape,PAIRED_SHIFT8_D32,81552,C3,C0,0.20495632134116135,0.2143870549534957,4.398928664037127
electricity,shape,PAIRED_SHIFT8_D32,81552,C3,C2,0.20495632134116135,0.21016006454604294,2.476085652201321
electricity,shape,PAIRED_SHIFT8_D32,81552,C3,M_MEAN,0.20495632134116135,0.20894709437191297,1.9099442577786174
electricity,shape,PAIRED_SHIFT8_D32,81552,C3,M_ROTATE16,0.20495632134116135,0.21003725758870714,2.4190642678715735
electricity,shape,PAIRED_SHIFT8_D32,81552,C3,M_RECENCY,0.20495632134116135,0.20503378683250698,0.03778181759327426
electricity,shape,PAIRED_SHIFT8_D32,81552,C3_W_RECENCY_G,C3,0.2049616513977691,0.20495632134116135,-0.0026005817107099816
electricity,shape,PAIRED_SHIFT8_D32,81552,RECENCY_W_C3_G,M_RECENCY,0.20503288295720776,0.20503378683250698,0.0004408421232282578
electricity,shape,PAIRED_SHIFT8_D32,81552,C3,RECENCY_W_C3_G,0.20495632134116135,0.20503288295720776,0.037341140085511704
electricity,shape,PAIRED_SHIFT8_D32,81552,C3_W_RECENCY_G,M_RECENCY,0.2049616513977691,0.20503378683250698,0.0351822184295969
electricity,shape,PAIRED_SHIFT8_D32,81553,C2,C0,0.20471650191958302,0.2083058927238127,1.7231345485692828
electricity,shape,PAIRED_SHIFT8_D32,81553,C3,C0,0.20506294612476453,0.2083058927238127,1.5568194238978705
electricity,shape,PAIRED_SHIFT8_D32,81553,C3,C2,0.20506294612476453,0.20471650191958302,-0.16923120604981357
electricity,shape,PAIRED_SHIFT8_D32,81553,C3,M_MEAN,0.20506294612476453,0.2048229583730064,-0.117168384669597
electricity,shape,PAIRED_SHIFT8_D32,81553,C3,M_ROTATE16,0.20506294612476453,0.20469030848187958,-0.1820494803338235
electricity,shape,PAIRED_SHIFT8_D32,81553,C3,M_RECENCY,0.20506294612476453,0.20502694343610572,-0.017559979218062516
electricity,shape,PAIRED_SHIFT8_D32,81553,C3_W_RECENCY_G,C3,0.2052684848786466,0.20506294612476453,-0.1002320300991899
electricity,shape,PAIRED_SHIFT8_D32,81553,RECENCY_W_C3_G,M_RECENCY,0.20496138507322467,0.20502694343610572,0.03197548662743355
electricity,shape,PAIRED_SHIFT8_D32,81553,C3,RECENCY_W_C3_G,0.20506294612476453,0.20496138507322467,-0.049551310118034486
electricity,shape,PAIRED_SHIFT8_D32,81553,C3_W_RECENCY_G,M_RECENCY,0.2052684848786466,0.20502694343610572,-0.11780961004090873
electricity,shape,PULSE8_D32,81551,C2,C0,2.988170780966064,2.993564815341061,0.1801876594538454
electricity,shape,PULSE8_D32,81551,C3,C0,2.9980059546766236,2.993564815341061,-0.14835621105657726
electricity,shape,PULSE8_D32,81551,C3,C2,2.9980059546766236,2.988170780966064,-0.32913693464935445
electricity,shape,PULSE8_D32,81551,C3,M_MEAN,2.9980059546766236,2.9889228872349314,-0.3038909929889533
electricity,shape,PULSE8_D32,81551,C3,M_ROTATE16,2.9980059546766236,2.9874955421281295,-0.35181349730173395
electricity,shape,PULSE8_D32,81551,C3,M_RECENCY,2.9980059546766236,2.995968681819266,-0.06800047242552232
electricity,shape,PULSE8_D32,81551,C3_W_RECENCY_G,C3,2.9973943904579374,2.9980059546766236,0.020399032821538654
electricity,shape,PULSE8_D32,81551,RECENCY_W_C3_G,M_RECENCY,2.9962009125878666,2.995968681819266,-0.007751441796099989
electricity,shape,PULSE8_D32,81551,C3,RECENCY_W_C3_G,2.9980059546766236,2.9962009125878666,-0.06024436082285867
electricity,shape,PULSE8_D32,81551,C3_W_RECENCY_G,M_RECENCY,2.9973943904579374,2.995968681819266,-0.04758756816529708
electricity,shape,PULSE8_D32,81552,C2,C0,2.9610386759809084,2.9513351355726445,-0.3287847690120582
electricity,shape,PULSE8_D32,81552,C3,C0,2.990601584052126,2.9513351355726445,-1.3304638977187144
electricity,shape,PULSE8_D32,81552,C3,C2,2.990601584052126,2.9610386759809084,-0.9983965529063665
electricity,shape,PULSE8_D32,81552,C3,M_MEAN,2.990601584052126,2.9657456776207947,-0.8380997271239865
electricity,shape,PULSE8_D32,81552,C3,M_ROTATE16,2.990601584052126,2.9616869644096524,-0.9762888512506063
electricity,shape,PULSE8_D32,81552,C3,M_RECENCY,2.990601584052126,2.9895865417451217,-0.03395259822154273
electricity,shape,PULSE8_D32,81552,C3_W_RECENCY_G,C3,2.9900265554688694,2.990601584052126,0.019227856573178492
electricity,shape,PULSE8_D32,81552,RECENCY_W_C3_G,M_RECENCY,2.9898386843167377,2.9895865417451217,-0.008434028187354059
electricity,shape,PULSE8_D32,81552,C3,RECENCY_W_C3_G,2.990601584052126,2.9898386843167377,-0.02551641797232662
electricity,shape,PULSE8_D32,81552,C3_W_RECENCY_G,M_RECENCY,2.9900265554688694,2.9895865417451217,-0.014718213291486926
electricity,shape,PULSE8_D32,81553,C2,C0,3.0047850672086382,3.0355623950344652,1.013892116866788
electricity,shape,PULSE8_D32,81553,C3,C0,3.0214286114031697,3.0355623950344652,0.46560675723270606
electricity,shape,PULSE8_D32,81553,C3,C2,3.0214286114031697,3.0047850672086382,-0.5539013214676647
electricity,shape,PULSE8_D32,81553,C3,M_MEAN,3.0214286114031697,3.006127291304626,-0.5090043972124425
electricity,shape,PULSE8_D32,81553,C3,M_ROTATE16,3.0214286114031697,3.0043930750967425,-0.5670208884328121
electricity,shape,PULSE8_D32,81553,C3,M_RECENCY,3.0214286114031697,3.0202453126529893,-0.03917889534412744
electricity,shape,PULSE8_D32,81553,C3_W_RECENCY_G,C3,3.020780371642453,3.0214286114031697,0.021454743569648826
electricity,shape,PULSE8_D32,81553,RECENCY_W_C3_G,M_RECENCY,3.020487659820798,3.0202453126529893,-0.008024088864355683
electricity,shape,PULSE8_D32,81553,C3,RECENCY_W_C3_G,3.0214286114031697,3.020487659820798,-0.03115230679100467
electricity,shape,PULSE8_D32,81553,C3_W_RECENCY_G,M_RECENCY,3.020780371642453,3.0202453126529893,-0.017715746042945568
electricity,shape,RAMP8_D32,81551,C2,C0,0.5417752375211132,0.5137246579801916,-5.460236160593879
electricity,shape,RAMP8_D32,81551,C3,C0,0.5301479703551113,0.5137246579801916,-3.1969094961279643
electricity,shape,RAMP8_D32,81551,C3,C2,0.5301479703551113,0.5417752375211132,2.146142230346737
electricity,shape,RAMP8_D32,81551,C3,M_MEAN,0.5301479703551113,0.543323566725503,2.424999977416442
electricity,shape,RAMP8_D32,81551,C3,M_ROTATE16,0.5301479703551113,0.5418462728070927,2.1589707337797415
electricity,shape,RAMP8_D32,81551,C3,M_RECENCY,0.5301479703551113,0.5316638931613359,0.28512803403119014
electricity,shape,RAMP8_D32,81551,C3_W_RECENCY_G,C3,0.5302369238522382,0.5301479703551113,-0.016778994186728013
electricity,shape,RAMP8_D32,81551,RECENCY_W_C3_G,M_RECENCY,0.5320540650239386,0.5316638931613359,-0.07338694006144841
electricity,shape,RAMP8_D32,81551,C3,RECENCY_W_C3_G,0.5301479703551113,0.5320540650239386,0.3582520638652609
electricity,shape,RAMP8_D32,81551,C3_W_RECENCY_G,M_RECENCY,0.5302369238522382,0.5316638931613359,0.2683968814607196
electricity,shape,RAMP8_D32,81552,C2,C0,0.44434551817229867,0.4598948315492489,3.3810585182201702
electricity,shape,RAMP8_D32,81552,C3,C0,0.43087547298681134,0.4598948315492489,6.3099988457534835
electricity,shape,RAMP8_D32,81552,C3,C2,0.43087547298681134,0.44434551817229867,3.03143491598451
electricity,shape,RAMP8_D32,81552,C3,M_MEAN,0.43087547298681134,0.4419627037205812,2.5086349233621075
electricity,shape,RAMP8_D32,81552,C3,M_ROTATE16,0.43087547298681134,0.4446724973180082,3.102738400600902
electricity,shape,RAMP8_D32,81552,C3,M_RECENCY,0.43087547298681134,0.4314474485210048,0.1325713099368686
electricity,shape,RAMP8_D32,81552,C3_W_RECENCY_G,C3,0.43136093601268566,0.43087547298681134,-0.11266898589263885
electricity,shape,RAMP8_D32,81552,RECENCY_W_C3_G,M_RECENCY,0.43118691048363894,0.4314474485210048,0.060386969087189435
electricity,shape,RAMP8_D32,81552,C3,RECENCY_W_C3_G,0.43087547298681134,0.43118691048363894,0.07222795712380492
electricity,shape,RAMP8_D32,81552,C3_W_RECENCY_G,M_RECENCY,0.43136093601268566,0.4314474485210048,0.020051690794720134
electricity,shape,RAMP8_D32,81553,C2,C0,0.5037242369058632,0.4832369132421334,-4.2396023776983816
electricity,shape,RAMP8_D32,81553,C3,C0,0.49341461698812145,0.4832369132421334,-2.106151965441505
electricity,shape,RAMP8_D32,81553,C3,C2,0.49341461698812145,0.5037242369058632,2.0466793460383825
electricity,shape,RAMP8_D32,81553,C3,M_MEAN,0.49341461698812145,0.5030335200672001,1.912179346973486
electricity,shape,RAMP8_D32,81553,C3,M_ROTATE16,0.49341461698812145,0.5026787745691157,1.8429577793363738
electricity,shape,RAMP8_D32,81553,C3,M_RECENCY,0.49341461698812145,0.49337525334803023,-0.007978438282840727
electricity,shape,RAMP8_D32,81553,C3_W_RECENCY_G,C3,0.49413018921234786,0.49341461698812145,-0.1450245289842389
electricity,shape,RAMP8_D32,81553,RECENCY_W_C3_G,M_RECENCY,0.49311847185426116,0.49337525334803023,0.05204588029629198
electricity,shape,RAMP8_D32,81553,C3,RECENCY_W_C3_G,0.49341461698812145,0.49311847185426116,-0.06005557503183656
electricity,shape,RAMP8_D32,81553,C3_W_RECENCY_G,M_RECENCY,0.49413018921234786,0.49337525334803023,-0.15301453795961706
electricity,shape,STEP12_D17,81551,C2,C0,0.30740328197795197,0.30498695349387034,-0.7922727370468285
electricity,shape,STEP12_D17,81551,C3,C0,0.29698924944157434,0.30498695349387034,2.6223102203802084
electricity,shape,STEP12_D17,81551,C3,C2,0.29698924944157434,0.30740328197795197,3.387742794862081
electricity,shape,STEP12_D17,81551,C3,M_MEAN,0.29698924944157434,0.3076009505071613,3.44982713742944
electricity,shape,STEP12_D17,81551,C3,M_ROTATE16,0.29698924944157434,0.3087463829060242,3.8080230620963995
electricity,shape,STEP12_D17,81551,C3,M_RECENCY,0.29698924944157434,0.298582719313078,0.5336778615887772
electricity,shape,STEP12_D17,81551,C3_W_RECENCY_G,C3,0.29668581392129434,0.29698924944157434,0.10217054012916504
electricity,shape,STEP12_D17,81551,RECENCY_W_C3_G,M_RECENCY,0.29914785147539924,0.298582719313078,-0.18927155718233557
electricity,shape,STEP12_D17,81551,C3,RECENCY_W_C3_G,0.29698924944157434,0.29914785147539924,0.7215836661298658
electricity,shape,STEP12_D17,81551,C3_W_RECENCY_G,M_RECENCY,0.29668581392129434,0.298582719313078,0.6353031401642117
electricity,shape,STEP12_D17,81552,C2,C0,0.3085662856970167,0.34131656936450794,9.595280923064609
electricity,shape,STEP12_D17,81552,C3,C0,0.3033284513344172,0.34131656936450794,11.129878077943944
electricity,shape,STEP12_D17,81552,C3,C2,0.3033284513344172,0.3085662856970167,1.6974746125513418
electricity,shape,STEP12_D17,81552,C3,M_MEAN,0.3033284513344172,0.3048407839777787,0.4961057453098938
electricity,shape,STEP12_D17,81552,C3,M_ROTATE16,0.3033284513344172,0.30861027089484333,1.7114853452903533
electricity,shape,STEP12_D17,81552,C3,M_RECENCY,0.3033284513344172,0.3057040509563861,0.7770913125085821
electricity,shape,STEP12_D17,81552,C3_W_RECENCY_G,C3,0.30294737411844197,0.3033284513344172,0.12563187340284276
electricity,shape,STEP12_D17,81552,RECENCY_W_C3_G,M_RECENCY,0.30646938218568714,0.3057040509563861,-0.25035037216769584
electricity,shape,STEP12_D17,81552,C3,RECENCY_W_C3_G,0.3033284513344172,0.30646938218568714,1.024875904036271
electricity,shape,STEP12_D17,81552,C3_W_RECENCY_G,M_RECENCY,0.30294737411844197,0.3057040509563861,0.9017469115374599
electricity,shape,STEP12_D17,81553,C2,C0,0.2841400525262861,0.2906394824301739,2.2362515407552297
electricity,shape,STEP12_D17,81553,C3,C0,0.2793493507593787,0.2906394824301739,3.8845829122709175
electricity,shape,STEP12_D17,81553,C3,C2,0.2793493507593787,0.2841400525262861,1.6860353633052827
electricity,shape,STEP12_D17,81553,C3,M_MEAN,0.2793493507593787,0.2839020661998456,1.603621805718769
electricity,shape,STEP12_D17,81553,C3,M_ROTATE16,0.2793493507593787,0.2836384789771271,1.5121813631267633
electricity,shape,STEP12_D17,81553,C3,M_RECENCY,0.2793493507593787,0.2803880659692729,0.3704562839732306
electricity,shape,STEP12_D17,81553,C3_W_RECENCY_G,C3,0.2796935296011232,0.2793493507593787,-0.12320731757882175
electricity,shape,STEP12_D17,81553,RECENCY_W_C3_G,M_RECENCY,0.280246058242579,0.2803880659692729,0.050646851249902536
electricity,shape,STEP12_D17,81553,C3,RECENCY_W_C3_G,0.2793493507593787,0.280246058242579,0.31997148820700483
electricity,shape,STEP12_D17,81553,C3_W_RECENCY_G,M_RECENCY,0.2796935296011232,0.2803880659692729,0.24770539564469285
electricity,shape,STEP12_D63,81551,C2,C0,0.22401693357117944,0.22575964139135749,0.7719306291584016
electricity,shape,STEP12_D63,81551,C3,C0,0.22143728812210636,0.22575964139135749,1.9145819166846878
electricity,shape,STEP12_D63,81551,C3,C2,0.22143728812210636,0.22401693357117944,1.1515403804299496
electricity,shape,STEP12_D63,81551,C3,M_MEAN,0.22143728812210636,0.22358159020380833,0.9590691611716773
electricity,shape,STEP12_D63,81551,C3,M_ROTATE16,0.22143728812210636,0.22419191209770828,1.22869016541568
electricity,shape,STEP12_D63,81551,C3,M_RECENCY,0.22143728812210636,0.22110397979568885,-0.1507473211135757
electricity,shape,STEP12_D63,81551,C3_W_RECENCY_G,C3,0.22150052477642898,0.22143728812210636,-0.028557364867909385
electricity,shape,STEP12_D63,81551,RECENCY_W_C3_G,M_RECENCY,0.22109902118708336,0.22110397979568885,0.002242659137152714
electricity,shape,STEP12_D63,81551,C3,RECENCY_W_C3_G,0.22143728812210636,0.22109902118708336,-0.15299341137144928
electricity,shape,STEP12_D63,81551,C3_W_RECENCY_G,M_RECENCY,0.22150052477642898,0.22110397979568885,-0.17934773544399096
electricity,shape,STEP12_D63,81552,C2,C0,0.20870337557453708,0.21207998090346417,1.5921376994390002
electricity,shape,STEP12_D63,81552,C3,C0,0.21722091871764349,0.21207998090346417,-2.4240561472510747
electricity,shape,STEP12_D63,81552,C3,C2,0.21722091871764349,0.20870337557453708,-4.0811717202266395
electricity,shape,STEP12_D63,81552,C3,M_MEAN,0.21722091871764349,0.20932046272088098,-3.7743352437059174
electricity,shape,STEP12_D63,81552,C3,M_ROTATE16,0.21722091871764349,0.2096096794008791,-3.631148780208693
electricity,shape,STEP12_D63,81552,C3,M_RECENCY,0.21722091871764349,0.21628979809483417,-0.4304967830248918
