panel,kind,arm,seed,condition,nmae,mae,pinball,crossing,nrmse
electricity,shape,C0,81551,PAIRED_SHIFT8_D32,0.21142078463748246,13.783960023444152,0.17301395010613094,0.00018310546875,0.348629692888648
electricity,shape,C0,81551,PULSE8_D32,2.993564815341061,227.36221388525155,2.8912659557006837,0.00018310546875,3.223022872406799
electricity,shape,C0,81551,RAMP8_D32,0.5137246579801916,36.76724838205068,0.39746082808685784,0.0,0.6493336992023713
electricity,shape,C0,81551,STEP12_D17,0.30498695349387034,19.8735306752847,0.2523173215938363,0.00017547607421875,0.4532214934922095
electricity,shape,C0,81551,STEP12_D63,0.22575964139135749,15.364967168408434,0.18317828630921978,2.6702880859375e-05,0.36490449816237935
electricity,shape,C0,81551,STEP6_D17,0.23937226195339445,15.512925326592558,0.19668672990158498,0.000102996826171875,0.3799746270167306
electricity,shape,C0,81551,STEP6_D63,0.20223268501427116,13.700167134195562,0.16447501379181392,3.814697265625e-05,0.341027728494138
electricity,shape,C0,81551,STEP8_D31,0.20999537202876956,13.688779888348945,0.17226658666738365,0.00032806396484375,0.34683903539472594
electricity,shape,C0,81551,STEP8_D33,0.21485539999825576,13.995491208493348,0.17505109402192953,0.00019073486328125,0.3521676680758685
electricity,shape,C0,81552,PAIRED_SHIFT8_D32,0.2143870549534957,13.806072913704034,0.17636629834535997,0.0006103515625,0.3513953507187362
electricity,shape,C0,81552,PULSE8_D32,2.9513351355726445,223.56778593568015,2.8377340143590426,0.0006103515625,3.178813939482793
electricity,shape,C0,81552,RAMP8_D32,0.4598948315492489,33.43505424337167,0.3585019199293508,0.0,0.6076271553500013
electricity,shape,C0,81552,STEP12_D17,0.34131656936450794,23.03958914577913,0.27943486593235956,9.1552734375e-05,0.49163111438533963
electricity,shape,C0,81552,STEP12_D63,0.21207998090346417,14.313653775212275,0.17419107073203538,0.00038909912109375,0.35040120239461314
electricity,shape,C0,81552,STEP6_D17,0.24596103995155694,16.070248990015344,0.20218562786113528,0.000324249267578125,0.39008686640000945
electricity,shape,C0,81552,STEP6_D63,0.1907568513860215,12.777834841871591,0.15619711405474934,0.000141143798828125,0.3293918367788418
electricity,shape,C0,81552,STEP8_D31,0.2153050211619759,13.840237011104962,0.17800156966341193,0.000728607177734375,0.35235379925282656
electricity,shape,C0,81552,STEP8_D33,0.21906307285666612,14.10002509186054,0.17964536880492143,0.000804901123046875,0.35562270917514954
electricity,shape,C0,81553,PAIRED_SHIFT8_D32,0.2083058927238127,13.581998136519726,0.16951863069231113,4.9591064453125e-05,0.3450920966371151
electricity,shape,C0,81553,PULSE8_D32,3.0355623950344652,230.91201511553663,2.937833553218288,4.9591064453125e-05,3.2682488762962003
electricity,shape,C0,81553,RAMP8_D32,0.4832369132421334,34.81053055530499,0.3734219037255762,0.0,0.6287496130010015
electricity,shape,C0,81553,STEP12_D17,0.2906394824301739,19.570667924931342,0.23898694290919942,1.9073486328125e-05,0.4291020411144271
electricity,shape,C0,81553,STEP12_D63,0.23310435890064282,16.019386745079725,0.1894838600114525,1.52587890625e-05,0.3701202909272424
electricity,shape,C0,81553,STEP6_D17,0.2396497672722446,15.96086810147021,0.19562542151057244,0.0,0.3733808540671166
electricity,shape,C0,81553,STEP6_D63,0.20004655810225097,13.35607526958565,0.16315472011150625,7.62939453125e-06,0.33647375795916296
electricity,shape,C0,81553,STEP8_D31,0.21026774009803662,13.647583849918831,0.1710472713741726,5.7220458984375e-05,0.34655947259237907
electricity,shape,C0,81553,STEP8_D33,0.20837452555149913,13.549823469302236,0.16920061790657995,2.6702880859375e-05,0.344811666965561
electricity,shape,C2,81551,PAIRED_SHIFT8_D32,0.20505801983541472,13.429455710805604,0.16889890633188673,0.001827239990234375,0.34216895555892113
electricity,shape,C2,81551,PULSE8_D32,2.988170780966064,226.39645462145563,2.8849178424565673,0.001827239990234375,3.2188082310518826
electricity,shape,C2,81551,RAMP8_D32,0.5417752375211132,39.546307764454816,0.4202993893946363,0.0,0.6809252270598677
electricity,shape,C2,81551,STEP12_D17,0.30740328197795197,20.40298266048272,0.25142785601468864,0.000186920166015625,0.4590883658128586
electricity,shape,C2,81551,STEP12_D63,0.22401693357117944,15.244009353972244,0.18153044529092197,0.0002899169921875,0.36014237232505975
electricity,shape,C2,81551,STEP6_D17,0.24243372337926056,15.829599962711155,0.1980313337405512,8.7738037109375e-05,0.38405021186720684
electricity,shape,C2,81551,STEP6_D63,0.1967281127899064,13.192751526551914,0.1602465161832884,0.000110626220703125,0.3334362037683552
electricity,shape,C2,81551,STEP8_D31,0.20677691631742504,13.508204035695377,0.17033313249909426,0.001705169677734375,0.34323376746502354
electricity,shape,C2,81551,STEP8_D33,0.207345269450618,13.556888738817774,0.1701830596807072,0.001811981201171875,0.34438637175851783
electricity,shape,C2,81552,PAIRED_SHIFT8_D32,0.21016006454604294,13.523435527442944,0.1728226147030927,0.00311279296875,0.3471586283562298
electricity,shape,C2,81552,PULSE8_D32,2.9610386759809084,224.5384540480154,2.8574467732403,0.00311279296875,3.1867321258032173
electricity,shape,C2,81552,RAMP8_D32,0.44434551817229867,32.17388202533489,0.34713491742267694,0.0,0.5870195172516751
electricity,shape,C2,81552,STEP12_D17,0.3085662856970167,20.529050959794798,0.25501430422194576,0.0004425048828125,0.4570396148473689
electricity,shape,C2,81552,STEP12_D63,0.20870337557453708,14.156927107377358,0.17147495578102537,0.0008392333984375,0.3469836737997169
electricity,shape,C2,81552,STEP6_D17,0.2350108337583387,15.33074615829172,0.1937132511692827,0.000560760498046875,0.378638243011394
electricity,shape,C2,81552,STEP6_D63,0.19111792856763243,12.875231045803435,0.15648384393262155,0.00017547607421875,0.3300157593862395
electricity,shape,C2,81552,STEP8_D31,0.2099957599106122,13.470534433388842,0.17343686743026274,0.003387451171875,0.3466653636022907
electricity,shape,C2,81552,STEP8_D33,0.2150456582704509,13.833939388939253,0.17637174146497595,0.00345611572265625,0.3514314285215066
