panel,kind,arm,seed,condition,nmae,mae,pinball,crossing,nrmse
electricity,shape,C2,81553,PAIRED_SHIFT8_D32,0.20471650191958302,13.293202388711366,0.16736482577581116,0.001434326171875,0.34059892446516715
electricity,shape,C2,81553,PULSE8_D32,3.0047850672086382,228.2180468634033,2.9120140173067126,0.001434326171875,3.2366483643328356
electricity,shape,C2,81553,RAMP8_D32,0.5037242369058632,36.71587305714912,0.392651880444117,0.0,0.647624448156238
electricity,shape,C2,81553,STEP12_D17,0.2841400525262861,18.8477410031875,0.23188692123294674,9.5367431640625e-05,0.425756347356063
electricity,shape,C2,81553,STEP12_D63,0.22427806795008892,15.254313499310879,0.18284717086150276,0.000156402587890625,0.3599294554790659
electricity,shape,C2,81553,STEP6_D17,0.2347471649362602,15.6512457420928,0.19117827890229772,3.0517578125e-05,0.3703366141788682
electricity,shape,C2,81553,STEP6_D63,0.1956705067313142,13.000733362330443,0.16015649159551387,0.000141143798828125,0.3322263200764679
electricity,shape,C2,81553,STEP8_D31,0.20715956181584844,13.416633039675382,0.16928301964749798,0.0008697509765625,0.34244530929746986
electricity,shape,C2,81553,STEP8_D33,0.2060843520660758,13.370781280754697,0.16818409686831343,0.00118255615234375,0.34123724790050086
electricity,shape,C3,81551,PAIRED_SHIFT8_D32,0.20478331838228295,13.391985777561056,0.1684548768383346,0.0010223388671875,0.3413719667034678
electricity,shape,C3,81551,PULSE8_D32,2.9980059546766236,227.37603820032382,2.8964183603650717,0.0010223388671875,3.2279597506234534
electricity,shape,C3,81551,RAMP8_D32,0.5301479703551113,38.36182504271318,0.4117767163803862,0.0,0.6698941134677083
electricity,shape,C3,81551,STEP12_D17,0.29698924944157434,19.583761856034958,0.24399331897012846,0.000263214111328125,0.4478398626279671
electricity,shape,C3,81551,STEP12_D63,0.22143728812210636,15.040737799325537,0.17964694220611735,0.00022125244140625,0.35719998846087253
electricity,shape,C3,81551,STEP6_D17,0.2390200029959951,15.581409455911487,0.19559126493173437,0.000148773193359375,0.38042290907308596
electricity,shape,C3,81551,STEP6_D63,0.19716696559272234,13.230394666425006,0.16064770078177829,0.000102996826171875,0.33395903084361167
electricity,shape,C3,81551,STEP8_D31,0.20789581644530944,13.55654183761228,0.1708263896680519,0.0012664794921875,0.34354915648096623
electricity,shape,C3,81551,STEP8_D33,0.20726381115118314,13.529395959915094,0.16980647558470674,0.000865936279296875,0.3440648466640111
electricity,shape,C3,81552,PAIRED_SHIFT8_D32,0.20495632134116135,13.207620875162494,0.1686081019043513,0.002269744873046875,0.3420085445347606
electricity,shape,C3,81552,PULSE8_D32,2.990601584052126,226.72282574337441,2.882819510401034,0.002269744873046875,3.2175142676130517
electricity,shape,C3,81552,RAMP8_D32,0.43087547298681134,31.040567174925414,0.33758344203338025,0.0,0.5788669805058406
electricity,shape,C3,81552,STEP12_D17,0.3033284513344172,20.229791282387545,0.251194403757026,0.000213623046875,0.4521058372214321
electricity,shape,C3,81552,STEP12_D63,0.21722091871764349,14.818850706280175,0.17683001061800793,0.000583648681640625,0.3540182454349692
electricity,shape,C3,81552,STEP6_D17,0.23467418497546277,15.334660678150804,0.19360744199431792,0.00037384033203125,0.37804927489094886
electricity,shape,C3,81552,STEP6_D63,0.19436920089812962,13.189843375151167,0.15858643382783016,0.00011444091796875,0.3329372079850676
electricity,shape,C3,81552,STEP8_D31,0.20679418011084877,13.297746395106454,0.17058577097949376,0.002475738525390625,0.34347212303783603
electricity,shape,C3,81552,STEP8_D33,0.20801859429334693,13.394328023991424,0.17069366467771807,0.002532958984375,0.3448642697504004
electricity,shape,C3,81553,PAIRED_SHIFT8_D32,0.20506294612476453,13.31911281765932,0.1672849946551771,0.0005035400390625,0.341100483170524
electricity,shape,C3,81553,PULSE8_D32,3.0214286114031697,229.59236482373672,2.928535454514469,0.0005035400390625,3.254504091970025
electricity,shape,C3,81553,RAMP8_D32,0.49341461698812145,35.82282376736273,0.3840139607178555,0.0,0.6393444824062822
electricity,shape,C3,81553,STEP12_D17,0.2793493507593787,18.623769057766918,0.22907610362213524,7.62939453125e-05,0.4192198869700343
electricity,shape,C3,81553,STEP12_D63,0.2253083832279864,15.3653152146864,0.1839590698270382,2.6702880859375e-05,0.3615614501001941
electricity,shape,C3,81553,STEP6_D17,0.23448291327372364,15.616433466737236,0.19108152132004977,2.6702880859375e-05,0.3693220391128435
electricity,shape,C3,81553,STEP6_D63,0.1966126863985462,13.053239653325837,0.16082619884560792,1.1444091796875e-05,0.33288485645906285
electricity,shape,C3,81553,STEP8_D31,0.2084591934232076,13.491027961358089,0.16996461239257227,0.0002899169921875,0.3439288735995998
electricity,shape,C3,81553,STEP8_D33,0.2053694114001826,13.310601274912095,0.1672831402312854,0.0003509521484375,0.34083027426006585
electricity,shape,C3_W_RECENCY_G,81551,PAIRED_SHIFT8_D32,0.20503166937096348,13.397752141758208,0.16863186178591896,0.001026153564453125,0.3416878442694138
electricity,shape,C3_W_RECENCY_G,81551,PULSE8_D32,2.9973943904579374,227.36118957448343,2.895482562293327,0.001026153564453125,3.2273479051781875
electricity,shape,C3_W_RECENCY_G,81551,RAMP8_D32,0.5302369238522382,38.36358648354637,0.4118088338794447,0.0,0.6700631604240342
electricity,shape,C3_W_RECENCY_G,81551,STEP12_D17,0.29668581392129434,19.57538012159129,0.24368722479969637,0.0002593994140625,0.44589864517581557
electricity,shape,C3_W_RECENCY_G,81551,STEP12_D63,0.22150052477642898,15.041726510677668,0.17969008595211414,0.000217437744140625,0.357313889423404
electricity,shape,C3_W_RECENCY_G,81551,STEP6_D17,0.23925690202534494,15.58592933010317,0.1956866057274283,0.000152587890625,0.38038256263898057
electricity,shape,C3_W_RECENCY_G,81551,STEP6_D63,0.19717010564453144,13.226438278364746,0.16063831007722337,0.0001068115234375,0.3338885684174874
electricity,shape,C3_W_RECENCY_G,81551,STEP8_D31,0.20808229210435744,13.560430877749244,0.17097396890428077,0.001270294189453125,0.3438212875947683
electricity,shape,C3_W_RECENCY_G,81551,STEP8_D33,0.20755859098187757,13.536160242976495,0.1700288161920676,0.00086212158203125,0.34436425150995564
electricity,shape,C3_W_RECENCY_G,81552,PAIRED_SHIFT8_D32,0.2049616513977691,13.206361672254282,0.16862395245120557,0.0022735595703125,0.3419756467535999
electricity,shape,C3_W_RECENCY_G,81552,PULSE8_D32,2.9900265554688694,226.70032418266055,2.8821088370965446,0.0022735595703125,3.2170820711674053
electricity,shape,C3_W_RECENCY_G,81552,RAMP8_D32,0.43136093601268566,31.063739300014745,0.3378991159000947,0.0,0.579270074717619
electricity,shape,C3_W_RECENCY_G,81552,STEP12_D17,0.30294737411844197,20.235601117783983,0.2507810290936161,0.000217437744140625,0.45089428244122876
electricity,shape,C3_W_RECENCY_G,81552,STEP12_D63,0.21724546427471553,14.818241562377347,0.1768469554729668,0.000583648681640625,0.3541632201905675
electricity,shape,C3_W_RECENCY_G,81552,STEP6_D17,0.23463670879401827,15.335778989520712,0.19353902528488645,0.00037384033203125,0.37758371670654833
electricity,shape,C3_W_RECENCY_G,81552,STEP6_D63,0.19443381508670057,13.194659009511515,0.15861245817259387,0.0001068115234375,0.3330907117559378
electricity,shape,C3_W_RECENCY_G,81552,STEP8_D31,0.20667717873266103,13.292940470762533,0.17054790466607328,0.002483367919921875,0.3433746418698219
electricity,shape,C3_W_RECENCY_G,81552,STEP8_D33,0.20796637011012448,13.392577918034117,0.17068584242056056,0.00252532958984375,0.34484876219506555
electricity,shape,C3_W_RECENCY_G,81553,PAIRED_SHIFT8_D32,0.2052684848786466,13.323839186592847,0.16746251567615322,0.0005035400390625,0.3414389282327582
electricity,shape,C3_W_RECENCY_G,81553,PULSE8_D32,3.020780371642453,229.57321780778875,2.9277072826889117,0.0005035400390625,3.2536647700480414
electricity,shape,C3_W_RECENCY_G,81553,RAMP8_D32,0.49413018921234786,35.83697156267132,0.38446626469835793,0.0,0.6398549813720427
electricity,shape,C3_W_RECENCY_G,81553,STEP12_D17,0.2796935296011232,18.633147144643093,0.22939094314133254,7.62939453125e-05,0.4196363472504519
electricity,shape,C3_W_RECENCY_G,81553,STEP12_D63,0.22537494808745526,15.365991535461507,0.1840021441430892,2.6702880859375e-05,0.36151527253589244
electricity,shape,C3_W_RECENCY_G,81553,STEP6_D17,0.23463922774826645,15.620323880616912,0.1911688263768303,2.6702880859375e-05,0.3693784108604079
electricity,shape,C3_W_RECENCY_G,81553,STEP6_D63,0.19648073859301457,13.03208703795031,0.16069980818727728,3.814697265625e-06,0.3325884602804346
electricity,shape,C3_W_RECENCY_G,81553,STEP8_D31,0.20876773507171406,13.49796551874563,0.17019769035304458,0.0002899169921875,0.34425239968971977
electricity,shape,C3_W_RECENCY_G,81553,STEP8_D33,0.2056847160099043,13.317262043381705,0.16752812692077915,0.0003509521484375,0.34123632630882067
electricity,shape,M_MEAN,81551,PAIRED_SHIFT8_D32,0.20501019499571488,13.432569564049999,0.16889185654673233,0.002044677734375,0.34210243981932387
electricity,shape,M_MEAN,81551,PULSE8_D32,2.9889228872349314,226.48064473048726,2.885226756744071,0.002044677734375,3.21984320483235
electricity,shape,M_MEAN,81551,RAMP8_D32,0.543323566725503,39.656305416315,0.4213459450611818,0.0,0.6829355017316131
electricity,shape,M_MEAN,81551,STEP12_D17,0.3076009505071613,20.415737329504417,0.25151732567265805,0.000194549560546875,0.4595941002358649
electricity,shape,M_MEAN,81551,STEP12_D63,0.22358159020380833,15.221082017119517,0.1812042179643725,0.000278472900390625,0.3598475299402359
electricity,shape,M_MEAN,81551,STEP6_D17,0.2429235181013145,15.863716631738003,0.198384717437474,8.7738037109375e-05,0.38463505191936775
electricity,shape,M_MEAN,81551,STEP6_D63,0.19667034500071054,13.18714453760767,0.16020974436888036,0.00011444091796875,0.3334365415709956
electricity,shape,M_MEAN,81551,STEP8_D31,0.20694975329361634,13.526505462630023,0.1704886607706857,0.00189971923828125,0.34340277611163417
electricity,shape,M_MEAN,81551,STEP8_D33,0.2072467748117756,13.554515513811038,0.17013778124279233,0.001979827880859375,0.3442475308486524
electricity,shape,M_MEAN,81552,PAIRED_SHIFT8_D32,0.20894709437191297,13.447617000420086,0.1718992310951862,0.00281524658203125,0.3460494159990134
electricity,shape,M_MEAN,81552,PULSE8_D32,2.9657456776207947,224.87844063299417,2.8616549594991993,0.00281524658203125,3.191794433665377
electricity,shape,M_MEAN,81552,RAMP8_D32,0.4419627037205812,31.95221748185493,0.3452928020516615,0.0,0.5851519920630094
electricity,shape,M_MEAN,81552,STEP12_D17,0.3048407839777787,20.278725241665917,0.25221565012108094,0.000461578369140625,0.45315882224558207
electricity,shape,M_MEAN,81552,STEP12_D63,0.20932046272088098,14.201743045735613,0.17190156566283984,0.000736236572265625,0.3476732386358819
electricity,shape,M_MEAN,81552,STEP6_D17,0.2342123286770053,15.28541459064829,0.19311195209305815,0.000637054443359375,0.37782099991690793
electricity,shape,M_MEAN,81552,STEP6_D63,0.19130328617588682,12.89370027305713,0.15660464323113307,0.000110626220703125,0.3302833404758337
electricity,shape,M_MEAN,81552,STEP8_D31,0.2091675373970421,13.420053105835947,0.17276504900960135,0.00316619873046875,0.34591737830363745
electricity,shape,M_MEAN,81552,STEP8_D33,0.21359725106505076,13.743237684538455,0.17524493487411494,0.003154754638671875,0.35015660372884605
electricity,shape,M_MEAN,81553,PAIRED_SHIFT8_D32,0.2048229583730064,13.29928245755809,0.16741749484527402,0.001499176025390625,0.3406955904636262
electricity,shape,M_MEAN,81553,PULSE8_D32,3.006127291304626,228.35488397133304,2.9131662937902276,0.001499176025390625,3.2380756977874317
electricity,shape,M_MEAN,81553,RAMP8_D32,0.5030335200672001,36.63951634875212,0.39218238079455214,0.0,0.6470727969234197
electricity,shape,M_MEAN,81553,STEP12_D17,0.2839020661998456,18.81353924776713,0.2316675993374285,0.00011444091796875,0.42562086216300415
electricity,shape,M_MEAN,81553,STEP12_D63,0.2254130897131788,15.353852664630569,0.18363712882297975,0.000164031982421875,0.3611031903744422
electricity,shape,M_MEAN,81553,STEP6_D17,0.23466807229333003,15.637520804116463,0.19106539200823214,3.0517578125e-05,0.3702424865611263
electricity,shape,M_MEAN,81553,STEP6_D63,0.1960968597746308,13.034305884754747,0.16043599262709976,0.0001373291015625,0.3326013581734938
electricity,shape,M_MEAN,81553,STEP8_D31,0.2073431886363779,13.430514532796145,0.1693930649397962,0.000942230224609375,0.3426190114565209
electricity,shape,M_MEAN,81553,STEP8_D33,0.20609514079570312,13.36727448318064,0.16816794543082533,0.001293182373046875,0.34124005931819956
electricity,shape,M_RECENCY,81551,PAIRED_SHIFT8_D32,0.2052813549855261,13.414741239237944,0.16883633208698015,0.00115966796875,0.3418676437894613
electricity,shape,M_RECENCY,81551,PULSE8_D32,2.995968681819266,227.25293262086052,2.894132246351313,0.00115966796875,3.2254862331046263
electricity,shape,M_RECENCY,81551,RAMP8_D32,0.5316638931613359,38.492899369419,0.41278044067968994,0.0,0.6716741944754654
electricity,shape,M_RECENCY,81551,STEP12_D17,0.298582719313078,19.68460254038432,0.24500145676190638,0.000255584716796875,0.44801495454767715
electricity,shape,M_RECENCY,81551,STEP12_D63,0.22110397979568885,15.016432592324607,0.17935936349393158,0.00022125244140625,0.3570555811143474
electricity,shape,M_RECENCY,81551,STEP6_D17,0.2398745604705414,15.644580408010489,0.19615963426889813,0.000133514404296875,0.38128513563580446
electricity,shape,M_RECENCY,81551,STEP6_D63,0.19691469946154874,13.206977592170164,0.16046387373894186,0.0001068115234375,0.33369551276975745
electricity,shape,M_RECENCY,81551,STEP8_D31,0.2084269310913477,13.585361826493914,0.17127234269962427,0.001392364501953125,0.34405632596530994
electricity,shape,M_RECENCY,81551,STEP8_D33,0.2079245660023777,13.560323427170257,0.17032367773704565,0.001007080078125,0.3446538560415289
electricity,shape,M_RECENCY,81552,PAIRED_SHIFT8_D32,0.20503378683250698,13.217611147904467,0.16872700342403282,0.002941131591796875,0.3420155071545478
electricity,shape,M_RECENCY,81552,PULSE8_D32,2.9895865417451217,226.66830197670788,2.8817430491754146,0.002941131591796875,3.2167178306067834
electricity,shape,M_RECENCY,81552,RAMP8_D32,0.4314474485210048,31.11600227321681,0.33792357595787476,0.0,0.578569333593955
electricity,shape,M_RECENCY,81552,STEP12_D17,0.3057040509563861,20.426053756255513,0.2527717971396517,0.00018310546875,0.45298190227404855
electricity,shape,M_RECENCY,81552,STEP12_D63,0.21628979809483417,14.762085733607114,0.17617678851146115,0.000823974609375,0.3533691592956636
electricity,shape,M_RECENCY,81552,STEP6_D17,0.23562777983439107,15.432370068164214,0.1941392540160214,0.000331878662109375,0.37805438581481254
electricity,shape,M_RECENCY,81552,STEP6_D63,0.1939781664401588,13.155538321531973,0.15827868876257245,0.000202178955078125,0.3327432139247942
electricity,shape,M_RECENCY,81552,STEP8_D31,0.20691939216179636,13.315876885816765,0.1707965756014873,0.0030670166015625,0.34356157209191257
electricity,shape,M_RECENCY,81552,STEP8_D33,0.20846105383841346,13.429795771358057,0.1711540015148513,0.003391265869140625,0.3453207982717419
electricity,shape,M_RECENCY,81553,PAIRED_SHIFT8_D32,0.20502694343610572,13.320203341682998,0.16729381621219794,0.0006256103515625,0.34114609318869066
electricity,shape,M_RECENCY,81553,PULSE8_D32,3.0202453126529893,229.49812755084713,2.927240200921151,0.0006256103515625,3.2528816837727392
electricity,shape,M_RECENCY,81553,RAMP8_D32,0.49337525334803023,35.78605781915195,0.3837353282691488,0.0,0.6391943318199625
electricity,shape,M_RECENCY,81553,STEP12_D17,0.2803880659692729,18.679006350997795,0.22982198763105208,7.2479248046875e-05,0.4202945459228171
electricity,shape,M_RECENCY,81553,STEP12_D63,0.22534971974793902,15.368843882559451,0.18397767353849084,2.6702880859375e-05,0.36161305055780035
electricity,shape,M_RECENCY,81553,STEP6_D17,0.2344721491742149,15.614046165912328,0.19109262379194641,2.6702880859375e-05,0.36917091945585967
electricity,shape,M_RECENCY,81553,STEP6_D63,0.1964289159602666,13.03164497700017,0.1607067621392176,7.62939453125e-06,0.33266314357579346
electricity,shape,M_RECENCY,81553,STEP8_D31,0.20842872179695016,13.486002866841208,0.16998351256520336,0.00032806396484375,0.3438265906714242
electricity,shape,M_RECENCY,81553,STEP8_D33,0.2055363393530035,13.321880935104575,0.167463486113322,0.000431060791015625,0.34112503443462683
electricity,shape,M_ROTATE16,81551,PAIRED_SHIFT8_D32,0.20525933838778035,13.446490338924795,0.1691086087783909,0.00269317626953125,0.34231879649079555
electricity,shape,M_ROTATE16,81551,PULSE8_D32,2.9874955421281295,226.37890597328078,2.8841822189791566,0.00269317626953125,3.2182114869018053
electricity,shape,M_ROTATE16,81551,RAMP8_D32,0.5418462728070927,39.52728673567548,0.420448458146518,0.0,0.6812589112936847
electricity,shape,M_ROTATE16,81551,STEP12_D17,0.3087463829060242,20.46762489045761,0.25215402528229974,0.0001983642578125,0.4604131423388332
electricity,shape,M_ROTATE16,81551,STEP12_D63,0.22419191209770828,15.268838554611248,0.18155877458539682,0.000335693359375,0.36042474245033335
electricity,shape,M_ROTATE16,81551,STEP6_D17,0.24303683642285837,15.856254578145647,0.19841381229211527,9.918212890625e-05,0.3845211633261311
electricity,shape,M_ROTATE16,81551,STEP6_D63,0.19691540755204032,13.214362696409218,0.1603950410465398,0.00016021728515625,0.33375009815621165
electricity,shape,M_ROTATE16,81551,STEP8_D31,0.20712497212064168,13.535983626943699,0.17069622567648005,0.00237274169921875,0.3435256156781652
electricity,shape,M_ROTATE16,81551,STEP8_D33,0.20758795297622984,13.573112173391282,0.17044538023057992,0.00266265869140625,0.34456578403911603
electricity,shape,M_ROTATE16,81552,PAIRED_SHIFT8_D32,0.21003725758870714,13.514659124666512,0.17275289785769407,0.002834320068359375,0.34711737393279507
electricity,shape,M_ROTATE16,81552,PULSE8_D32,2.9616869644096524,224.5680723763362,2.8579037736112327,0.002834320068359375,3.1874793121216562
electricity,shape,M_ROTATE16,81552,RAMP8_D32,0.4446724973180082,32.175596434439065,0.3473430423611322,0.0,0.5876517614276986
electricity,shape,M_ROTATE16,81552,STEP12_D17,0.30861027089484333,20.519605193368537,0.2551590033475824,0.000507354736328125,0.4571422746767074
electricity,shape,M_ROTATE16,81552,STEP12_D63,0.2096096794008791,14.215363586244681,0.1722340416618863,0.000682830810546875,0.3486192698951596
electricity,shape,M_ROTATE16,81552,STEP6_D17,0.2348464163082545,15.311552707477103,0.19365291986392924,0.000751495361328125,0.37865640257535294
electricity,shape,M_ROTATE16,81552,STEP6_D63,0.19134418486421828,12.8880841558155,0.15670428733376018,0.000110626220703125,0.3306214909734322
electricity,shape,M_ROTATE16,81552,STEP8_D31,0.210149430508585,13.482764083955484,0.1735971699634079,0.003223419189453125,0.34691572349042665
electricity,shape,M_ROTATE16,81552,STEP8_D33,0.21498324284977965,13.833319177441686,0.17634723457352336,0.003101348876953125,0.3515119960971696
electricity,shape,M_ROTATE16,81553,PAIRED_SHIFT8_D32,0.20469030848187958,13.287969263351492,0.16733466103521696,0.001399993896484375,0.34053107131246674
electricity,shape,M_ROTATE16,81553,PULSE8_D32,3.0043930750967425,228.19489680524566,2.911428177431444,0.001399993896484375,3.2363462779926864
electricity,shape,M_ROTATE16,81553,RAMP8_D32,0.5026787745691157,36.62911745387678,0.3918342501292481,0.0,0.6466682583972965
electricity,shape,M_ROTATE16,81553,STEP12_D17,0.2836384789771271,18.798112879903957,0.23149045336074786,0.000102996826171875,0.42534930426831563
electricity,shape,M_ROTATE16,81553,STEP12_D63,0.22405184005968382,15.228925633238724,0.1825767816259342,0.00018310546875,0.359798278957533
electricity,shape,M_ROTATE16,81553,STEP6_D17,0.23453895017061416,15.623972477259372,0.19098022869259051,3.0517578125e-05,0.37007680758925443
electricity,shape,M_ROTATE16,81553,STEP6_D63,0.1958843292008128,13.01700930877929,0.1603096962138937,0.000125885009765625,0.33253613688371436
electricity,shape,M_ROTATE16,81553,STEP8_D31,0.20713151228044885,13.412206077761024,0.1692616848491068,0.00086212158203125,0.34233872231148654
electricity,shape,M_ROTATE16,81553,STEP8_D33,0.20614158947478098,13.366207163283962,0.1682350999933439,0.0011749267578125,0.34132294421051984
electricity,shape,RECENCY_W_C3_G,81551,PAIRED_SHIFT8_D32,0.2051211733965236,13.411503966551951,0.1687285617515263,0.00115966796875,0.3415887522740595
electricity,shape,RECENCY_W_C3_G,81551,PULSE8_D32,2.9962009125878666,227.2563305148651,2.894560264010443,0.00115966796875,3.2256985529581006
electricity,shape,RECENCY_W_C3_G,81551,RAMP8_D32,0.5320540650239386,38.506447162638054,0.4131017218589564,0.0,0.6719761222935668
electricity,shape,RECENCY_W_C3_G,81551,STEP12_D17,0.29914785147539924,19.700254288597215,0.24558621542875686,0.0002593994140625,0.45055767008562164
electricity,shape,RECENCY_W_C3_G,81551,STEP12_D63,0.22109902118708336,15.015906798156907,0.17935812525376385,0.000225067138671875,0.35703761346846774
electricity,shape,RECENCY_W_C3_G,81551,STEP6_D17,0.2397652408320014,15.643786102532985,0.19619094380714808,0.000133514404296875,0.3815443660879775
electricity,shape,RECENCY_W_C3_G,81551,STEP6_D63,0.19687658336846872,13.202938395382624,0.16044113534452623,0.000102996826171875,0.3336483830512965
electricity,shape,RECENCY_W_C3_G,81551,STEP8_D31,0.20830265708731047,13.583274989187688,0.17118561213297387,0.0013885498046875,0.343823710131384
electricity,shape,RECENCY_W_C3_G,81551,STEP8_D33,0.20773704857998015,13.556322443126419,0.17019809843904343,0.001007080078125,0.34440582476743475
electricity,shape,RECENCY_W_C3_G,81552,PAIRED_SHIFT8_D32,0.20503288295720776,13.218968578170864,0.16873611849176254,0.002933502197265625,0.3420701118990075
electricity,shape,RECENCY_W_C3_G,81552,PULSE8_D32,2.9898386843167377,226.68131365418958,2.882030924457685,0.002933502197265625,3.2168214585059003
