view,panel,kind,arm,seed,inference_seconds,peak_allocated,alias_of,forward_models,peak_allocated_mib
electricity__shape__C3_W_RECENCY_G__81551,electricity,shape,C3_W_RECENCY_G,81551,1.8454932219465263,428662272.0,,,408.80419921875
electricity__shape__C3_W_RECENCY_G__81552,electricity,shape,C3_W_RECENCY_G,81552,1.8514046070049517,428662272.0,,,408.80419921875
electricity__shape__C3_W_RECENCY_G__81553,electricity,shape,C3_W_RECENCY_G,81553,1.8768691170262173,428662272.0,,,408.80419921875
electricity__shape__M_MEAN__81551,electricity,shape,M_MEAN,81551,1.841853626014199,428658688.0,,,408.80078125
electricity__shape__M_MEAN__81552,electricity,shape,M_MEAN,81552,1.8464330260176212,428658688.0,,,408.80078125
electricity__shape__M_MEAN__81553,electricity,shape,M_MEAN,81553,1.8485827629920095,428658688.0,,,408.80078125
electricity__shape__M_RECENCY__81551,electricity,shape,M_RECENCY,81551,1.8476952320197597,428662272.0,,,408.80419921875
electricity__shape__M_RECENCY__81552,electricity,shape,M_RECENCY,81552,1.8545499310130253,428662272.0,,,408.80419921875
electricity__shape__M_RECENCY__81553,electricity,shape,M_RECENCY,81553,1.842853959009517,428662272.0,,,408.80419921875
electricity__shape__M_ROTATE16__81551,electricity,shape,M_ROTATE16,81551,1.8411446060054004,428662272.0,,,408.80419921875
electricity__shape__M_ROTATE16__81552,electricity,shape,M_ROTATE16,81552,1.8563083960325457,428662272.0,,,408.80419921875
electricity__shape__M_ROTATE16__81553,electricity,shape,M_ROTATE16,81553,1.8572938819997944,428662272.0,,,408.80419921875
electricity__shape__RECENCY_W_C3_G__81551,electricity,shape,RECENCY_W_C3_G,81551,1.8464520439738408,428662272.0,,,408.80419921875
electricity__shape__RECENCY_W_C3_G__81552,electricity,shape,RECENCY_W_C3_G,81552,1.8550045630545355,428662272.0,,,408.80419921875
electricity__shape__RECENCY_W_C3_G__81553,electricity,shape,RECENCY_W_C3_G,81553,1.8774048739578575,428662272.0,,,408.80419921875
electricity__standard__C3_W_RECENCY_G__81551,electricity,standard,C3_W_RECENCY_G,81551,4.123653625021689,428662272.0,,,408.80419921875
electricity__standard__C3_W_RECENCY_G__81552,electricity,standard,C3_W_RECENCY_G,81552,4.1007941190036945,428662272.0,,,408.80419921875
electricity__standard__C3_W_RECENCY_G__81553,electricity,standard,C3_W_RECENCY_G,81553,4.109791651950218,428662272.0,,,408.80419921875
electricity__standard__RECENCY_W_C3_G__81551,electricity,standard,RECENCY_W_C3_G,81551,4.135155841999222,428662272.0,,,408.80419921875
electricity__standard__RECENCY_W_C3_G__81552,electricity,standard,RECENCY_W_C3_G,81552,4.123679661017377,428662272.0,,,408.80419921875
electricity__standard__RECENCY_W_C3_G__81553,electricity,standard,RECENCY_W_C3_G,81553,4.109154706005938,428662272.0,,,408.80419921875
electricity_transfer__shape__C3_W_RECENCY_G__81551,electricity_transfer,shape,C3_W_RECENCY_G,81551,7.525076901016291,428662272.0,,,408.80419921875
electricity_transfer__shape__C3_W_RECENCY_G__81552,electricity_transfer,shape,C3_W_RECENCY_G,81552,7.472286801028531,428662272.0,,,408.80419921875
electricity_transfer__shape__C3_W_RECENCY_G__81553,electricity_transfer,shape,C3_W_RECENCY_G,81553,7.458244833047502,428662272.0,,,408.80419921875
electricity_transfer__shape__M_MEAN__81551,electricity_transfer,shape,M_MEAN,81551,7.393181008985266,428658688.0,,,408.80078125
electricity_transfer__shape__M_MEAN__81552,electricity_transfer,shape,M_MEAN,81552,7.470105993037578,428658688.0,,,408.80078125
electricity_transfer__shape__M_MEAN__81553,electricity_transfer,shape,M_MEAN,81553,7.410243662947323,428658688.0,,,408.80078125
electricity_transfer__shape__M_RECENCY__81551,electricity_transfer,shape,M_RECENCY,81551,7.45704609900713,428662272.0,,,408.80419921875
electricity_transfer__shape__M_RECENCY__81552,electricity_transfer,shape,M_RECENCY,81552,7.463070012978278,428662272.0,,,408.80419921875
electricity_transfer__shape__M_RECENCY__81553,electricity_transfer,shape,M_RECENCY,81553,7.419615809048992,428662272.0,,,408.80419921875
electricity_transfer__shape__M_ROTATE16__81551,electricity_transfer,shape,M_ROTATE16,81551,7.391061427013483,428662272.0,,,408.80419921875
electricity_transfer__shape__M_ROTATE16__81552,electricity_transfer,shape,M_ROTATE16,81552,7.410084733041003,428662272.0,,,408.80419921875
electricity_transfer__shape__M_ROTATE16__81553,electricity_transfer,shape,M_ROTATE16,81553,7.389659168024082,428662272.0,,,408.80419921875
electricity_transfer__shape__RECENCY_W_C3_G__81551,electricity_transfer,shape,RECENCY_W_C3_G,81551,7.617444822972175,428662272.0,,,408.80419921875
electricity_transfer__shape__RECENCY_W_C3_G__81552,electricity_transfer,shape,RECENCY_W_C3_G,81552,7.472292079008184,428662272.0,,,408.80419921875
electricity_transfer__shape__RECENCY_W_C3_G__81553,electricity_transfer,shape,RECENCY_W_C3_G,81553,7.503399148990866,428662272.0,,,408.80419921875
electricity_transfer__standard__C3_W_RECENCY_G__81551,electricity_transfer,standard,C3_W_RECENCY_G,81551,16.885938908031676,428662272.0,,,408.80419921875
electricity_transfer__standard__C3_W_RECENCY_G__81552,electricity_transfer,standard,C3_W_RECENCY_G,81552,16.65856683300808,428662272.0,,,408.80419921875
electricity_transfer__standard__C3_W_RECENCY_G__81553,electricity_transfer,standard,C3_W_RECENCY_G,81553,16.731534424994607,428662272.0,,,408.80419921875
electricity_transfer__standard__RECENCY_W_C3_G__81551,electricity_transfer,standard,RECENCY_W_C3_G,81551,16.931924338976387,428662272.0,,,408.80419921875
electricity_transfer__standard__RECENCY_W_C3_G__81552,electricity_transfer,standard,RECENCY_W_C3_G,81552,16.644702669989783,428662272.0,,,408.80419921875
electricity_transfer__standard__RECENCY_W_C3_G__81553,electricity_transfer,standard,RECENCY_W_C3_G,81553,16.588455870980397,428662272.0,,,408.80419921875
ettm1__shape__C3_W_RECENCY_G__81551,ettm1,shape,C3_W_RECENCY_G,81551,1.89219049498206,428662272.0,,,408.80419921875
ettm1__shape__C3_W_RECENCY_G__81552,ettm1,shape,C3_W_RECENCY_G,81552,1.8872075880062766,428662272.0,,,408.80419921875
ettm1__shape__C3_W_RECENCY_G__81553,ettm1,shape,C3_W_RECENCY_G,81553,1.8772639330127276,428662272.0,,,408.80419921875
ettm1__shape__M_MEAN__81551,ettm1,shape,M_MEAN,81551,1.870988929993473,428658688.0,,,408.80078125
ettm1__shape__M_MEAN__81552,ettm1,shape,M_MEAN,81552,1.8662869589752518,428658688.0,,,408.80078125
ettm1__shape__M_MEAN__81553,ettm1,shape,M_MEAN,81553,1.87062014604453,428658688.0,,,408.80078125
ettm1__shape__M_RECENCY__81551,ettm1,shape,M_RECENCY,81551,1.8649832810042426,428662272.0,,,408.80419921875
ettm1__shape__M_RECENCY__81552,ettm1,shape,M_RECENCY,81552,1.8707879349822178,428662272.0,,,408.80419921875
ettm1__shape__M_RECENCY__81553,ettm1,shape,M_RECENCY,81553,1.8507015149807557,428662272.0,,,408.80419921875
ettm1__shape__M_ROTATE16__81551,ettm1,shape,M_ROTATE16,81551,1.8742266279878095,428662272.0,,,408.80419921875
ettm1__shape__M_ROTATE16__81552,ettm1,shape,M_ROTATE16,81552,1.8601167420274578,428662272.0,,,408.80419921875
ettm1__shape__M_ROTATE16__81553,ettm1,shape,M_ROTATE16,81553,1.8870633239857852,428662272.0,,,408.80419921875
ettm1__shape__RECENCY_W_C3_G__81551,ettm1,shape,RECENCY_W_C3_G,81551,1.8571767139947042,428662272.0,,,408.80419921875
ettm1__shape__RECENCY_W_C3_G__81552,ettm1,shape,RECENCY_W_C3_G,81552,1.8628947969991714,428662272.0,,,408.80419921875
ettm1__shape__RECENCY_W_C3_G__81553,ettm1,shape,RECENCY_W_C3_G,81553,1.857631667982787,428662272.0,,,408.80419921875
ettm1__standard__C3_W_RECENCY_G__81551,ettm1,standard,C3_W_RECENCY_G,81551,4.1527336509898305,428662272.0,,,408.80419921875
ettm1__standard__C3_W_RECENCY_G__81552,ettm1,standard,C3_W_RECENCY_G,81552,4.181261938007083,428662272.0,,,408.80419921875
ettm1__standard__C3_W_RECENCY_G__81553,ettm1,standard,C3_W_RECENCY_G,81553,4.166888182982802,428662272.0,,,408.80419921875
ettm1__standard__RECENCY_W_C3_G__81551,ettm1,standard,RECENCY_W_C3_G,81551,4.14959521900164,428662272.0,,,408.80419921875
ettm1__standard__RECENCY_W_C3_G__81552,ettm1,standard,RECENCY_W_C3_G,81552,4.149048827996012,428662272.0,,,408.80419921875
ettm1__standard__RECENCY_W_C3_G__81553,ettm1,standard,RECENCY_W_C3_G,81553,4.178179181995802,428662272.0,,,408.80419921875
neso_2025__shape__C0__81551,neso_2025,shape,C0,81551,0.4320002329768613,428587520.0,,,408.73291015625
neso_2025__shape__C0__81552,neso_2025,shape,C0,81552,0.4348701229901053,428587520.0,,,408.73291015625
neso_2025__shape__C0__81553,neso_2025,shape,C0,81553,0.4228409139905125,428587520.0,,,408.73291015625
neso_2025__shape__C1__81551,neso_2025,shape,C1,81551,0.012338260014075786,428587520.0,neso_2025__shape__C0__81551,,408.73291015625
neso_2025__shape__C1__81552,neso_2025,shape,C1,81552,0.0121550930198282,428587520.0,neso_2025__shape__C0__81552,,408.73291015625
neso_2025__shape__C1__81553,neso_2025,shape,C1,81553,0.0131947590271011,428587520.0,neso_2025__shape__C0__81553,,408.73291015625
neso_2025__shape__C2__81551,neso_2025,shape,C2,81551,0.44586075900588185,428662272.0,,,408.80419921875
neso_2025__shape__C2__81552,neso_2025,shape,C2,81552,0.4414006540318951,428662272.0,,,408.80419921875
neso_2025__shape__C2__81553,neso_2025,shape,C2,81553,0.44287898001493886,428662272.0,,,408.80419921875
neso_2025__shape__C3__81551,neso_2025,shape,C3,81551,0.4576838099746965,428662272.0,,,408.80419921875
neso_2025__shape__C3__81552,neso_2025,shape,C3,81552,0.4747583160060458,428662272.0,,,408.80419921875
neso_2025__shape__C3__81553,neso_2025,shape,C3,81553,0.47664280398748815,428662272.0,,,408.80419921875
neso_2025__shape__M_MEAN__81551,neso_2025,shape,M_MEAN,81551,0.4703453659894876,428658688.0,,,408.80078125
neso_2025__shape__M_MEAN__81552,neso_2025,shape,M_MEAN,81552,0.4811743199825287,428658688.0,,,408.80078125
neso_2025__shape__M_MEAN__81553,neso_2025,shape,M_MEAN,81553,0.47939024399966,428658688.0,,,408.80078125
neso_2025__shape__M_RECENCY__81551,neso_2025,shape,M_RECENCY,81551,0.4731852650293149,428662272.0,,,408.80419921875
neso_2025__shape__M_RECENCY__81552,neso_2025,shape,M_RECENCY,81552,0.479812681034673,428662272.0,,,408.80419921875
neso_2025__shape__M_RECENCY__81553,neso_2025,shape,M_RECENCY,81553,0.46951637597521767,428662272.0,,,408.80419921875
neso_2025__shape__M_ROTATE16__81551,neso_2025,shape,M_ROTATE16,81551,0.4736263030208647,428662272.0,,,408.80419921875
neso_2025__shape__M_ROTATE16__81552,neso_2025,shape,M_ROTATE16,81552,0.4776724359835498,428662272.0,,,408.80419921875
neso_2025__shape__M_ROTATE16__81553,neso_2025,shape,M_ROTATE16,81553,0.46874184702755883,428662272.0,,,408.80419921875
neso_2025__standard__C0_BIAS__81551,neso_2025,standard,C0_BIAS,81551,,,,1.0,
neso_2025__standard__C0_BIAS__81552,neso_2025,standard,C0_BIAS,81552,,,,1.0,
neso_2025__standard__C0_BIAS__81553,neso_2025,standard,C0_BIAS,81553,,,,1.0,
neso_2025__standard__C0__81551,neso_2025,standard,C0,81551,0.9548018289497122,428587520.0,,,408.73291015625
neso_2025__standard__C0__81552,neso_2025,standard,C0,81552,0.9430064039770514,428587520.0,,,408.73291015625
neso_2025__standard__C0__81553,neso_2025,standard,C0,81553,0.9525044939946383,428587520.0,,,408.73291015625
neso_2025__standard__C1__81551,neso_2025,standard,C1,81551,0.013849920011125505,428587520.0,neso_2025__standard__C0__81551,,408.73291015625
neso_2025__standard__C1__81552,neso_2025,standard,C1,81552,0.01244441099697724,428587520.0,neso_2025__standard__C0__81552,,408.73291015625
neso_2025__standard__C1__81553,neso_2025,standard,C1,81553,0.011851208982989192,428587520.0,neso_2025__standard__C0__81553,,408.73291015625
neso_2025__standard__C2_SHRINK__81551,neso_2025,standard,C2_SHRINK,81551,,,,2.0,
neso_2025__standard__C2_SHRINK__81552,neso_2025,standard,C2_SHRINK,81552,,,,2.0,
neso_2025__standard__C2_SHRINK__81553,neso_2025,standard,C2_SHRINK,81553,,,,2.0,
neso_2025__standard__C2__81551,neso_2025,standard,C2,81551,0.9860957450000569,428662272.0,,,408.80419921875
neso_2025__standard__C2__81552,neso_2025,standard,C2,81552,0.9816882259910926,428662272.0,,,408.80419921875
neso_2025__standard__C2__81553,neso_2025,standard,C2,81553,0.9817121279775165,428662272.0,,,408.80419921875
neso_2025__standard__C3__81551,neso_2025,standard,C3,81551,1.0386098200106062,428662272.0,,,408.80419921875
neso_2025__standard__C3__81552,neso_2025,standard,C3,81552,1.0353952629957348,428662272.0,,,408.80419921875
neso_2025__standard__C3__81553,neso_2025,standard,C3,81553,1.0418748729862273,428662272.0,,,408.80419921875
neso_2025__standard__M_MEAN__81551,neso_2025,standard,M_MEAN,81551,1.0433607950108126,428658688.0,,,408.80078125
neso_2025__standard__M_MEAN__81552,neso_2025,standard,M_MEAN,81552,1.0549416050198488,428658688.0,,,408.80078125
neso_2025__standard__M_MEAN__81553,neso_2025,standard,M_MEAN,81553,1.0415275020059198,428658688.0,,,408.80078125
neso_2025__standard__M_RECENCY__81551,neso_2025,standard,M_RECENCY,81551,1.061917855986394,428662272.0,,,408.80419921875
neso_2025__standard__M_RECENCY__81552,neso_2025,standard,M_RECENCY,81552,1.0520023950375617,428662272.0,,,408.80419921875
neso_2025__standard__M_RECENCY__81553,neso_2025,standard,M_RECENCY,81553,1.0442529990104958,428662272.0,,,408.80419921875
neso_2025__standard__M_ROTATE16__81551,neso_2025,standard,M_ROTATE16,81551,1.030079294985626,428662272.0,,,408.80419921875
neso_2025__standard__M_ROTATE16__81552,neso_2025,standard,M_ROTATE16,81552,1.0363223860040307,428662272.0,,,408.80419921875
neso_2025__standard__M_ROTATE16__81553,neso_2025,standard,M_ROTATE16,81553,1.040324061003048,428662272.0,,,408.80419921875
