panel,condition,new,baseline,new_nmae,baseline_nmae,gain_pct,same_LR,additional_adaptation_step,role
ettm1,SHIFT4,C3,C2,0.5454804460748277,0.5469548406714722,0.26956422852650874,False,1024,previously published fixed1024 supplement; not replacing selected primary
ettm1,SHIFT4,C3,M_RECENCY,0.5454804460748277,0.5437029787913472,-0.3269188054536354,True,1024,previously published fixed1024 supplement; not replacing selected primary
ettm1,SHIFT8,C3,C0,0.5483256861785011,0.5445754299085022,-0.6886568993075937,,1024,previously published fixed1024 supplement; not replacing selected primary
ettm1,SHIFT8,C3,C2,0.5483256861785011,0.5397277613114396,-1.5930114186029742,False,1024,previously published fixed1024 supplement; not replacing selected primary
ettm1,SHIFT8,C3,M_RECENCY,0.5483256861785011,0.5484249859271672,0.0181063502236678,True,1024,previously published fixed1024 supplement; not replacing selected primary
ettm1,SHIFT_POINT,C3,C0,0.5851486823934686,0.5870475936441003,0.3234680239202037,,1024,previously published fixed1024 supplement; not replacing selected primary
ettm1,SHIFT_POINT,C3,C2,0.5851486823934686,0.5846125898613616,-0.0917004767609031,False,1024,previously published fixed1024 supplement; not replacing selected primary
ettm1,SHIFT_POINT,C3,M_RECENCY,0.5851486823934686,0.5839525569881824,-0.20483263425634668,True,1024,previously published fixed1024 supplement; not replacing selected primary
ettm2,FAULT,C3,C0,0.2976960117176821,0.2980711952856748,0.12587045441713185,,1024,previously published fixed1024 supplement; not replacing selected primary
ettm2,FAULT,C3,C2,0.2976960117176821,0.2980001170100146,0.10204871574673868,True,1024,previously published fixed1024 supplement; not replacing selected primary
ettm2,REFERENCE,C3,C0,0.29251551167868556,0.29273496679149286,0.07496716747323884,,1024,previously published fixed1024 supplement; not replacing selected primary
ettm2,REFERENCE,C3,C2,0.29251551167868556,0.2928671907398379,0.12008141310193565,True,1024,previously published fixed1024 supplement; not replacing selected primary
ettm2,SHIFT4,C3,C0,0.346470352222964,0.3495553651551113,0.8825534492306719,,1024,previously published fixed1024 supplement; not replacing selected primary
ettm2,SHIFT4,C3,C2,0.346470352222964,0.34674567204973883,0.07940108528169398,True,1024,previously published fixed1024 supplement; not replacing selected primary
ettm2,SHIFT8,C3,C0,0.32362854840508315,0.32724580532615843,1.1053638770006646,,1024,previously published fixed1024 supplement; not replacing selected primary
ettm2,SHIFT8,C3,C2,0.32362854840508315,0.3227222506163354,-0.280829037048691,True,1024,previously published fixed1024 supplement; not replacing selected primary
ettm2,SHIFT_POINT,C3,C0,0.3551377711893286,0.35841019337974495,0.9130382591962527,,1024,previously published fixed1024 supplement; not replacing selected primary
ettm2,SHIFT_POINT,C3,C2,0.3551377711893286,0.355531229288041,0.11066766188171373,True,1024,previously published fixed1024 supplement; not replacing selected primary
