arm,lr,step,validation_loss,checkpoint,checkpoint_sha256
STANDARD_LORA,0.0001,360,0.2884354567451807,/home/minjae/Documents/github/tsfm-peft-method-screen/.cache/candidate_03/STANDARD_LORA_0.0001/best.pt,6ba3ad77372bcd9142a21ee2631fcd10dc7f51fc481cbc1165be28fa79cb31a6
PHASE_AUGMENTED_ADAPTER,0.0001,360,0.2881505466837203,/home/minjae/Documents/github/tsfm-peft-method-screen/.cache/candidate_03/PHASE_AUGMENTED_ADAPTER_0.0001/best.pt,dc1b656257ba5ee362eed76d68a81bf2a314a1c293248c75bc2b6e81e4f5a3b0
PHASE_CONDITIONED_ADAPTER,0.0001,360,0.28807600244350384,/home/minjae/Documents/github/tsfm-peft-method-screen/.cache/candidate_03/PHASE_CONDITIONED_ADAPTER_0.0001/best.pt,03d2f093c6bcaf1551c809bb91404de108e5ada1168426ab45d48648bf1b390a
