arm,variant,scaled_2pinball,median_mae,qmean_mse,interval80_coverage,interval80_width,prediction_sha256
F0,0,0.316376418669498,1.0904373169141186,3.128742685442962,0.769593253968254,3.247390838485906,2330c6b5f5315138459ea7188e8ba7f2e6734aff9813267200c0187060e272fc
F0,4,0.4143365101308172,1.6361035785964868,6.411902164214483,0.7006448412698412,3.8755078169846136,fb027d67cac40e79eaa1e3b68487a80bb5e1a80c11d134186457df5c4b9fb5f0
F0,12,0.33970282637839355,1.3381759868361913,4.343552824292911,0.7388392857142857,3.5110191592959583,19125fe45fb04c928b3fb1e54bc453aebe2b41bb6e5a4fdfa4a6d827b412a785
STANDARD_LORA,0,0.3121450463831862,1.144005156792922,3.160091266997611,0.6989087301587301,2.9406839216881915,b7470776f0f739f88146964dbc4cf549870b5716fb9631169f800e0ee0e874f1
STANDARD_LORA,4,0.3510466860306255,1.3914428118557212,4.7526891594374,0.7414434523809524,3.6952780842973247,84ffe304c45198fd40e3bc820fe2604e2f6596e78a9eeb61dd7be823e62e498d
STANDARD_LORA,12,0.31786414696961696,1.2203048873075564,3.6172604108774338,0.7292906746031746,3.2558013380021005,be3c549ac82ff258595a9cd9b5cc9e6de6bb3e5ff74a74846c1b8a16533bab0b
PHASE_AUGMENTED_ADAPTER,0,0.312588620585931,1.1459566775103291,3.1654461205059254,0.6882440476190476,2.9444955236404127,078969edfd86d10ddd50c294863429ad01c1edc1c97edd0b6144d6aea93272fd
PHASE_AUGMENTED_ADAPTER,4,0.35104837614049417,1.392267490338002,4.7676893009374215,0.736111111111111,3.687388608731063,41829ab7a46e3cfff71f01fdf4ec5b032339dadde8e370a086ddf691570078eb
PHASE_AUGMENTED_ADAPTER,12,0.31777551425783795,1.2203486648310597,3.616400420245674,0.722718253968254,3.253309361172825,181e7d51a9b0ab111c01ccc8835d810c3c455e1d9386ee01e3a5010a134d3e0b
PHASE_CONDITIONED_ADAPTER,0,0.31267840834583444,1.1460504715528619,3.165172838826742,0.6882440476190476,2.948452231248781,cf55f8ffedf6fae47f594883e2eb1340e884f20ffe1239fd885f89ee5eb0f35f
PHASE_CONDITIONED_ADAPTER,4,0.35099725935600884,1.3914689434108338,4.759022897582142,0.7368551587301588,3.6977549041159423,8728be3b77a5196e0119a4d7f77fefb4836accf09da9d8a23d4b7d2a50d339f6
PHASE_CONDITIONED_ADAPTER,12,0.31793006220178766,1.220433000556474,3.613828840538036,0.7232142857142857,3.2633970955013494,035019565f662e4c378b40180b53bb9193034951a7ac2b7663f34fcc23a17210
