candidate,control,seed,candidate_score,control_score,improvement_pct
B_TIME,STATIC,92401,0.20786685022401982,0.20786685022401982,0.0
B_TIME,STATIC,92402,0.20649871840017883,0.20649871840017883,0.0
B_TIME,B_FULLGEN,92401,0.20786685022401982,0.20786685022401982,0.0
B_TIME,B_FULLGEN,92402,0.20649871840017883,0.20649871840017883,0.0
B_TIME,B_SET,92401,0.20786685022401982,0.20786685022401982,0.0
B_TIME,B_SET,92402,0.20649871840017883,0.20649871840017883,0.0
B_TIME,G0,92401,0.20786685022401982,0.20786685022401982,0.0
B_TIME,G0,92402,0.20649871840017883,0.20649871840017883,0.0
B_TIME,STATIC_LONG320,92401,0.20786685022401982,0.20350950467771986,-2.1411017402849675
B_TIME,STATIC_LONG320,92402,0.20649871840017883,0.20251606726136392,-1.966585265392773
B_TIME,B_AFFINE,92401,0.20786685022401982,0.22527260010464026,7.726527714660092
B_TIME,B_AFFINE,92402,0.20649871840017883,0.22457807369938995,8.050365292299787
B_TIME,B_WAIT,92401,0.20786685022401982,0.20866107048877577,0.38062694823501886
B_TIME,B_WAIT,92402,0.20649871840017883,0.20782599102309196,0.6386461175424629
B_TIME,B_MASKED,92401,0.20786685022401982,0.20746478328382412,-0.1938000916741789
B_TIME,B_MASKED,92402,0.20649871840017883,0.20700318860847622,0.24370166067901877
B_TIME,B_COEFF,92401,0.20786685022401982,0.20786291015279076,-0.0018955143205490188
B_TIME,B_COEFF,92402,0.20649871840017883,0.20649613964072236,-0.00124881727132653
B_TIME,B_COSA_CELL,92401,0.20786685022401982,0.2070651660637534,-0.3871651497478812
B_TIME,B_COSA_CELL,92402,0.20649871840017883,0.2062490747486012,-0.1210398892125486
B_FULLGEN,STATIC,92401,0.20786685022401982,0.20786685022401982,0.0
B_FULLGEN,STATIC,92402,0.20649871840017883,0.20649871840017883,0.0
B_SET,STATIC,92401,0.20786685022401982,0.20786685022401982,0.0
B_SET,STATIC,92402,0.20649871840017883,0.20649871840017883,0.0
STATIC_LONG320,STATIC,92401,0.20350950467771986,0.20786685022401982,2.09621954708219
STATIC_LONG320,STATIC,92402,0.20251606726136392,0.20649871840017883,1.9286565890916707
B_AFFINE,STATIC,92401,0.22527260010464026,0.20786685022401982,-8.373509225671194
B_AFFINE,STATIC,92402,0.22457807369938995,0.20649871840017883,-8.75519007540506
B_WAIT,STATIC,92401,0.20866107048877577,0.20786685022401982,-0.3820812524459871
B_WAIT,STATIC,92402,0.20782599102309196,0.20649871840017883,-0.6427510219898735
B_MASKED,STATIC,92401,0.20746478328382412,0.20786685022401982,0.19342523339455076
B_MASKED,STATIC,92402,0.20700318860847622,0.20649871840017883,-0.24429701656538683
B_COEFF,STATIC,92401,0.20786291015279076,0.20786685022401982,0.0018954783914892914
B_COEFF,STATIC,92402,0.20649613964072236,0.20649871840017883,0.0012488016760792142
B_COSA_CELL,STATIC,92401,0.2070651660637534,0.20786685022401982,0.3856719623174465
B_COSA_CELL,STATIC,92402,0.2062490747486012,0.20649871840017883,0.12089355978173177
STATIC,G0,92401,0.20786685022401982,0.20786685022401982,0.0
STATIC,G0,92402,0.20649871840017883,0.20649871840017883,0.0
