arm,seed,pinball,raw_pinball,nmae,raw_mae,coverage,width,crossing,early32,late32,early16,late48
STATIC,92401,0.20786685022401982,33.04467578513755,0.2600247817710824,41.01860859322672,0.7831217447916666,0.7263207553575436,0.0002288818359375,0.19110497933821968,0.2246287211098199,0.18083313241766777,0.21687808949280382
STATIC,92402,0.20649871840017883,32.69015166243124,0.2582693964704718,40.561720434886716,0.7919108072916666,0.7389800537688037,0.0003407796223958333,0.1900147686914645,0.22298266810889314,0.18017989001966872,0.2152716611936822
B_FULLGEN,92401,0.20786685022401982,33.04467578513755,0.2600247817710824,41.01860859322672,0.7831217447916666,0.7263207553575436,0.0002288818359375,0.19110497933821968,0.2246287211098199,0.18083313241766777,0.21687808949280382
B_FULLGEN,92402,0.20649871840017883,32.69015166243124,0.2582693964704718,40.561720434886716,0.7919108072916666,0.7389800537688037,0.0003407796223958333,0.1900147686914645,0.22298266810889314,0.18017989001966872,0.2152716611936822
B_SET,92401,0.20786685022401982,33.04467578513755,0.2600247817710824,41.01860859322672,0.7831217447916666,0.7263207553575436,0.0002288818359375,0.19110497933821968,0.2246287211098199,0.18083313241766777,0.21687808949280382
B_SET,92402,0.20649871840017883,32.69015166243124,0.2582693964704718,40.561720434886716,0.7919108072916666,0.7389800537688037,0.0003407796223958333,0.1900147686914645,0.22298266810889314,0.18017989001966872,0.2152716611936822
B_TIME,92401,0.20786685022401982,33.04467578513755,0.2600247817710824,41.01860859322672,0.7831217447916666,0.7263207553575436,0.0002288818359375,0.19110497933821968,0.2246287211098199,0.18083313241766777,0.21687808949280382
B_TIME,92402,0.20649871840017883,32.69015166243124,0.2582693964704718,40.561720434886716,0.7919108072916666,0.7389800537688037,0.0003407796223958333,0.1900147686914645,0.22298266810889314,0.18017989001966872,0.2152716611936822
G0,92401,0.20786685022401982,33.04467578513755,0.2600247817710824,41.01860859322672,0.7831217447916666,0.7263207553575436,0.0002288818359375,0.19110497933821968,0.2246287211098199,0.18083313241766777,0.21687808949280382
G0,92402,0.20649871840017883,32.69015166243124,0.2582693964704718,40.561720434886716,0.7919108072916666,0.7389800537688037,0.0003407796223958333,0.1900147686914645,0.22298266810889314,0.18017989001966872,0.2152716611936822
STATIC_LONG320,92401,0.20350950467771986,32.42186842195483,0.2547703820051411,40.262408554088324,0.788330078125,0.7187504910398275,0.0003407796223958333,0.18805830847618302,0.21896070087925668,0.1801464757381659,0.21129718099090453
STATIC_LONG320,92402,0.20251606726136392,32.116609129413135,0.25349305491569213,39.867336549640946,0.7950846354166666,0.7326788644616803,0.0004628499348958333,0.18731794001970106,0.21771419450302676,0.1794029485688539,0.21022044015886723
B_AFFINE,92401,0.2252726001046403,35.13370569453713,0.2799099897681701,43.266216019828185,0.7144368489583334,0.719191423112837,0.0002288818359375,0.20921876076290424,0.24132643944637633,0.19976655075151453,0.2337746165556822
B_AFFINE,92402,0.22457807369938995,34.87309543174795,0.27905330220245134,42.913804471686795,0.7248128255208334,0.7255930626609673,0.0003407796223958333,0.2089851159041085,0.24017103149467134,0.19960739602343602,0.2329016329247079
B_WAIT,92401,0.20866107048877572,32.87014960472093,0.2609524457071821,40.89009096861506,0.7615966796875,0.7008072729998579,0.0003000895182291667,0.19291514691979525,0.22440699405775624,0.1830686345891039,0.21719188245533302
B_WAIT,92402,0.207825991023092,32.70314475011288,0.2599131187061982,40.67805730722224,0.76904296875,0.7108957439195365,0.0003204345703125,0.19213954933318836,0.2235124327129956,0.1824928361086315,0.2162703759945788
B_MASKED,92401,0.20746478328382412,32.71951444545002,0.2592269877384046,40.6361038844722,0.7643229166666666,0.7022860824751357,0.0003662109375,0.19169989490766726,0.223229671659981,0.18235311025472237,0.21583534096019139
B_MASKED,92402,0.20700318860847622,32.6114124057573,0.25859975979321237,40.48667922258998,0.7693684895833334,0.7117500692450752,0.0004526774088541667,0.19125474309805304,0.2227516341188994,0.18204955413198134,0.21532106676730786
B_COEFF,92401,0.2078629101527907,33.043593721571206,0.26001972186353123,41.01736286034187,0.7830810546875,0.7263070368984094,0.0002288818359375,0.1911011054823155,0.22462471482326596,0.18082974658704695,0.21687396467470532
B_COEFF,92402,0.20649613964072236,32.689574838809115,0.25826626286632454,40.561082194714494,0.7919108072916666,0.7389548382877061,0.0003407796223958333,0.19001263181829323,0.2229796474631515,0.18017810641885726,0.21526881738134407
B_COSA_CELL,92401,0.2070651660637534,32.72371620317863,0.2587819457886548,40.58567733449551,0.7757975260416666,0.7305698654769609,0.00020853678385416666,0.1904698001495415,0.2236605319779653,0.18018370412959625,0.21602565337513913
B_COSA_CELL,92402,0.20624907474860119,32.48050750448325,0.2578297243770952,40.296504572577156,0.7840169270833334,0.7420317331949869,0.0002492268880208333,0.18983713671726488,0.22266101277993752,0.17991061395655827,0.21502856167928217
