candidate,control,series_original,improvement_pct
B_TIME,STATIC,202,0.0
B_TIME,STATIC,138,0.0
B_TIME,STATIC,48,0.0
B_TIME,STATIC,5,0.0
B_TIME,STATIC,294,0.0
B_TIME,STATIC,68,0.0
B_TIME,STATIC,237,0.0
B_TIME,STATIC,142,0.0
B_TIME,B_FULLGEN,202,0.0
B_TIME,B_FULLGEN,138,0.0
B_TIME,B_FULLGEN,48,0.0
B_TIME,B_FULLGEN,5,0.0
B_TIME,B_FULLGEN,294,0.0
B_TIME,B_FULLGEN,68,0.0
B_TIME,B_FULLGEN,237,0.0
B_TIME,B_FULLGEN,142,0.0
B_TIME,B_SET,202,0.0
B_TIME,B_SET,138,0.0
B_TIME,B_SET,48,0.0
B_TIME,B_SET,5,0.0
B_TIME,B_SET,294,0.0
B_TIME,B_SET,68,0.0
B_TIME,B_SET,237,0.0
B_TIME,B_SET,142,0.0
B_TIME,G0,202,0.0
B_TIME,G0,138,0.0
B_TIME,G0,48,0.0
B_TIME,G0,5,0.0
B_TIME,G0,294,0.0
B_TIME,G0,68,0.0
B_TIME,G0,237,0.0
B_TIME,G0,142,0.0
B_TIME,STATIC_LONG320,202,-0.6063602365183884
B_TIME,STATIC_LONG320,138,-0.012549725213628626
B_TIME,STATIC_LONG320,48,-1.3505669478715898
B_TIME,STATIC_LONG320,5,-4.269893157757609
B_TIME,STATIC_LONG320,294,-3.5426345509022683
B_TIME,STATIC_LONG320,68,-2.7838295377695
B_TIME,STATIC_LONG320,237,-0.15240991381240132
B_TIME,STATIC_LONG320,142,-2.8493231792831697
B_TIME,B_AFFINE,202,3.2674844264702574
B_TIME,B_AFFINE,138,6.043478712190609
B_TIME,B_AFFINE,48,7.749746075108844
B_TIME,B_AFFINE,5,12.525696038759682
B_TIME,B_AFFINE,294,2.5096631284453275
B_TIME,B_AFFINE,68,13.471502414612434
B_TIME,B_AFFINE,237,4.475733387991509
B_TIME,B_AFFINE,142,7.885410673383719
B_TIME,B_WAIT,202,0.011577010078711591
B_TIME,B_WAIT,138,0.8431009494177633
B_TIME,B_WAIT,48,1.0192670003609128
B_TIME,B_WAIT,5,1.1128915572260367
B_TIME,B_WAIT,294,-0.40206490699117303
B_TIME,B_WAIT,68,2.5886921804082363
B_TIME,B_WAIT,237,-2.6706391089340364
B_TIME,B_WAIT,142,-0.3587698004356987
B_TIME,B_MASKED,202,-2.4763663674747027
B_TIME,B_MASKED,138,-0.09624288319751706
B_TIME,B_MASKED,48,0.9575059303780664
B_TIME,B_MASKED,5,-0.05891890372888842
B_TIME,B_MASKED,294,-0.47849384525080474
B_TIME,B_MASKED,68,2.6915162657116243
B_TIME,B_MASKED,237,-1.9233846640115404
B_TIME,B_MASKED,142,-0.24112523965713617
B_TIME,B_COEFF,202,-0.004469163928555453
B_TIME,B_COEFF,138,-0.0009679357224845475
B_TIME,B_COEFF,48,-0.0002714338690035234
B_TIME,B_COEFF,5,-0.002484242818812099
B_TIME,B_COEFF,294,-0.003472527664705183
B_TIME,B_COEFF,68,0.0018528333466827362
B_TIME,B_COEFF,237,-0.0025632910682027443
B_TIME,B_COEFF,142,-0.0017033110474518054
B_TIME,B_COSA_CELL,202,1.828698267145179
B_TIME,B_COSA_CELL,138,0.2924263895811907
B_TIME,B_COSA_CELL,48,-0.45186928966052253
B_TIME,B_COSA_CELL,5,0.31499163978555567
B_TIME,B_COSA_CELL,294,-0.8284024565899717
B_TIME,B_COSA_CELL,68,0.32650824709811177
B_TIME,B_COSA_CELL,237,-4.608215202620958
B_TIME,B_COSA_CELL,142,-0.3196394167476635
B_FULLGEN,STATIC,202,0.0
B_FULLGEN,STATIC,138,0.0
B_FULLGEN,STATIC,48,0.0
B_FULLGEN,STATIC,5,0.0
B_FULLGEN,STATIC,294,0.0
B_FULLGEN,STATIC,68,0.0
B_FULLGEN,STATIC,237,0.0
B_FULLGEN,STATIC,142,0.0
B_SET,STATIC,202,0.0
B_SET,STATIC,138,0.0
B_SET,STATIC,48,0.0
B_SET,STATIC,5,0.0
B_SET,STATIC,294,0.0
B_SET,STATIC,68,0.0
B_SET,STATIC,237,0.0
B_SET,STATIC,142,0.0
STATIC_LONG320,STATIC,202,0.602705668998349
STATIC_LONG320,STATIC,138,0.01254815045522717
STATIC_LONG320,STATIC,48,1.3325697019201166
STATIC_LONG320,STATIC,5,4.095039352632101
STATIC_LONG320,STATIC,294,3.421425933643496
STATIC_LONG320,STATIC,68,2.7084314237839746
STATIC_LONG320,STATIC,237,0.1521779794850242
STATIC_LONG320,STATIC,142,2.7703859308012446
B_AFFINE,STATIC,202,-3.3778553231012864
B_AFFINE,STATIC,138,-6.4322078226780155
B_AFFINE,STATIC,48,-8.400785629726926
B_AFFINE,STATIC,5,-14.319286317853752
B_AFFINE,STATIC,294,-2.574268598283602
B_AFFINE,STATIC,68,-15.568862040298992
B_AFFINE,STATIC,237,-4.685441246223454
B_AFFINE,STATIC,142,-8.560436225171596
B_WAIT,STATIC,202,-0.011578350505514479
B_WAIT,STATIC,138,-0.8502695803220606
B_WAIT,STATIC,48,-1.029763035160225
B_WAIT,STATIC,5,-1.1254162193144346
B_WAIT,STATIC,294,0.4004548186968271
B_WAIT,STATIC,68,-2.6574863209952504
B_WAIT,STATIC,237,2.6011712132233633
B_WAIT,STATIC,142,0.35748724416323485
B_MASKED,STATIC,202,2.4165243706969486
B_MASKED,STATIC,138,0.09615034533295708
B_MASKED,STATIC,48,-0.9667627409553958
B_MASKED,STATIC,5,0.05888420979799358
B_MASKED,STATIC,294,0.47621518490089665
B_MASKED,STATIC,68,-2.7659625989663095
B_MASKED,STATIC,237,1.8870886895602346
B_MASKED,STATIC,142,0.24054522440829507
B_COEFF,STATIC,202,0.004468964203208081
B_COEFF,STATIC,138,0.0009679263535899985
B_COEFF,STATIC,48,0.00027143313222621757
B_COEFF,STATIC,5,0.002484181105710803
B_COEFF,STATIC,294,0.0034724070844038835
B_COEFF,STATIC,68,-0.0018528676772211483
B_COEFF,STATIC,237,0.0025632253652707604
B_COEFF,STATIC,142,0.0017032820352591571
B_COSA_CELL,STATIC,202,-1.8627625740579967
B_COSA_CELL,STATIC,138,-0.29328402947981225
B_COSA_CELL,STATIC,48,0.44983661613853254
B_COSA_CELL,STATIC,5,-0.31598697233119477
B_COSA_CELL,STATIC,294,0.8215963323891962
B_COSA_CELL,STATIC,68,-0.32757781568197863
B_COSA_CELL,STATIC,237,4.405213485092996
B_COSA_CELL,STATIC,142,0.3186209785103311
STATIC,G0,202,0.0
STATIC,G0,138,0.0
STATIC,G0,48,0.0
STATIC,G0,5,0.0
STATIC,G0,294,0.0
STATIC,G0,68,0.0
STATIC,G0,237,0.0
STATIC,G0,142,0.0
