arm,seed,series_local,series_original,issue,tag,pinball,raw_pinball,nmae,raw_mae,coverage,width,crossing,early32,late32,early16,late48
STATIC,92401,40,202,21048,0,0.09577575267650235,14.339066049787732,0.12583848091876793,18.83990716934204,0.953125,0.5566438436508179,0.0,0.0908352453904431,0.10071625996256159,0.06643862331584319,0.10555479579672207
STATIC,92401,40,202,21056,0,0.10221376678804367,15.454518508911132,0.12864116597450548,19.450288772583008,0.953125,0.6221487522125244,0.0,0.09943284594335598,0.10499468763273137,0.0844946018850545,0.10812015508904009
STATIC,92401,40,202,21064,0,0.1160637591882555,16.606192843119302,0.1596836807877477,22.847252368927002,0.859375,0.53360915184021,0.0,0.11520335503830022,0.11692416333821078,0.1217620556669566,0.11416432702868846
STATIC,92401,40,202,21072,0,0.12625706102316867,17.82619301478068,0.16820032997871942,23.748149394989014,0.84375,0.5280429124832153,0.0,0.10266733413101264,0.14984678791532466,0.12071488998205943,0.12810445137020507
STATIC,92401,40,202,21080,0,0.13589469001344656,19.164272891150578,0.18056327301690328,25.463569164276123,0.875,0.6127116680145264,0.0,0.09856394565044677,0.17322543437644639,0.1011035763431086,0.14749172790355924
STATIC,92401,40,202,21088,0,0.16166370026643834,21.984521865844727,0.2156772545611471,29.32978343963623,0.78125,0.548539400100708,0.0,0.10328278185144293,0.22004461868143374,0.08375839806020904,0.18763213433518144
STATIC,92401,40,202,21096,0,0.19313372910028379,25.916112497117783,0.2529838975174145,33.947250843048096,0.671875,0.5272896885871887,0.0,0.09954354764891803,0.2867239105516496,0.0959487229763782,0.22552873114158564
STATIC,92401,40,202,21104,0,0.20117450599601466,26.912934854295518,0.27130726526834437,36.29522895812988,0.71875,0.6262333989143372,0.0,0.1571599610172856,0.24518905097474367,0.12144004529393465,0.22775265956337465
STATIC,92401,40,202,21112,0,0.21571269508954247,26.91820215649075,0.2775521018481887,34.634974002838135,0.59375,0.5755354762077332,0.0,0.20989803404081148,0.22152735613827343,0.09799439866624457,0.25495212723064176
STATIC,92401,40,202,21120,0,0.22990156663672306,28.321215195126,0.2980054546622651,36.7108268737793,0.578125,0.5740426778793335,0.0,0.20710157866739984,0.25270155460604626,0.19047676384586068,0.24304316756701053
STATIC,92401,40,202,21128,0,0.2809435049532452,35.50299571355184,0.3543559951152928,44.78017520904541,0.484375,0.5824981927871704,0.0,0.2650590403157521,0.2968279695907383,0.2914956955690805,0.2774261080813001
STATIC,92401,40,202,21136,0,0.21222450709210064,26.924960878160263,0.2807100718215419,35.613736629486084,0.6875,0.6388726234436035,0.0,0.16499383890045027,0.25945517528375106,0.1439932093046842,0.23496827302123946
STATIC,92401,40,202,21144,0,0.18329755533876424,23.043076758914523,0.23826382151959918,29.953108310699463,0.71875,0.6571625471115112,0.0,0.11737355313139908,0.2492215575461294,0.1269358585603718,0.20208478759822843
STATIC,92401,40,202,21152,0,0.25000883249763906,32.12039309607612,0.3186837181454653,40.943538665771484,0.71875,0.7382837533950806,0.0,0.1465719695221641,0.35344569547311405,0.13892007744755758,0.2870384175143329
