source,seed,state,patch,adapter_rms,native_rms,discarded_feature_rms
electricity,81501,BURST16,0,0.002613825723528862,0.21254195272922516,0.1395564079284668
electricity,81501,BURST16,1,0.0025657438673079014,0.21601168811321259,0.16270282864570618
electricity,81501,BURST16,2,0.002754097804427147,0.2111114263534546,0.14776036143302917
electricity,81501,BURST16,3,0.0024108467623591423,0.21134111285209656,0.13193383812904358
electricity,81501,BURST16,4,0.0023080429527908564,0.2114722579717636,0.12431245297193527
electricity,81501,BURST16,5,0.002419997937977314,0.21169549226760864,0.13210231065750122
electricity,81501,BURST16,6,0.002548052929341793,0.21236273646354675,0.15762990713119507
electricity,81501,BURST16,7,0.0025611042510718107,0.21386553347110748,0.15019609034061432
electricity,81501,BURST16,8,0.002463723300024867,0.2118043154478073,0.14510853588581085
electricity,81501,BURST16,9,0.0024009617045521736,0.20743510127067566,0.12251124531030655
electricity,81501,BURST16,10,0.0023216884583234787,0.2103891670703888,0.11193988472223282
electricity,81501,BURST16,11,0.002081154379993677,0.21059763431549072,0.0915539413690567
electricity,81501,BURST16,12,0.0024335451889783144,0.20649491250514984,0.1072176992893219
electricity,81501,BURST16,13,0.0021931896917521954,0.21127468347549438,0.1118258610367775
electricity,81501,BURST16,14,0.00250553572550416,0.21391040086746216,0.1370292603969574
electricity,81501,BURST16,15,0.00228349631652236,0.20839384198188782,0.1209472119808197
electricity,81501,BURST16,16,0.002162888180464506,0.2134215384721756,0.1273750513792038
electricity,81501,BURST16,17,0.0024197015445679426,0.21268470585346222,0.1318734586238861
electricity,81501,BURST16,18,0.0023623548913747072,0.21020032465457916,0.11076211929321289
electricity,81501,BURST16,19,0.0024170391261577606,0.21305887401103973,0.14421269297599792
electricity,81501,BURST16,20,0.002203675452619791,0.2160317599773407,0.13315430283546448
electricity,81501,BURST16,21,0.0026510898023843765,0.21095514297485352,0.1253018081188202
electricity,81501,BURST16,22,0.002371787093579769,0.21181464195251465,0.13380879163742065
electricity,81501,BURST16,23,0.002360308077186346,0.2078096568584442,0.1226300448179245
electricity,81501,BURST16,24,0.0027265234384685755,0.21470770239830017,0.16193616390228271
electricity,81501,BURST16,25,0.0024981286842375994,0.21169087290763855,0.1482565999031067
electricity,81501,BURST16,26,0.002271798439323902,0.20989495515823364,0.11523210257291794
electricity,81501,BURST16,27,0.0024092579260468483,0.21288008987903595,0.13356371223926544
electricity,81501,BURST16,28,0.002658213023096323,0.21606582403182983,0.16556794941425323
electricity,81501,BURST16,29,0.0023969050962477922,0.20991066098213196,0.13275107741355896
electricity,81501,BURST16,30,0.002169476356357336,0.20816287398338318,0.1152096688747406
electricity,81501,BURST16,31,0.002496014116331935,0.20813670754432678,0.146304190158844
electricity,81501,BURST4,0,0.002256180625408888,0.2070736587047577,0.0752483606338501
electricity,81501,BURST4,1,0.00231563369743526,0.21341554820537567,0.06958666443824768
electricity,81501,BURST4,2,0.002357476158067584,0.21503207087516785,0.06215133145451546
electricity,81501,BURST4,3,0.0020958599634468555,0.20746442675590515,0.055468834936618805
electricity,81501,BURST4,4,0.0020150404889136553,0.20320194959640503,0.04498007148504257
electricity,81501,BURST4,5,0.0021058658603578806,0.211269348859787,0.05470140278339386
electricity,81501,BURST4,6,0.002189451828598976,0.21081724762916565,0.06780119240283966
electricity,81501,BURST4,7,0.0020916168577969074,0.20876844227313995,0.052856430411338806
electricity,81501,BURST4,8,0.002146058715879917,0.20766223967075348,0.05581718683242798
electricity,81501,BURST4,9,0.0021619037725031376,0.20925408601760864,0.05454269424080849
electricity,81501,BURST4,10,0.002025588881224394,0.2111721634864807,0.05136425048112869
electricity,81501,BURST4,11,0.00206666998565197,0.20970597863197327,0.04589453339576721
electricity,81501,BURST4,12,0.0021455269306898117,0.2086065411567688,0.04838421568274498
electricity,81501,BURST4,13,0.0019971877336502075,0.2073676586151123,0.04787629097700119
electricity,81501,BURST4,14,0.0022006332874298096,0.21631291508674622,0.0535743311047554
electricity,81501,BURST4,15,0.0020151971839368343,0.20547200739383698,0.051886796951293945
electricity,81501,BURST4,16,0.0019886745139956474,0.21092058718204498,0.05001789331436157
electricity,81501,BURST4,17,0.0022017555311322212,0.21531535685062408,0.05821351706981659
electricity,81501,BURST4,18,0.0022144783288240433,0.2112676054239273,0.04560888931155205
electricity,81501,BURST4,19,0.0020391587167978287,0.20680148899555206,0.05140257254242897
electricity,81501,BURST4,20,0.002071097958832979,0.204900324344635,0.05374828353524208
electricity,81501,BURST4,21,0.002280166372656822,0.20792031288146973,0.05782904475927353
electricity,81501,BURST4,22,0.0021651936694979668,0.21203899383544922,0.06694188714027405
electricity,81501,BURST4,23,0.002244768664240837,0.2132885754108429,0.06381003558635712
electricity,81501,BURST4,24,0.0023474525660276413,0.20897476375102997,0.07473346590995789
electricity,81501,BURST4,25,0.002326293382793665,0.2139105647802353,0.07177267968654633
electricity,81501,BURST4,26,0.0020691067911684513,0.21429556608200073,0.054025404155254364
electricity,81501,BURST4,27,0.0021463390439748764,0.21078374981880188,0.05820588767528534
electricity,81501,BURST4,28,0.0022754454985260963,0.2080412060022354,0.07412595301866531
electricity,81501,BURST4,29,0.0022303592413663864,0.20836512744426727,0.07758219540119171
electricity,81501,BURST4,30,0.0022072885185480118,0.21231962740421295,0.08169421553611755
electricity,81501,BURST4,31,0.0023060874082148075,0.21159864962100983,0.09858821332454681
electricity,81501,BURST8,0,0.002393665025010705,0.21465590596199036,0.11373916268348694
electricity,81501,BURST8,1,0.0023275732528418303,0.21390369534492493,0.10525473952293396
electricity,81501,BURST8,2,0.002344517270103097,0.2147929072380066,0.09432274103164673
electricity,81501,BURST8,3,0.0021981513127684593,0.21062695980072021,0.0912695974111557
electricity,81501,BURST8,4,0.0022064056247472763,0.2131858915090561,0.09439848363399506
electricity,81501,BURST8,5,0.0020658555440604687,0.20750592648983002,0.07298505306243896
