source,arm,seed,role,condition,subset,count,mean,std,min,p10,p25,median,p75,p90,max,histogram
electricity,B5,81551,V_SELECT,POINT8,all_slots,262144,0.020345386117696762,0.0015930230729281902,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.047721296548843384,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,POINT8,clipped_slots,4919,0.029727332293987274,0.006596113555133343,0.020472455769777298,0.02299908213317394,0.023917946964502335,0.027758626267313957,0.03505267575383186,0.04043307900428772,0.047721296548843384,"[4919, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,POINT16,all_slots,262144,0.020360387861728668,0.0016416352009400725,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04793311655521393,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,POINT16,clipped_slots,4970,0.03047938458621502,0.005991314072161913,0.020472019910812378,0.023875735700130463,0.02665985282510519,0.0279709380120039,0.034869708120822906,0.04043307900428772,0.04793311655521393,"[4970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,BURST4,all_slots,262144,0.02034439705312252,0.0015396547969430685,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04763150215148926,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,BURST4,clipped_slots,4127,0.030608994886279106,0.006303054746240377,0.020597321912646294,0.023453181609511375,0.02572538796812296,0.02863464690744877,0.03553440049290657,0.04043307900428772,0.04763150215148926,"[4127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,BURST8,all_slots,262144,0.02041301131248474,0.0016928025288507342,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04820839688181877,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,BURST8,clipped_slots,7846,0.028432181105017662,0.005310872569680214,0.020598620176315308,0.023451533168554306,0.024661624804139137,0.02692698035389185,0.030374201014637947,0.037182293832302094,0.04820839688181877,"[7846, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,BURST16,all_slots,262144,0.020521536469459534,0.002234955318272114,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.05220111086964607,"[262142, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,BURST16,clipped_slots,7923,0.03194737061858177,0.005422566086053848,0.020584993064403534,0.02515706792473793,0.027696717530488968,0.03141159936785698,0.03601373732089996,0.03973720446228981,0.05220111086964607,"[7921, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,SHIFT4,all_slots,262144,0.020405888557434082,0.001553890760987997,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04763150215148926,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,SHIFT4,clipped_slots,4016,0.030570223927497864,0.0062951394356787205,0.020481856539845467,0.023072696290910244,0.025262359529733658,0.029614855535328388,0.035296425223350525,0.04043307900428772,0.04763150215148926,"[4016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
