source,role,state,metric,n,median,p90,p99,max
electricity,E_DISCOVERY,BURST16,clipped_fraction,1024,0.015625,0.06191406250000009,0.208984375,0.26171875
electricity,E_DISCOVERY,BURST16,normalized_mass,1024,0.1562499924057783,0.3360984007672952,0.9162095050382075,1.9903479274043216
electricity,E_DISCOVERY,BURST16,maximum_discarded_over_r,1024,10.394118450262393,13.62876049079314,42.435350859170725,42.435350859170725
electricity,E_DISCOVERY,BURST16,longest_run,1024,8.0,10.0,36.61999999999989,63.0
electricity,E_DISCOVERY,BURST4,clipped_fraction,1024,0.0,0.05351562500000018,0.21439453124999996,0.30078125
electricity,E_DISCOVERY,BURST4,normalized_mass,1024,0.0,0.20104895604342118,0.7268670747335761,1.8479302618710371
electricity,E_DISCOVERY,BURST4,maximum_discarded_over_r,1024,0.0,9.43175493932746,42.34013606688346,42.435350859170725
electricity,E_DISCOVERY,BURST4,longest_run,1024,0.0,10.0,36.38999999999987,63.0
electricity,E_DISCOVERY,BURST8,clipped_fraction,1024,0.015625,0.05800781250000009,0.20703125,0.26171875
electricity,E_DISCOVERY,BURST8,normalized_mass,1024,0.0320991087322584,0.22468325729726912,0.7977209678548762,1.8752281653580356
electricity,E_DISCOVERY,BURST8,maximum_discarded_over_r,1024,2.8057431584601407,9.850532847699988,42.38774346302709,42.435350859170725
electricity,E_DISCOVERY,BURST8,longest_run,1024,8.0,10.0,33.0,63.0
electricity,E_DISCOVERY,POINT16,clipped_fraction,1024,0.00390625,0.05859375,0.22476562499999986,0.296875
electricity,E_DISCOVERY,POINT16,normalized_mass,1024,0.039373557420639,0.2544629672399244,0.7659428263135111,1.887651443143742
electricity,E_DISCOVERY,POINT16,maximum_discarded_over_r,1024,10.20494149527346,13.000601742728533,42.435350859170725,42.435350859170725
electricity,E_DISCOVERY,POINT16,longest_run,1024,1.0,10.0,36.38999999999987,63.0
electricity,E_DISCOVERY,POINT4,clipped_fraction,1024,0.0,0.05410156250000009,0.22416015624999996,0.29296875
electricity,E_DISCOVERY,POINT4,normalized_mass,1024,0.0,0.21741422725842013,0.7268670747335761,1.855742762988675
electricity,E_DISCOVERY,POINT4,maximum_discarded_over_r,1024,0.0,8.87530006275928,42.435350859170725,42.435350859170725
electricity,E_DISCOVERY,POINT4,longest_run,1024,0.0,10.0,38.0,63.0
electricity,E_DISCOVERY,POINT8,clipped_fraction,1024,0.00390625,0.05605468750000009,0.224609375,0.296875
electricity,E_DISCOVERY,POINT8,normalized_mass,1024,0.008142223037113702,0.21990733082142025,0.7387897522443381,1.86101222037465
electricity,E_DISCOVERY,POINT8,maximum_discarded_over_r,1024,2.456686892908916,9.565600871846826,42.435350859170725,42.435350859170725
electricity,E_DISCOVERY,POINT8,longest_run,1024,1.0,10.0,36.38999999999987,63.0
electricity,E_DISCOVERY,REFERENCE,clipped_fraction,1024,0.0,0.05859375,0.224609375,0.29296875
electricity,E_DISCOVERY,REFERENCE,normalized_mass,1024,0.0,0.218454207698188,0.7268670747335761,1.8479302618710371
electricity,E_DISCOVERY,REFERENCE,maximum_discarded_over_r,1024,0.0,9.007419398354244,42.435350859170725,42.435350859170725
electricity,E_DISCOVERY,REFERENCE,longest_run,1024,0.0,10.0,38.0,63.0
electricity,E_DISCOVERY,SHIFT4,clipped_fraction,1024,0.0,0.05078125,0.19095703124999996,0.306640625
electricity,E_DISCOVERY,SHIFT4,normalized_mass,1024,0.0,0.17422440588605625,0.7597887902812892,0.9327718900355232
electricity,E_DISCOVERY,SHIFT4,maximum_discarded_over_r,1024,0.0,8.350366740353467,38.51639012545528,42.435350859170725
electricity,E_DISCOVERY,SHIFT4,longest_run,1024,0.0,10.0,31.0,63.0
electricity,E_DISCOVERY,SHIFT4,shift_clipped_fraction,1024,0.0,0.125,0.53125,1.0
electricity,E_DISCOVERY,SHIFT4,residual_mass_over_abs_delta,1024,0.0,1.069244540402209,20.61196714725698,63.92715957581908
electricity,E_DISCOVERY,SHIFT8,clipped_fraction,1024,0.0625,0.095703125,0.228515625,0.306640625
electricity,E_DISCOVERY,SHIFT8,normalized_mass,1024,0.1194009170660568,0.24582916317472697,0.8609969308988037,1.1279577383014612
electricity,E_DISCOVERY,SHIFT8,maximum_discarded_over_r,1024,3.095116218220749,9.513287467961687,38.51639012545528,42.435350859170725
electricity,E_DISCOVERY,SHIFT8,longest_run,1024,22.0,32.0,37.07999999999993,63.0
electricity,E_DISCOVERY,SHIFT8,shift_clipped_fraction,1024,0.9375,1.0,1.0,1.0
electricity,E_DISCOVERY,SHIFT8,residual_mass_over_abs_delta,1024,6.609919725940193,8.848980986346733,20.249423281219013,46.19998600237543
electricity,E_DISCOVERY,SHIFT_POINT,clipped_fraction,1024,0.00390625,0.05996093750000009,0.19291015624999996,0.310546875
electricity,E_DISCOVERY,SHIFT_POINT,normalized_mass,1024,0.0078124990507222,0.18275374645576076,0.7360365603301353,0.943188558192373
electricity,E_DISCOVERY,SHIFT_POINT,maximum_discarded_over_r,1024,2.159262128412456,8.315324451668328,38.51639012545528,42.435350859170725
electricity,E_DISCOVERY,SHIFT_POINT,longest_run,1024,1.0,10.0,31.0,63.0
electricity,E_DISCOVERY,SHIFT_POINT,shift_clipped_fraction,1024,0.0,0.125,0.53125,1.0
electricity,E_DISCOVERY,SHIFT_POINT,residual_mass_over_abs_delta,1024,0.0,1.4996300706289196,17.68300694392434,62.235064464462575
electricity,TRAIN,BURST,clipped_fraction,8192,0.0078125,0.03515625,0.28515625,0.443359375
electricity,TRAIN,BURST,normalized_mass,8192,0.0118922862711114,0.12644925819490307,9.289097158012815,15.779590782413598
electricity,TRAIN,BURST,maximum_discarded_over_r,8192,2.3185244998400045,10.693646297045731,59.20077341607087,95.00922345559806
electricity,TRAIN,BURST,longest_run,8192,4.0,4.0,31.63000000000102,74.0
electricity,TRAIN,POINT,clipped_fraction,8192,0.00390625,0.033203125,0.283203125,0.44140625
electricity,TRAIN,POINT,normalized_mass,8192,0.0090219528218098,0.12592888273396907,9.247631859590838,15.732715790957098
electricity,TRAIN,POINT,maximum_discarded_over_r,8192,2.4777868712675533,10.852880061340178,59.20077341607087,87.48701202797128
electricity,TRAIN,POINT,longest_run,8192,1.0,3.0,31.0,75.0
electricity,TRAIN,REFERENCE,clipped_fraction,8192,0.0,0.029296875,0.28515625,0.435546875
electricity,TRAIN,REFERENCE,normalized_mass,8192,0.0,0.1185942699199604,9.286266764661995,15.717090789058542
electricity,TRAIN,REFERENCE,maximum_discarded_over_r,8192,0.0,10.693646297045731,59.20077341607087,87.48701202797128
electricity,TRAIN,REFERENCE,longest_run,8192,0.0,3.0,31.0,74.0
electricity,TRAIN,SHIFT,clipped_fraction,8192,0.0,0.02734375,0.27734375,0.431640625
electricity,TRAIN,SHIFT,normalized_mass,8192,0.0,0.1039560137460131,6.258640646658458,15.717090789058542
electricity,TRAIN,SHIFT,maximum_discarded_over_r,8192,0.0,8.501551328746796,57.96420702369711,88.9388133560852
