source,role,state,amplitude,shift_duration,fault_points,median,robust_scale,clip_lower,clip_upper,clipped_points,clipped_fraction,discarded_mass,normalized_mass,maximum_discarded_over_r,longest_run,last64_same_sign_clipped_points,shift_positions,shift_clipped_count,shift_clipped_fraction,nonzero_residual,shift_nonzero_residual,residual_mass_over_abs_delta,examples
electricity,TRAIN,BURST,8.0,0,2,130.85618115055078,37.05408904731442,-91.46835313333574,353.18071543443733,8.71015911872705,0.01701202952876377,809.5465125387489,0.2088309971979816,5.0905700962612075,3.2430844553243574,1.1789473684210525,0.0,0.0,,0.980171358629131,,,4085
electricity,TRAIN,BURST,8.0,0,4,129.7808619430241,37.18965731825641,-93.35708196651437,352.9188058525626,9.982955928901875,0.019497960798636475,804.3638028304939,0.17435609106947528,5.100485883112707,4.806915023131239,1.362064767470173,0.0,0.0,,0.9953737521305089,,,4107
electricity,TRAIN,POINT,8.0,0,1,133.90501986276635,37.59167628845898,-91.64503786798754,359.45507759352023,7.198627663416396,0.014059819655110148,674.7320755393622,0.18502812282015932,4.882648616455787,2.247381726254966,0.971830985915493,0.0,0.0,,0.974720115565186,,,2769
electricity,TRAIN,POINT,8.0,0,2,127.59257925072046,35.98603064827822,-88.32360463894891,343.5087631403898,8.730547550432277,0.01705185068443804,743.7726878781074,0.19696074004392414,5.509212637720832,2.4812680115273773,1.2489193083573487,0.0,0.0,,0.997478386167147,,,2776
electricity,TRAIN,POINT,8.0,0,4,129.35851907820174,37.654300146690744,-96.56728180194273,355.2843199583462,10.183604080090669,0.019889851718927088,864.6976414866533,0.18460425854903734,5.348701683643346,2.3294295428787306,1.2784284095202116,0.0,0.0,,1.0,,,2647
electricity,TRAIN,REFERENCE,0.0,0,0,130.296875,36.85260657324195,-90.81876443945168,351.4125144394517,6.5673828125,0.012826919555664062,591.1680107034803,0.181075905304448,3.145488748866185,1.5693359375,0.91796875,0.0,0.0,,0.1962890625,,,8192
electricity,TRAIN,SHIFT,4.0,24,0,129.38890265048303,38.43304730813189,-101.20938119830834,359.9871864992744,6.595491701758732,0.012881819729997523,575.7383927118451,0.16225320558790968,3.1084959145086843,1.8209066138221452,1.3995541243497647,24.0,0.8427049789447609,0.035112707456031705,0.30146148129799355,0.201387168689621,1.4670779181850004,4037
electricity,TRAIN,SHIFT,4.0,48,0,131.0711685722342,42.719180052387955,-125.24391174209354,387.38624888656193,5.845968712394705,0.011417907641395908,508.6254185840128,0.15297648309823558,2.996242898072611,1.6081829121540312,1.305655836341757,48.0,1.1342960288808663,0.023631167268351384,0.2558363417569194,0.17617328519855596,2.590106699337769,4155
ettm1,TRAIN,BURST,8.0,0,2,4.294723893750033,2.40868125180263,-10.157363617065748,18.746811404565815,4.515675141940262,0.008819678011602074,15.883863536172727,0.01981294336604726,2.263867280951894,2.914835843001728,0.6716860034559368,0.0,0.0,,0.9758084423599112,,,4051
ettm1,TRAIN,BURST,8.0,0,4,4.241636559371678,2.387948875764896,-10.086056695217698,18.569329813961055,6.0082105771552765,0.0117347862835064,24.46094523171082,0.025031080117342848,2.3505285662999142,4.539483216614344,0.7239797150446752,0.0,0.0,,0.9775416566046848,,,4141
ettm1,TRAIN,POINT,8.0,0,1,4.1864600951699185,2.3793150176126403,-10.089430010505923,18.46235020084576,3.276603498542274,0.006399616208090379,10.699831748074354,0.014937510427120312,2.1515931285385905,1.9635568513119535,0.4806851311953353,0.0,0.0,,0.9642857142857143,,,2744
ettm1,TRAIN,POINT,8.0,0,2,4.281576081484982,2.359415231216948,-9.874915305816707,18.43806746878667,4.242501828822238,0.008286136384418434,15.313841292136996,0.0169881197010202,2.6619290215679716,1.9411119239209949,0.5965618141916605,0.0,0.0,,0.9967081199707388,,,2734
ettm1,TRAIN,POINT,8.0,0,4,4.335449702645169,2.442603827475848,-10.320173262209918,18.99107266750026,6.380250552689756,0.01246142686072218,25.56983182955483,0.027796284274515387,3.2362260012317097,2.054900515843773,0.787030213706706,0.0,0.0,,1.0,,,2714
ettm1,TRAIN,REFERENCE,0.0,0,0,4.267190429352922,2.3823452125388838,-10.02688084588038,18.561261704586226,2.484375,0.004852294921875,6.099724976459755,0.011001054729681981,0.2164866661760462,1.130859375,0.3798828125,0.0,0.0,,0.1103515625,,,8192
ettm1,TRAIN,SHIFT,4.0,24,0,4.233411691701453,2.509594392255962,-10.824154661834319,19.290978045237225,2.9819600195026816,0.005824140663091175,7.408739123955359,0.012412199452935629,0.2948431967708409,1.741589468551926,1.311067771818625,24.0,1.0897123354461238,0.04540468064358849,0.19746465138956606,0.12213554363725013,0.40602143819757347,4102
ettm1,TRAIN,SHIFT,4.0,48,0,4.319143872129706,2.678375180118266,-11.75110720857989,20.389394952839304,2.409046454767726,0.004705168856968215,5.989940937023825,0.009163930702348935,0.2233416527382735,1.5432762836185818,1.397799511002445,48.0,1.3356968215158924,0.027827017114914424,0.17359413202933985,0.12836185819070906,0.4330200227567062,4090
