source,role,state,median,robust_scale,clip_lower,clip_upper,clipped_points,clipped_fraction,discarded_mass,normalized_mass,maximum_discarded_over_r,longest_run,last64_same_sign_clipped_points,shift_positions,shift_clipped_count,shift_clipped_fraction,nonzero_residual,shift_nonzero_residual,residual_mass_over_abs_delta
electricity,E_DISCOVERY,BURST16,139.25439453125,29.21040776018798,-36.00805202987789,314.5168410923779,15.34375,0.02996826171875,2384.2588679492414,0.21197558481714407,12.191364821795423,9.3759765625,2.0693359375,0.0,0.0,,1.0,,
electricity,E_DISCOVERY,BURST4,139.22324296832085,29.13590291985143,-35.592174550787725,314.0386604874294,8.005859375,0.015636444091796875,165.23770810999417,0.06157416856177458,3.2848189967442236,3.0751953125,1.169921875,0.0,0.0,,0.41015625,,
electricity,E_DISCOVERY,BURST8,139.29052734375,29.209683834406732,-35.96757566269039,314.54863035019036,14.8896484375,0.029081344604492188,593.1920998192421,0.09234056247397547,5.348917866566256,8.9296875,1.96484375,0.0,0.0,,0.998046875,,
electricity,E_DISCOVERY,POINT16,139.2236328125,28.74620900349617,-33.25362120847701,311.700886833477,9.765625,0.019073486328125,720.3224441127663,0.10210972248940042,11.970047420996298,3.5322265625,1.3740234375,0.0,0.0,,1.0,,
electricity,E_DISCOVERY,POINT4,139.21337890625,28.732624100326746,-33.182365695710466,311.6091235082105,7.9619140625,0.015550613403320312,160.06342430005654,0.06543867228271529,3.252466058527039,2.9541015625,1.1982421875,0.0,0.0,,0.375,,
electricity,E_DISCOVERY,POINT8,139.20849609375,28.74674573098719,-33.27197829217314,311.6889704796731,9.703125,0.018951416015625,270.8124720375835,0.07125125794134574,5.073823132880026,3.537109375,1.41796875,0.0,0.0,,0.9970703125,,
electricity,E_DISCOVERY,REFERENCE,139.197265625,28.575362519121168,-32.25490948972701,310.649440739727,7.8984375,0.0154266357421875,155.61758464637995,0.06449502333660997,3.2058917982894526,2.92578125,1.1953125,0.0,0.0,,0.341796875,,
electricity,E_DISCOVERY,SHIFT4,139.17800116539001,31.092472924302516,-47.37683638042508,325.7328387112051,7.8134765625,0.015260696411132812,164.5924861750249,0.052879027946424566,3.042297808983765,3.0673828125,1.69140625,32.0,1.1552734375,0.036102294921875,0.40625,0.2431640625,0.8631805210838259
electricity,E_DISCOVERY,SHIFT8,139.12657578103244,31.162573791790006,-47.8488669697076,326.1020185317725,34.4248046875,0.06723594665527344,1473.425230543652,0.14594183103334443,5.392847808116666,23.48046875,28.2294921875,32.0,27.8388671875,0.869964599609375,0.994140625,0.986328125,6.686570690041297
electricity,E_DISCOVERY,SHIFT_POINT,139.43875896697864,31.363098515935334,-48.73983212863336,327.6173500625906,9.380859375,0.018321990966796875,248.02744490190028,0.05558346840099379,4.494699059695177,3.578125,1.8427734375,32.0,1.224609375,0.03826904296875,0.9833984375,0.2998046875,0.8076172691242203
electricity,TRAIN,BURST,130.31707763671875,37.12205522025861,-92.41525368483289,353.04940895827036,9.3482666015625,0.018258333206176758,806.9481984796909,0.19154725214551876,5.095541304342154,4.027099609375,1.270751953125,0.0,0.0,,0.98779296875,,
electricity,TRAIN,POINT,130.296875,37.06781069465987,-92.10998916795923,352.7037391679592,8.6822509765625,0.016957521438598633,759.5093695963491,0.18893473618533402,5.245561725815801,2.3531494140625,1.164794921875,0.0,0.0,,0.9906005859375,,
electricity,TRAIN,REFERENCE,130.296875,36.85260657324195,-90.81876443945168,351.4125144394517,6.5673828125,0.012826919555664062,591.1680107034803,0.181075905304448,3.145488748866185,1.5693359375,0.91796875,0.0,0.0,,0.1962890625,,
electricity,TRAIN,SHIFT,130.2421515402384,40.60698304450689,-113.39974672680292,373.8840498072797,6.21533203125,0.012139320373535156,541.6985480461782,0.1575480320106885,3.051560943403718,1.7130126953125,1.3519287109375,36.1728515625,0.9906005859375,0.02928924560546875,0.2783203125,0.1885986328125,2.036680528742832
electricity,V_SELECT,BURST16,148.4091796875,37.867597859221696,-78.79640746783016,375.6147668428302,15.474609375,0.030223846435546875,3137.9839735585774,0.2537212451363596,12.24338924634624,9.9609375,2.333984375,0.0,0.0,,1.0,,
electricity,V_SELECT,BURST4,148.55078125,37.93966577552557,-79.08721340315341,376.1887759031534,8.060546875,0.015743255615234375,194.18905746710897,0.09974161364401876,3.454890111761415,3.421875,1.59375,0.0,0.0,,0.27734375,,
electricity,V_SELECT,BURST8,148.484375,37.9979044998467,-79.50305199908017,376.4718019990802,15.32421875,0.02993011474609375,735.6367431865698,0.12799950345913366,5.469757488527836,9.6328125,2.333984375,0.0,0.0,,0.9921875,,
electricity,V_SELECT,POINT16,148.3779296875,37.397095836168525,-76.00464532951116,372.76050470451116,9.70703125,0.01895904541015625,924.3319588923979,0.1433077872940415,12.041810347448317,3.87109375,1.701171875,0.0,0.0,,1.0,,
electricity,V_SELECT,POINT4,148.4033203125,37.37066011146307,-75.8206403562784,372.62728098127843,7.81640625,0.01526641845703125,189.47310096347107,0.10551119792611316,3.4839398900670133,3.236328125,1.4921875,0.0,0.0,,0.267578125,,
electricity,V_SELECT,POINT8,148.388671875,37.40578294554353,-76.04602579826116,372.82336954826116,9.607421875,0.018764495849609375,332.9311921782673,0.11278447581540058,5.38369684457987,3.900390625,1.703125,0.0,0.0,,0.998046875,,
electricity,V_SELECT,REFERENCE,148.3828125,37.217936638998985,-74.9248073339939,371.6904323339939,7.74609375,0.01512908935546875,184.8411060342312,0.10563269254930112,3.4484939576666473,3.2109375,1.484375,0.0,0.0,,0.234375,,
electricity,V_SELECT,SHIFT4,148.478619530797,40.27953935187757,-93.1986165804684,390.1558556420624,7.84375,0.01531982421875,202.87257686692104,0.09366000355257562,3.3288372436653675,3.69921875,2.095703125,32.0,1.548828125,0.04840087890625,0.310546875,0.265625,1.9536189111284563
electricity,V_SELECT,SHIFT8,148.86328125,40.73347034098208,-95.53754079589247,393.2641032958925,34.841796875,0.06805038452148438,1987.5975165209256,0.18574418952405455,5.5576598353240305,25.583984375,28.951171875,32.0,28.53125,0.8916015625,0.9921875,0.982421875,7.151292280435894
electricity,V_SELECT,SHIFT_POINT,148.5693609341979,40.58061314053386,-94.91431790900528,392.05303977740107,9.349609375,0.018260955810546875,307.8544298831102,0.09639364853663088,4.9622164136856295,4.1640625,2.02734375,32.0,1.40625,0.0439453125,0.986328125,0.279296875,1.642894671047048
ettm1,E_DISCOVERY,BURST16,4.588812494159356,3.8380365799834144,-18.43940698574113,27.61703197405984,10.955078125,0.021396636962890625,309.8519330422167,0.16127243598864469,10.19907171686073,8.6630859375,1.57421875,0.0,0.0,,1.0,,
ettm1,E_DISCOVERY,BURST4,4.594340545092564,3.8281998653679667,-18.37485864711524,27.563539737300367,3.322265625,0.006488800048828125,15.084281999036897,0.010382046973495998,0.3412583690085315,1.6552734375,0.66796875,0.0,0.0,,0.177734375,,
ettm1,E_DISCOVERY,BURST8,4.58805663788371,3.8317565467347396,-18.402482642524728,27.578595918292148,10.6884765625,0.020875930786132812,74.28356779466507,0.040154003919374744,2.466223609988461,8.33203125,1.537109375,0.0,0.0,,0.9892578125,,
ettm1,E_DISCOVERY,POINT16,4.5890410118990985,3.7880900622779463,-18.139499361768582,27.31758138556678,5.171875,0.010101318359375,89.56000764267321,0.049168741673708424,10.578369244475757,2.3583984375,0.8740234375,0.0,0.0,,1.0,,
ettm1,E_DISCOVERY,POINT4,4.590722156699485,3.7862382713171834,-18.126707471203616,27.308151784602586,3.2421875,0.0063323974609375,14.67687383939478,0.010603143505617104,0.35779288911264706,1.5283203125,0.619140625,0.0,0.0,,0.1875,,
ettm1,E_DISCOVERY,POINT8,4.590204581742,3.7873292187258745,-18.133770730613247,27.314179894097247,5.0888671875,0.009939193725585938,29.514232459865614,0.018315421524230546,2.6911008040424704,2.3525390625,0.8134765625,0.0,0.0,,1.0,,
ettm1,E_DISCOVERY,REFERENCE,4.591483389311179,3.7695163116705603,-18.025614480712182,27.20858125933454,3.26171875,0.00637054443359375,14.559425889084771,0.010660849661381169,0.27053313327522466,1.515625,0.62890625,0.0,0.0,,0.123046875,,
ettm1,E_DISCOVERY,SHIFT4,4.585259018091165,4.038857832925131,-19.647887979459618,28.818406015641948,3.6962890625,0.0072193145751953125,17.225733975289053,0.0106527330563915,0.36468640533922575,2.146484375,1.509765625,32.0,1.26953125,0.0396728515625,0.20703125,0.1328125,0.49963394144094136
ettm1,E_DISCOVERY,SHIFT8,4.626422345969331,4.012087896343848,-19.44610503209376,28.698949724032424,31.0634765625,0.06067085266113281,199.10039851640505,0.10150532829554368,2.6712014365791448,27.3447265625,28.75,32.0,28.6748046875,0.896087646484375,0.9970703125,0.9970703125,6.2617646951095285
ettm1,E_DISCOVERY,SHIFT_POINT,4.609995834573056,4.0288962157734,-19.563381460067344,28.783373129213455,5.3525390625,0.010454177856445312,29.42670084743339,0.01654216346669265,2.410590743411126,2.724609375,1.5029296875,32.0,1.1884765625,0.037139892578125,0.9814453125,0.1982421875,0.539768552950007
ettm1,TRAIN,BURST,4.2678886091234745,2.3982011774407823,-10.12131845552122,18.65709567376817,5.2701416015625,0.010293245315551758,20.21951970087283,0.02245067582297048,2.307673968284188,3.736083984375,0.6981201171875,0.0,0.0,,0.9766845703125,,
ettm1,TRAIN,POINT,4.267564209094871,2.393641166778036,-10.094282791573345,18.629411209763088,4.627197265625,0.009037494659423828,17.166125975931443,0.019881977953569593,2.6812503487572736,1.986328125,0.620849609375,0.0,0.0,,0.9869384765625,,
ettm1,TRAIN,REFERENCE,4.267190429352922,2.3823452125388838,-10.02688084588038,18.561261704586226,2.484375,0.004852294921875,6.099724976459755,0.011001054729681981,0.2164866661760462,1.130859375,0.3798828125,0.0,0.0,,0.1103515625,,
ettm1,TRAIN,SHIFT,4.276214989791242,2.5938611674460037,-11.28695201488478,19.839381994467267,2.6959228515625,0.005265474319458008,6.7003791893179105,0.010790444180731091,0.2591447940495029,1.642578125,1.3543701171875,35.982421875,1.2125244140625,0.03662872314453125,0.185546875,0.125244140625,0.4195009561232147
ettm1,V_SELECT,BURST16,4.690751941816416,2.5789233542594316,-10.782788183740173,20.164292067373005,13.220703125,0.025821685791015625,224.6459714986914,0.1689428254184931,10.342460252049742,9.287109375,1.548828125,0.0,0.0,,1.0,,
ettm1,V_SELECT,BURST4,4.686488277700846,2.5876162387527555,-10.839209154815686,20.212185710217376,5.46875,0.01068115234375,24.03569920263037,0.016793631709315998,0.5857103157256924,2.7265625,0.541015625,0.0,0.0,,0.28125,,
ettm1,V_SELECT,BURST8,4.689680657349527,2.5874259243858804,-10.834874888965754,20.214236203664807,12.861328125,0.025119781494140625,63.053741435836386,0.04595698886811703,2.5994952812483296,8.94921875,1.373046875,0.0,0.0,,0.982421875,,
ettm1,V_SELECT,POINT16,4.688759752607439,2.548550304591334,-10.602542074940565,19.980061580155443,7.533203125,0.014713287353515625,75.57397980460352,0.05696202016102744,10.650251507906823,3.357421875,0.8046875,0.0,0.0,,1.0,,
ettm1,V_SELECT,POINT4,4.687721662106924,2.548556099116073,-10.603614932589513,19.979058256803363,5.603515625,0.010944366455078125,25.48605522469864,0.01847556400394277,0.6388198476203014,2.615234375,0.560546875,0.0,0.0,,0.28125,,
ettm1,V_SELECT,POINT8,4.688874989689793,2.5481376659303394,-10.599951005892242,19.97770098527183,7.3828125,0.0144195556640625,34.76255396332736,0.02574806107492598,2.7463576763936604,3.28125,0.8046875,0.0,0.0,,0.998046875,,
ettm1,V_SELECT,REFERENCE,4.689384750497993,2.534962218910048,-10.520388562962296,19.899158063958282,5.58984375,0.01091766357421875,25.37831481437684,0.018558486343298805,0.5293573023932118,2.58984375,0.57421875,0.0,0.0,,0.23046875,,
ettm1,V_SELECT,SHIFT4,4.707068347343011,2.7480077797122835,-11.78097833093069,21.195115025616712,4.6875,0.0091552734375,18.29600073136579,0.011820997815356378,0.46431345630673865,2.517578125,1.15625,32.0,0.78515625,0.0245361328125,0.27734375,0.111328125,0.21026012856823498
ettm1,V_SELECT,SHIFT8,4.690902335336432,2.7543464845195977,-11.835176571781155,21.21698124245402,32.4921875,0.0634613037109375,130.49449881654343,0.09327257304853231,2.4968319657543785,26.615234375,28.65234375,32.0,28.46484375,0.8895263671875,1.0,1.0,5.589046174174595
ettm1,V_SELECT,SHIFT_POINT,4.689696275701863,2.7662666197929995,-11.907903443056135,21.28729599445986,6.53125,0.01275634765625,27.174483000457503,0.017871414630340206,2.4073557945209165,3.359375,1.66796875,32.0,1.1796875,0.036865234375,0.9921875,0.208984375,0.39242567294332614
