source,seed,state,examples,adapter_delta_rms,native_embedding_rms,adapter_over_native,discarded_feature_rms,discarded_coordinate_rms,adapter_discarded_correlation
electricity,81501,BURST16,512,0.002420005388557911,0.2115040123462677,0.010755262337625027,0.13257086277008057,0.42434781789779663,0.7911464708853071
electricity,81501,BURST4,512,0.002165611134842038,0.2101043313741684,0.010139910504221916,0.06032608449459076,0.17606520652770996,0.8475001804999037
electricity,81501,BURST8,512,0.0022116464097052813,0.2121734768152237,0.010118354111909866,0.09269557893276215,0.2246401011943817,0.8286930242271313
electricity,81501,POINT16,512,0.002196979708969593,0.2093818187713623,0.010319478809833527,0.10503939539194107,0.3314937353134155,0.7646211569069662
electricity,81501,POINT4,512,0.0021904022432863712,0.20829755067825317,0.010335059836506844,0.06144135445356369,0.18343764543533325,0.8480120962873299
electricity,81501,POINT8,512,0.002169201383367181,0.20899388194084167,0.010221910662949085,0.08078873157501221,0.21209946274757385,0.82873953734171
electricity,81501,REFERENCE,512,0.002231883117929101,0.2069840282201767,0.010540597140789032,0.061152391135692596,0.1837630271911621,0.8455810463568004
electricity,81501,SHIFT4,512,0.002172339241951704,0.2100023478269577,0.009989403188228607,0.05706864595413208,0.16395258903503418,0.8009747850972575
electricity,81501,SHIFT8,512,0.0025857151485979557,0.2117813527584076,0.011038290336728096,0.12587623298168182,0.2629396915435791,0.8603156461554284
electricity,81501,SHIFT_POINT,512,0.0021755369380116463,0.21038368344306946,0.009992091916501522,0.07213329523801804,0.1835494339466095,0.7929367159609184
electricity,81502,BURST16,512,0.0024955682456493378,0.2115040123462677,0.011063819751143456,0.13257086277008057,0.42434781789779663,0.7672216953891998
electricity,81502,BURST4,512,0.0021968132350593805,0.2101043313741684,0.010282902047038078,0.06032608449459076,0.17606520652770996,0.8331760652594667
electricity,81502,BURST8,512,0.002240587957203388,0.2121734768152237,0.010296782478690147,0.09269557893276215,0.2246401011943817,0.7976645730727876
electricity,81502,POINT16,512,0.0022409954108297825,0.2093818187713623,0.010512539185583591,0.10503939539194107,0.3314937353134155,0.7481517533397521
electricity,81502,POINT4,512,0.0022212835028767586,0.20829755067825317,0.010467726737260818,0.06144135445356369,0.18343764543533325,0.8338167504557211
electricity,81502,POINT8,512,0.0022074959706515074,0.20899388194084167,0.010385539382696152,0.08078873157501221,0.21209946274757385,0.8129549067800399
electricity,81502,REFERENCE,512,0.0022559091448783875,0.2069840282201767,0.010633671656250954,0.061152391135692596,0.1837630271911621,0.8322266656469032
electricity,81502,SHIFT4,512,0.002179417060688138,0.2100023478269577,0.010061044245958328,0.05706864595413208,0.16395258903503418,0.8015098295849716
electricity,81502,SHIFT8,512,0.0025919994805008173,0.2117813527584076,0.011158929206430912,0.12587623298168182,0.2629396915435791,0.79362254792361
electricity,81502,SHIFT_POINT,512,0.0021842317655682564,0.21038368344306946,0.01007414236664772,0.07213329523801804,0.1835494339466095,0.7938349078189826
ettm1,81501,BURST16,512,0.0016365128103643656,0.21501031517982483,0.007608722895383835,0.09184442460536957,0.27471649646759033,0.33017616521065263
ettm1,81501,BURST4,512,0.0016762763261795044,0.21328946948051453,0.007822291925549507,0.01631636545062065,0.023968789726495743,0.42182545809459004
ettm1,81501,BURST8,512,0.0016308007761836052,0.21486280858516693,0.007603374309837818,0.04872642084956169,0.07182078063488007,0.39581009794962174
ettm1,81501,POINT16,512,0.001689401688054204,0.21247370541095734,0.007903636433184147,0.06287703663110733,0.1784353107213974,0.27137829055962476
ettm1,81501,POINT4,512,0.0017054732888936996,0.21204456686973572,0.007984379306435585,0.017903398722410202,0.026472438126802444,0.4146524822161172
ettm1,81501,POINT8,512,0.0016882517375051975,0.2124527394771576,0.00789964385330677,0.03740241378545761,0.05560051649808884,0.35375542748188765
ettm1,81501,REFERENCE,512,0.0017182452138513327,0.21192620694637299,0.008047694340348244,0.017558081075549126,0.02594783529639244,0.4039681410103704
ettm1,81501,SHIFT4,512,0.0016873322892934084,0.21308891475200653,0.007809890899807215,0.01219864096492529,0.016744688153266907,0.3553947701979539
ettm1,81501,SHIFT8,512,0.001633359119296074,0.2146938443183899,0.007433278486132622,0.07331250607967377,0.10291284322738647,0.5871995029738437
ettm1,81501,SHIFT_POINT,512,0.0016783482860773802,0.21325035393238068,0.007763346657156944,0.028283486142754555,0.040929652750492096,0.31221111988197653
ettm1,81502,BURST16,512,0.0015347336884588003,0.21501031517982483,0.00715726800262928,0.09184442460536957,0.27471649646759033,0.43501308246575016
ettm1,81502,BURST4,512,0.0015583320055156946,0.21328946948051453,0.007296228781342506,0.01631636545062065,0.023968789726495743,0.46744349005391284
ettm1,81502,BURST8,512,0.0015274286270141602,0.21486280858516693,0.007141738198697567,0.04872642084956169,0.07182078063488007,0.46496500043232725
ettm1,81502,POINT16,512,0.0015700487419962883,0.21247370541095734,0.007364676799625158,0.06287703663110733,0.1784353107213974,0.31032788292099595
ettm1,81502,POINT4,512,0.0015797673258930445,0.21204456686973572,0.007417287211865187,0.017903398722410202,0.026472438126802444,0.45453397231531106
ettm1,81502,POINT8,512,0.0015664196107536554,0.2124527394771576,0.007350039668381214,0.03740241378545761,0.05560051649808884,0.38670139055267144
ettm1,81502,REFERENCE,512,0.001588012557476759,0.21192620694637299,0.007458146661520004,0.017558081075549126,0.02594783529639244,0.447408994416234
ettm1,81502,SHIFT4,512,0.0015670745633542538,0.21308891475200653,0.007289176341146231,0.01219864096492529,0.016744688153266907,0.3776512578550484
ettm1,81502,SHIFT8,512,0.0015347764128819108,0.2146938443183899,0.007049997337162495,0.07331250607967377,0.10291284322738647,0.695450336463642
ettm1,81502,SHIFT_POINT,512,0.0015616194577887654,0.21325035393238068,0.007262039929628372,0.028283486142754555,0.040929652750492096,0.33344971661820777
