source,arm,seed,condition,nmae,mae,normalized_mse,pinball,crossing,nrmse
electricity,B0,81551,BURST16,0.17628720707763304,11.748829555377597,0.1483072858973746,0.14682007604052508,0.0020618438720703125,0.322995407629293
electricity,B0,81551,BURST4,0.16960903276087505,11.150075103789277,0.14214703495046924,0.14095548578184497,0.0007190704345703125,0.31458422886918014
electricity,B0,81551,BURST8,0.17872762209688767,12.14446366537959,0.16554532004350714,0.14889882922976191,0.00083160400390625,0.34497821509480636
electricity,B0,81551,POINT16,0.17027529281283102,11.147882422796101,0.14224338444783655,0.14132086433541882,0.0006561279296875,0.3151567100762962
electricity,B0,81551,POINT4,0.168178908770806,10.984949877056351,0.142155921988054,0.14014067426613172,0.00066375732421875,0.3137333673741166
electricity,B0,81551,POINT8,0.16976856010553898,11.08698453942634,0.14342704088115604,0.14120110812925643,0.0006561279296875,0.3156139945435603
electricity,B0,81551,REFERENCE,0.16721632685824064,10.901148300603381,0.14174688809175914,0.1394779046758212,0.0009613037109375,0.31267602545080164
electricity,B0,81551,SHIFT4,0.19247533076026166,12.821277775869278,0.1483916534975577,0.15759675737345494,0.0002040863037109375,0.3277566455233636
electricity,B0,81551,SHIFT8,0.2083321769911373,13.724869179384557,0.15982891234680693,0.17016991915723506,0.00025177001953125,0.34376634981885557
electricity,B0,81551,SHIFT_POINT,0.19846368824791225,13.176331009572024,0.15015902102665016,0.16205149733006521,0.000194549560546875,0.3312001517416111
electricity,B0,81552,BURST16,0.17563451618508205,11.716866296086664,0.14734754281988163,0.14604173754736377,0.0010700225830078125,0.32235395610866097
electricity,B0,81552,BURST4,0.1683163159748235,11.001287901679461,0.1413970637470605,0.13974947894998718,0.000804901123046875,0.3134728153294594
electricity,B0,81552,BURST8,0.17771955864932934,12.091164176112216,0.16577319128168175,0.1480568624240526,0.0007457733154296875,0.3455564414066183
electricity,B0,81552,POINT16,0.16876769521055598,11.00057449509768,0.14141959745770508,0.1402005066235882,0.0006504058837890625,0.3144587971313304
electricity,B0,81552,POINT4,0.166434772362149,10.832962427048187,0.14109651792895997,0.13846263642144688,0.0007915496826171875,0.3121433458461919
electricity,B0,81552,POINT8,0.16780233712429604,10.920670179453737,0.14245629321237294,0.13942394907304376,0.0007171630859375,0.3140750001604791
electricity,B0,81552,REFERENCE,0.16583180785731813,10.775621320761275,0.14113327263218378,0.13804439184618267,0.001064300537109375,0.3115595932834434
electricity,B0,81552,SHIFT4,0.19013963598199893,12.415619614177716,0.14720689291597772,0.15611649357395163,0.0003643035888671875,0.3253351784840822
electricity,B0,81552,SHIFT8,0.21173237594266703,13.693095322690507,0.1617500485750894,0.1745076336205441,0.000499725341796875,0.3464497349476879
electricity,B0,81552,SHIFT_POINT,0.19397922357090322,12.605012140851924,0.1504961556038556,0.15940533343687283,0.0002593994140625,0.32897173586513445
electricity,B1,81551,BURST16,0.17588898035715075,11.43236074514789,0.14838453305294022,0.14591351858478394,0.000621795654296875,0.32082216953971743
electricity,B1,81551,BURST4,0.17401111923030593,11.21011454379186,0.1461276831080947,0.14425973442074372,0.0005512237548828125,0.3176656435479114
electricity,B1,81551,BURST8,0.18220425173348223,12.172321583289886,0.16554962772034218,0.15145828358462787,0.000537872314453125,0.34422163870447653
electricity,B1,81551,POINT16,0.17287249717966763,11.078865132651117,0.14452368590645856,0.14344587190747835,0.0004520416259765625,0.3157443945935971
electricity,B1,81551,POINT4,0.1717042275046321,10.977576535831759,0.14373002909075241,0.14273986193245983,0.00048065185546875,0.31440641851654894
electricity,B1,81551,POINT8,0.17298942478300053,11.067342032460147,0.14587091430829258,0.14364135208346193,0.0004520416259765625,0.3167555321501011
electricity,B1,81551,REFERENCE,0.17106218938569845,10.921825544784951,0.14368923432401343,0.14225305414099254,0.000690460205078125,0.31374903940266274
electricity,B1,81551,SHIFT4,0.25844781714404524,17.561118637548418,0.2013062357272857,0.20761824360578474,1.9073486328125e-05,0.39627802209272656
electricity,B1,81551,SHIFT8,0.3438911190354482,21.404329253867033,0.33764638133178043,0.28435905724145705,0.0,0.5153511374886751
electricity,B1,81551,SHIFT_POINT,0.2522400576402563,17.287966023709398,0.18147466371395424,0.20283116488355538,4.57763671875e-05,0.38139591755093727
electricity,B1,81552,BURST16,0.17514849249894401,11.35742411985484,0.14746455977086595,0.14499340686647702,0.0007495880126953125,0.31986603576871625
electricity,B1,81552,BURST4,0.17316436002566074,11.13872954017279,0.14514768939652292,0.14343227329746738,0.000720977783203125,0.31675057506243937
electricity,B1,81552,BURST8,0.18130367180025633,12.108628062433127,0.16455373334392648,0.15051767448051054,0.000713348388671875,0.34337142522031966
electricity,B1,81552,POINT16,0.1718814610866938,11.014321008158731,0.14223822306426193,0.14240167697112116,0.0005550384521484375,0.31375081713500375
electricity,B1,81552,POINT4,0.1710844906190424,10.93131346937298,0.1427364971363426,0.14199219720891218,0.000637054443359375,0.31349940563796796
electricity,B1,81552,POINT8,0.1722523588419496,11.006364837521687,0.144696730176473,0.14281937854910576,0.0006561279296875,0.3156227552606625
electricity,B1,81552,REFERENCE,0.17075788715544027,10.894514573061315,0.14362923828466712,0.14170555326924644,0.00084686279296875,0.313697715860675
electricity,B1,81552,SHIFT4,0.25797961109270945,17.40150170570679,0.20040547293325167,0.22070036049269154,2.86102294921875e-05,0.3962319924946508
electricity,B1,81552,SHIFT8,0.3360221512090484,20.780233559609048,0.3307799878630448,0.2786917817540089,0.0,0.505709004559603
electricity,B1,81552,SHIFT_POINT,0.251299982369958,17.01588903769013,0.18065667597134266,0.22181485259673486,5.53131103515625e-05,0.38080024567053045
electricity,B2,81551,BURST16,0.17804695404748935,11.55427401966881,0.15341752152409027,0.14749717775895121,0.0012989044189453125,0.325814647588362
electricity,B2,81551,BURST4,0.17427313960454993,11.243429769019713,0.14797970778968939,0.14423405894539937,0.0007724761962890625,0.3195351974558517
electricity,B2,81551,BURST8,0.1856065380223902,12.618737055679958,0.1806659698667487,0.15442296966080746,0.000858306884765625,0.36049225944333924
electricity,B2,81551,POINT16,0.17338092439590824,11.105852374272217,0.1484508456629746,0.14360033947486006,0.000598907470703125,0.3190287105190508
electricity,B2,81551,POINT4,0.1724221904759094,11.047212330413458,0.14738599589456058,0.14305595292104165,0.000640869140625,0.317715146930138
electricity,B2,81551,POINT8,0.17360962986006778,11.115299485354626,0.1491300891798013,0.14377379466506923,0.00054931640625,0.31951619592323033
electricity,B2,81551,REFERENCE,0.17159180667974755,10.972162762089283,0.14715026527599234,0.14235129224748053,0.00103759765625,0.31683258629890665
electricity,B2,81551,SHIFT4,0.22283155287569828,14.852748740762594,0.17409793226100212,0.18112874431232834,0.00014495849609375,0.3587204366066117
electricity,B2,81551,SHIFT8,0.25356844219439256,16.540238559540505,0.23795864871316827,0.2097892368762732,3.814697265625e-06,0.41232796875963595
electricity,B2,81551,SHIFT_POINT,0.2222870832075263,14.913182301362157,0.16595237772555207,0.17941649070257346,8.0108642578125e-05,0.3536766359714807
electricity,B2,81552,BURST16,0.1743350341003862,11.34560490480726,0.1485303549596486,0.14428144365077455,0.0008869171142578125,0.3209658535523978
electricity,B2,81552,BURST4,0.1717274415410105,11.087024776170438,0.14477971398356496,0.14219236698243395,0.00077056884765625,0.3164182821471011
electricity,B2,81552,BURST8,0.18052429038178097,12.14120465968881,0.1687785168899699,0.15007814047201393,0.0007839202880859375,0.34786901740967263
electricity,B2,81552,POINT16,0.1702557501113939,10.954021883200767,0.14203717650569225,0.1408863602590904,0.0006504058837890625,0.31349831373713954
electricity,B2,81552,POINT4,0.1695090265012151,10.881480307241873,0.14282684050810757,0.14043895926928224,0.000751495361328125,0.313521517703802
electricity,B2,81552,POINT8,0.17088102530520605,10.951536556232895,0.14543941569349475,0.14157514839532004,0.000720977783203125,0.31611459072811593
electricity,B2,81552,REFERENCE,0.1692112609423714,10.841614203643985,0.14392763952966345,0.1402508714646977,0.0009002685546875,0.3138487929460308
electricity,B2,81552,SHIFT4,0.22990792833793433,15.526018594571022,0.17695448008838122,0.18626406776399798,3.62396240234375e-05,0.366866607850054
electricity,B2,81552,SHIFT8,0.26852972810129155,16.97975481646137,0.24115425698448667,0.22297185135231679,0.0,0.42259157103010525
electricity,B2,81552,SHIFT_POINT,0.2243920593625983,15.312870980063263,0.16397268755735545,0.1820871627567523,6.103515625e-05,0.35728345954965424
electricity,B3,81551,BURST16,0.17793438851006557,11.840431203479966,0.15145948739464482,0.14810358338037527,0.0011539459228515625,0.32714078343188846
electricity,B3,81551,BURST4,0.17198755496356688,11.226166224456392,0.14522380893429782,0.14300957057894007,0.0003814697265625,0.31721876966024143
electricity,B3,81551,BURST8,0.1814563871250867,12.27609482978005,0.16887314550481558,0.15136693358826944,0.0005054473876953125,0.34826682690303096
electricity,B3,81551,POINT16,0.17126302000674848,11.129741461474623,0.14467263567789407,0.14252513618321455,0.0002574920654296875,0.31656363572016843
electricity,B3,81551,POINT4,0.1702296403400748,11.036633959236497,0.1439793475687784,0.14187485194769645,0.0002994537353515625,0.3152581512814212
electricity,B3,81551,POINT8,0.17125025457181708,11.11782060215046,0.14514991202780123,0.142546625224689,0.0002803802490234375,0.31682643374804464
electricity,B3,81551,REFERENCE,0.16909267059483002,10.948400750028668,0.14334093428719788,0.141054581545867,0.000461578369140625,0.3139678620138386
electricity,B3,81551,SHIFT4,0.1940963308555633,12.971407708275835,0.15155197716050003,0.15883260865297763,3.24249267578125e-05,0.3305737124446332
electricity,B3,81551,SHIFT8,0.20683277421101448,13.564516926401904,0.15739117413063827,0.16875795735459365,0.000179290771484375,0.34104301485542565
electricity,B3,81551,SHIFT_POINT,0.19945132951302907,13.300667468422127,0.15439396699508032,0.16243858320221655,8.58306884765625e-05,0.33478625798911515
electricity,B3,81552,BURST16,0.1749822329684155,11.579698708166688,0.14639033534576648,0.14498116149002135,0.0008792877197265625,0.32107086865544654
electricity,B3,81552,BURST4,0.16900471892570276,11.018008028127952,0.14130906968650064,0.13998356354511288,0.0006103515625,0.3133923279380904
electricity,B3,81552,BURST8,0.17844209299454075,12.084394676541706,0.16527367986636773,0.14837471390515522,0.0006771087646484375,0.3448598100556353
electricity,B3,81552,POINT16,0.16810552124559416,10.929926511715166,0.14102714935938407,0.13928920429826977,0.0004444122314453125,0.3128968053267922
electricity,B3,81552,POINT4,0.16702483274862437,10.841363534691482,0.14107116391337857,0.13870506656478723,0.0005207061767578125,0.3121084237630896
electricity,B3,81552,POINT8,0.16813288527567335,10.91454801499276,0.1423938844693366,0.13943342664267633,0.0005283355712890625,0.31377590056136284
electricity,B3,81552,REFERENCE,0.16649171673078927,10.791020642907824,0.14120143617494146,0.13835108128897683,0.00084686279296875,0.31162723607471543
electricity,B3,81552,SHIFT4,0.18958692683588996,12.403119626625038,0.14730788638614226,0.15583236555028918,0.0002288818359375,0.32531709884869897
electricity,B3,81552,SHIFT8,0.22084239507440537,14.308238882891699,0.1670907326535949,0.18140252404035315,0.0003948211669921875,0.35470927308396033
electricity,B3,81552,SHIFT_POINT,0.192490249278511,12.572198387213529,0.14938549490481207,0.15822691829848676,0.0001983642578125,0.32773732694256996
electricity,B4,81551,BURST16,0.17586811925840035,11.444540097319987,0.14816807481751545,0.14587375946674114,0.000720977783203125,0.32074524254277437
electricity,B4,81551,BURST4,0.17385167226312945,11.206147154916835,0.1457525982839781,0.1440924890488387,0.000591278076171875,0.3173682681944476
electricity,B4,81551,BURST8,0.18207127647765034,12.171356859664229,0.1651296753501028,0.15133231151155838,0.0006008148193359375,0.3438657659193767
electricity,B4,81551,POINT16,0.17277164660118371,11.082906113388162,0.14411918572147045,0.1432897862666487,0.000522613525390625,0.31549099891499366
electricity,B4,81551,POINT4,0.1715619744392368,10.976553455664543,0.14345686837617747,0.1425686089233308,0.0005245208740234375,0.3142035823261508
electricity,B4,81551,POINT8,0.17285368728649136,11.067794140639307,0.14555621859379195,0.1434687420892948,0.0005016326904296875,0.31653831304182756
electricity,B4,81551,REFERENCE,0.17092541760191904,10.920893257542048,0.14341988064005207,0.1420858296995594,0.000736236572265625,0.31355463306091785
electricity,B4,81551,SHIFT4,0.2545593636422266,17.294365299044486,0.19745853958718487,0.20478640826760275,2.09808349609375e-05,0.3917496430233981
electricity,B4,81551,SHIFT8,0.34276617913640217,21.401562835324185,0.3324608931657287,0.28350562729048123,0.0,0.5122729116751026
electricity,B4,81551,SHIFT_POINT,0.24836152085079563,17.015349050622127,0.17796108102138064,0.20012932381578277,4.57763671875e-05,0.3769549339957309
electricity,B4,81552,BURST16,0.17499037768128928,11.361496127723512,0.14704914717618708,0.14485524915910208,0.0007457733154296875,0.31958220968402085
electricity,B4,81552,BURST4,0.17293404393570286,11.1305933788135,0.14473551452735653,0.14323066513085747,0.0007038116455078125,0.3164011174330429
electricity,B4,81552,BURST8,0.18115160299413627,12.10275129321235,0.1645390278463714,0.15042045612482585,0.0006961822509765625,0.3433775460794722
electricity,B4,81552,POINT16,0.17169925775110884,11.008904845868528,0.14185426858930683,0.14224100708133122,0.000560760498046875,0.3134608985522231
electricity,B4,81552,POINT4,0.1708726708142298,10.922497090483375,0.14246522731394476,0.14179913643639505,0.0006542205810546875,0.3132524858327105
electricity,B4,81552,POINT8,0.1720615107577296,10.997773350427451,0.1445072545223046,0.1426579749381467,0.00064849853515625,0.31544917963066843
electricity,B4,81552,REFERENCE,0.1705371812721607,10.88469897977484,0.1433447097397074,0.14150848850325737,0.000873565673828125,0.3134358885455464
electricity,B4,81552,SHIFT4,0.25496143144716416,17.20411126806534,0.19698094087961399,0.20532675366008304,2.6702880859375e-05,0.3925542569377615
electricity,B4,81552,SHIFT8,0.3328746921169508,20.654523175732095,0.3242341830705567,0.27612559701527495,0.0,0.5008182403546209
electricity,B4,81552,SHIFT_POINT,0.24872429548770056,16.836321598142955,0.17836708965065798,0.20069087468237914,5.340576171875e-05,0.3779796072114887
electricity,B5,81551,BURST16,0.17580720673079284,11.443672975372465,0.1479270256211479,0.1458093784506336,0.0007343292236328125,0.32055636594958725
electricity,B5,81551,BURST4,0.17380625344920267,11.204453458729404,0.14561417958551987,0.14403722634298446,0.000606536865234375,0.31724557049393587
