source,arm,seed,lr,selected_step,optimizer_seconds,validation_seconds,checkpoint_io_seconds,train_peak_allocated_mib,train_peak_reserved_mib,E_inference_seconds,E_peak_allocated_mib
electricity,B0,81550,0.0001,768,37.434834057465196,5.019358929072041,0.45583085529506207,370.41162109375,384.0,,
electricity,B0,81550,0.0003,1024,37.57256981561659,4.860423884936608,0.4542723129852675,370.84912109375,384.0,,
electricity,B0,81551,0.0003,768,38.084993558819406,4.9246927089989185,0.44925998616963625,370.84912109375,384.0,3.8898525680415332,234.4599609375
electricity,B0,81552,0.0003,512,38.19833595358068,4.892044989042915,0.45897005789447576,370.84912109375,384.0,3.8951726570376195,234.4599609375
electricity,B1,81550,0.0001,1024,38.705402283987496,5.197198930836748,0.4580793658969924,370.97412109375,386.0,,
electricity,B1,81550,0.0003,512,38.84678406704916,5.202172144083306,0.4623958980664611,370.97412109375,386.0,,
electricity,B1,81551,0.0003,512,38.792309868498705,5.284953159920406,0.45641854841960594,370.97412109375,386.0,4.175349497003481,234.5849609375
electricity,B1,81552,0.0003,512,39.24239146022592,5.228618453955278,0.45748098992044106,370.97412109375,386.0,4.133173063979484,234.5849609375
electricity,B2,81550,0.0001,1024,39.59323978348402,5.270102933049202,0.4805143850389868,375.8486328125,386.0,,
electricity,B2,81550,0.0003,1024,39.919872362865135,5.414431668061297,0.48064144706586376,375.8486328125,386.0,,
electricity,B2,81551,0.0003,1024,40.007897559029516,5.378360273025464,0.4917178539908491,375.8486328125,386.0,4.219470259966329,234.72998046875
electricity,B2,81552,0.0003,512,39.95542614295846,5.303793624043465,0.4813749208697118,375.8486328125,386.0,4.245605240983423,234.72998046875
electricity,B3,81550,0.0001,768,38.90280786907533,5.195242709945887,0.45592306496109813,370.97412109375,384.0,,
electricity,B3,81550,0.0003,1024,38.659943616366945,5.126527274958789,0.4535783370374702,370.97412109375,386.0,,
electricity,B3,81551,0.0003,768,38.731481619004626,5.249929074954707,0.45696732914075255,370.97412109375,384.0,4.138691347965505,234.5849609375
electricity,B3,81552,0.0003,512,38.90074014174752,5.18069184187334,0.4611376931425184,370.97412109375,386.0,4.159676948969718,234.5849609375
electricity,B4,81550,0.0001,1024,39.81297729519429,5.2684179889038205,0.45913259219378233,382.3564453125,406.0,,
electricity,B4,81550,0.0003,512,39.92821649980033,5.221976981963962,0.4632612889399752,382.3564453125,406.0,,
electricity,B4,81551,0.0003,512,40.354950669629034,5.265384404920042,0.458158032852225,382.3564453125,406.0,4.170615518989507,234.58544921875
electricity,B4,81552,0.0003,512,40.20681935333414,5.237050637952052,0.47619400691473857,382.3564453125,406.0,4.175318098976277,234.58544921875
electricity,B5,81550,0.0001,1024,39.518273279303685,5.157041886996012,0.4539629120263271,382.3564453125,406.0,,
electricity,B5,81550,0.0003,512,39.935143343231175,5.282725762983318,0.46284759673289955,382.3564453125,406.0,,
electricity,B5,81551,0.0003,512,40.08329341217177,5.2982177779776976,0.4677918300149031,382.3564453125,406.0,4.205118938989472,234.58544921875
electricity,B5,81552,0.0003,512,40.44001454737736,5.2916438221000135,0.4623677681083791,382.3564453125,406.0,4.169299183995463,234.58544921875
ettm1,B0,81550,0.0001,1024,38.13606580841588,4.91965185693698,0.4656357780331746,370.84912109375,384.0,,
ettm1,B0,81550,0.0003,768,38.288034447992686,4.994123310083523,0.462697978655342,370.84912109375,384.0,,
ettm1,B0,81551,0.0001,768,37.96876874024747,4.895248155924492,0.4537916208500974,370.84912109375,384.0,3.89027261902811,234.4599609375
ettm1,B0,81552,0.0001,1024,37.92665235302411,4.885911167017184,0.4476812029024586,370.84912109375,384.0,3.927312887972221,234.4599609375
ettm1,B1,81550,0.0001,1024,38.99504987715045,5.38332324300427,0.4557376182638109,370.97412109375,386.0,,
ettm1,B1,81550,0.0003,512,38.54820509033743,5.208464099967387,0.45666894502937794,370.97412109375,386.0,,
ettm1,B1,81551,0.0001,1024,39.10612455935916,5.21244268794544,0.4752185359830037,370.97412109375,386.0,4.126735224970616,234.5849609375
ettm1,B1,81552,0.0001,1024,38.85297457722481,5.297781019995455,0.4652046696865,370.97412109375,386.0,4.187604737991933,234.5849609375
ettm1,B2,81550,0.0001,1024,40.36636202794034,5.341979291057214,0.5055677990312688,375.8486328125,386.0,,
ettm1,B2,81550,0.0003,1024,40.03381035273196,5.357029038015753,0.4842625220771879,375.8486328125,386.0,,
ettm1,B2,81551,0.0003,1024,39.973001529986504,5.327152202022262,0.48510679887840524,375.8486328125,386.0,4.23048149101669,234.72998046875
ettm1,B2,81552,0.0003,1024,40.40948796045268,5.333576068049297,0.48510476789670065,375.8486328125,386.0,4.2254663850180805,234.72998046875
ettm1,B3,81550,0.0001,1024,38.96926212502876,5.273556440952234,0.44981996301794425,370.97412109375,384.0,,
ettm1,B3,81550,0.0003,512,39.50035247037886,5.245715747005306,0.46817754791118205,370.97412109375,386.0,,
ettm1,B3,81551,0.0001,768,39.291424018272664,5.2894777890178375,0.4656580731389113,370.97412109375,384.0,4.181159019994084,234.5849609375
ettm1,B3,81552,0.0001,768,38.8362386150402,5.23185063409619,0.4538179869996384,370.97412109375,386.0,4.1737143759964965,234.5849609375
ettm1,B4,81550,0.0001,1024,40.24970712076174,5.272627872007433,0.46780594816664234,382.3564453125,406.0,,
ettm1,B4,81550,0.0003,512,40.414499232312664,5.276092846062966,0.46604310505790636,382.3564453125,406.0,,
ettm1,B4,81551,0.0001,1024,40.42959327733843,5.293208958930336,0.47723612101981416,382.3564453125,406.0,4.183770290983375,234.58544921875
ettm1,B4,81552,0.0001,1024,40.46451268927194,5.297832007985562,0.46744650101754814,382.3564453125,406.0,4.199447838997003,234.58544921875
ettm1,B5,81550,0.0001,1024,40.22067921463167,5.28430252202088,0.46310199884464964,382.3564453125,406.0,,
ettm1,B5,81550,0.0003,512,40.064179380307905,5.261560390063096,0.4641806060099043,382.3564453125,406.0,,
ettm1,B5,81551,0.0001,1024,40.07144338131184,5.268547415093053,0.46355638810200617,382.3564453125,406.0,4.194550354033709,234.58544921875
ettm1,B5,81552,0.0001,1024,40.192743309540674,5.260790472035296,0.4647023999132216,382.3564453125,406.0,4.178683761972934,234.58544921875
