fit,source,arm,seed,lr,status,updates,optimizer_seconds,validation_seconds,checkpoint_io_seconds,peak_allocated,peak_reserved
electricity_B0_s81550_lr0.0001,electricity,B0,81550,0.0001,COMPLETE,1024,37.434834057465196,5.019358929072041,0.45583085529506207,388404736,402653184
electricity_B0_s81550_lr0.0003,electricity,B0,81550,0.0003,COMPLETE,1024,37.57256981561659,4.860423884936608,0.4542723129852675,388863488,402653184
electricity_B0_s81551_lr0.0003,electricity,B0,81551,0.0003,COMPLETE,1024,38.084993558819406,4.9246927089989185,0.44925998616963625,388863488,402653184
electricity_B0_s81552_lr0.0003,electricity,B0,81552,0.0003,COMPLETE,1024,38.19833595358068,4.892044989042915,0.45897005789447576,388863488,402653184
electricity_B1_s81550_lr0.0001,electricity,B1,81550,0.0001,COMPLETE,1024,38.705402283987496,5.197198930836748,0.4580793658969924,388994560,404750336
electricity_B1_s81550_lr0.0003,electricity,B1,81550,0.0003,COMPLETE,1024,38.84678406704916,5.202172144083306,0.4623958980664611,388994560,404750336
electricity_B1_s81551_lr0.0003,electricity,B1,81551,0.0003,COMPLETE,1024,38.792309868498705,5.284953159920406,0.45641854841960594,388994560,404750336
electricity_B1_s81552_lr0.0003,electricity,B1,81552,0.0003,COMPLETE,1024,39.24239146022592,5.228618453955278,0.45748098992044106,388994560,404750336
electricity_B2_s81550_lr0.0001,electricity,B2,81550,0.0001,COMPLETE,1024,39.59323978348402,5.270102933049202,0.4805143850389868,394105856,404750336
electricity_B2_s81550_lr0.0003,electricity,B2,81550,0.0003,COMPLETE,1024,39.919872362865135,5.414431668061297,0.48064144706586376,394105856,404750336
electricity_B2_s81551_lr0.0003,electricity,B2,81551,0.0003,COMPLETE,1024,40.007897559029516,5.378360273025464,0.4917178539908491,394105856,404750336
electricity_B2_s81552_lr0.0003,electricity,B2,81552,0.0003,COMPLETE,1024,39.95542614295846,5.303793624043465,0.4813749208697118,394105856,404750336
electricity_B3_s81550_lr0.0001,electricity,B3,81550,0.0001,COMPLETE,1024,38.90280786907533,5.195242709945887,0.45592306496109813,388994560,402653184
electricity_B3_s81550_lr0.0003,electricity,B3,81550,0.0003,COMPLETE,1024,38.659943616366945,5.126527274958789,0.4535783370374702,388994560,404750336
electricity_B3_s81551_lr0.0003,electricity,B3,81551,0.0003,COMPLETE,1024,38.731481619004626,5.249929074954707,0.45696732914075255,388994560,402653184
electricity_B3_s81552_lr0.0003,electricity,B3,81552,0.0003,COMPLETE,1024,38.90074014174752,5.18069184187334,0.4611376931425184,388994560,404750336
electricity_B4_s81550_lr0.0001,electricity,B4,81550,0.0001,COMPLETE,1024,39.81297729519429,5.2684179889038205,0.45913259219378233,400929792,425721856
electricity_B4_s81550_lr0.0003,electricity,B4,81550,0.0003,COMPLETE,1024,39.92821649980033,5.221976981963962,0.4632612889399752,400929792,425721856
electricity_B4_s81551_lr0.0003,electricity,B4,81551,0.0003,COMPLETE,1024,40.354950669629034,5.265384404920042,0.458158032852225,400929792,425721856
electricity_B4_s81552_lr0.0003,electricity,B4,81552,0.0003,COMPLETE,1024,40.20681935333414,5.237050637952052,0.47619400691473857,400929792,425721856
electricity_B5_s81550_lr0.0001,electricity,B5,81550,0.0001,COMPLETE,1024,39.518273279303685,5.157041886996012,0.4539629120263271,400929792,425721856
electricity_B5_s81550_lr0.0003,electricity,B5,81550,0.0003,COMPLETE,1024,39.935143343231175,5.282725762983318,0.46284759673289955,400929792,425721856
electricity_B5_s81551_lr0.0003,electricity,B5,81551,0.0003,COMPLETE,1024,40.08329341217177,5.2982177779776976,0.4677918300149031,400929792,425721856
electricity_B5_s81552_lr0.0003,electricity,B5,81552,0.0003,COMPLETE,1024,40.44001454737736,5.2916438221000135,0.4623677681083791,400929792,425721856
ettm1_B0_s81550_lr0.0001,ettm1,B0,81550,0.0001,COMPLETE,1024,38.13606580841588,4.91965185693698,0.4656357780331746,388863488,402653184
ettm1_B0_s81550_lr0.0003,ettm1,B0,81550,0.0003,COMPLETE,1024,38.288034447992686,4.994123310083523,0.462697978655342,388863488,402653184
ettm1_B0_s81551_lr0.0001,ettm1,B0,81551,0.0001,COMPLETE,1024,37.96876874024747,4.895248155924492,0.4537916208500974,388863488,402653184
ettm1_B0_s81552_lr0.0001,ettm1,B0,81552,0.0001,COMPLETE,1024,37.92665235302411,4.885911167017184,0.4476812029024586,388863488,402653184
ettm1_B1_s81550_lr0.0001,ettm1,B1,81550,0.0001,COMPLETE,1024,38.99504987715045,5.38332324300427,0.4557376182638109,388994560,404750336
ettm1_B1_s81550_lr0.0003,ettm1,B1,81550,0.0003,COMPLETE,1024,38.54820509033743,5.208464099967387,0.45666894502937794,388994560,404750336
ettm1_B1_s81551_lr0.0001,ettm1,B1,81551,0.0001,COMPLETE,1024,39.10612455935916,5.21244268794544,0.4752185359830037,388994560,404750336
ettm1_B1_s81552_lr0.0001,ettm1,B1,81552,0.0001,COMPLETE,1024,38.85297457722481,5.297781019995455,0.4652046696865,388994560,404750336
ettm1_B2_s81550_lr0.0001,ettm1,B2,81550,0.0001,COMPLETE,1024,40.36636202794034,5.341979291057214,0.5055677990312688,394105856,404750336
ettm1_B2_s81550_lr0.0003,ettm1,B2,81550,0.0003,COMPLETE,1024,40.03381035273196,5.357029038015753,0.4842625220771879,394105856,404750336
ettm1_B2_s81551_lr0.0003,ettm1,B2,81551,0.0003,COMPLETE,1024,39.973001529986504,5.327152202022262,0.48510679887840524,394105856,404750336
ettm1_B2_s81552_lr0.0003,ettm1,B2,81552,0.0003,COMPLETE,1024,40.40948796045268,5.333576068049297,0.48510476789670065,394105856,404750336
ettm1_B3_s81550_lr0.0001,ettm1,B3,81550,0.0001,COMPLETE,1024,38.96926212502876,5.273556440952234,0.44981996301794425,388994560,402653184
ettm1_B3_s81550_lr0.0003,ettm1,B3,81550,0.0003,COMPLETE,1024,39.50035247037886,5.245715747005306,0.46817754791118205,388994560,404750336
ettm1_B3_s81551_lr0.0001,ettm1,B3,81551,0.0001,COMPLETE,1024,39.291424018272664,5.2894777890178375,0.4656580731389113,388994560,402653184
ettm1_B3_s81552_lr0.0001,ettm1,B3,81552,0.0001,COMPLETE,1024,38.8362386150402,5.23185063409619,0.4538179869996384,388994560,404750336
ettm1_B4_s81550_lr0.0001,ettm1,B4,81550,0.0001,COMPLETE,1024,40.24970712076174,5.272627872007433,0.46780594816664234,400929792,425721856
ettm1_B4_s81550_lr0.0003,ettm1,B4,81550,0.0003,COMPLETE,1024,40.414499232312664,5.276092846062966,0.46604310505790636,400929792,425721856
ettm1_B4_s81551_lr0.0001,ettm1,B4,81551,0.0001,COMPLETE,1024,40.42959327733843,5.293208958930336,0.47723612101981416,400929792,425721856
ettm1_B4_s81552_lr0.0001,ettm1,B4,81552,0.0001,COMPLETE,1024,40.46451268927194,5.297832007985562,0.46744650101754814,400929792,425721856
ettm1_B5_s81550_lr0.0001,ettm1,B5,81550,0.0001,COMPLETE,1024,40.22067921463167,5.28430252202088,0.46310199884464964,400929792,425721856
ettm1_B5_s81550_lr0.0003,ettm1,B5,81550,0.0003,COMPLETE,1024,40.064179380307905,5.261560390063096,0.4641806060099043,400929792,425721856
ettm1_B5_s81551_lr0.0001,ettm1,B5,81551,0.0001,COMPLETE,1024,40.07144338131184,5.268547415093053,0.46355638810200617,400929792,425721856
ettm1_B5_s81552_lr0.0001,ettm1,B5,81552,0.0001,COMPLETE,1024,40.192743309540674,5.260790472035296,0.4647023999132216,400929792,425721856
