role,n,signal,outcome,spearman,signal_available_at_prediction,requires_four_model_paths
C,12,input_spread,damage,0.5314685314685315,True,False
C,12,input_spread,mixture_gain,0.3706293706293706,True,False
C,12,output_spread,damage,0.04195804195804196,True,True
C,12,output_spread,mixture_gain,0.13986013986013987,True,True
C,12,weather_error_proxy,damage,0.06993006993006994,False,False
C,12,weather_error_proxy,mixture_gain,0.32167832167832167,False,False
D,16,input_spread,damage,0.21470588235294116,True,False
D,16,input_spread,mixture_gain,-0.08529411764705883,True,False
D,16,output_spread,damage,0.026470588235294117,True,True
D,16,output_spread,mixture_gain,-0.26176470588235295,True,True
D,16,weather_error_proxy,damage,0.29411764705882354,False,False
D,16,weather_error_proxy,mixture_gain,0.014705882352941176,False,False
