id,role,month,path,primary,weather_error_proxy
C_0301,C,3,0,0.6420086555043215,0.2865085915792139
C_0301,C,3,1,0.5221503463403406,0.3103595142718103
C_0301,C,3,2,0.4673652153336209,0.4592400378812979
C_0301,C,3,3,0.4420248682181003,0.41835619021575826
C_0308,C,3,0,0.27529284564316103,0.07521487384265768
C_0308,C,3,1,0.2728174852074339,0.072690472122545
C_0308,C,3,2,0.31244577917000604,0.11142540628090411
C_0308,C,3,3,0.5327424978593494,0.22074851116219532
C_0315,C,3,0,0.10697633596304432,0.1630637314149509
C_0315,C,3,1,0.1836778603480371,0.2785767910720716
C_0315,C,3,2,0.11636558148577583,0.23399514596074608
C_0315,C,3,3,0.1543723208160705,0.4028529597701573
C_0322,C,3,0,0.07058080395489597,0.15394501851385275
C_0322,C,3,1,0.0864560171331818,0.166421340566841
C_0322,C,3,2,0.07849128707758628,0.17919251806011705
C_0322,C,3,3,0.08588337356109568,0.17924297726010704
C_0401,C,4,0,0.1748893293189592,0.1987341232453276
C_0401,C,4,1,0.1657690714121698,0.26752435693550614
C_0401,C,4,2,0.1759469566260585,0.35140410338770395
C_0401,C,4,3,0.2334108557193042,0.4457981442558223
C_0408,C,4,0,0.1698901102976888,0.25715685703976016
C_0408,C,4,1,0.21687214091646376,0.2845841957390284
C_0408,C,4,2,0.243903198655442,0.33693063836672366
C_0408,C,4,3,0.2706723890849428,0.4152142883461193
C_0415,C,4,0,0.12386258916317312,0.2709172706451798
C_0415,C,4,1,0.1389016591150568,0.22985583472759666
C_0415,C,4,2,0.16433945786419155,0.26710774982984575
C_0415,C,4,3,0.1678570515996478,0.3651018578911157
C_0422,C,4,0,0.13636732494067594,0.15989889409453972
C_0422,C,4,1,0.17075965001506863,0.2868957378181069
C_0422,C,4,2,0.24155537217665263,0.3655335695127408
C_0422,C,4,3,0.1347151834571915,0.34161828964206314
C_0501,C,5,0,0.10003624064654364,0.09750294689917058
C_0501,C,5,1,0.09990529717260851,0.13685524097129692
C_0501,C,5,2,0.10005567721448301,0.1860355078367084
C_0501,C,5,3,0.12062876882952729,0.3976949916465494
C_0508,C,5,0,0.17928599709733703,0.1623656779504238
C_0508,C,5,1,0.1942766707064374,0.21387579052838313
C_0508,C,5,2,0.16203435560869386,0.32311349522837224
C_0508,C,5,3,0.24629863070522504,0.3254214910682235
C_0515,C,5,0,0.09429505715912744,0.2013204457730135
C_0515,C,5,1,0.11174090481287954,0.2884881994524348
C_0515,C,5,2,0.08873602047905221,0.3934726771146671
C_0515,C,5,3,0.13412032112234323,0.4195838854721622
C_0522,C,5,0,0.15265384915711303,0.24140196296875416
C_0522,C,5,1,0.17290163683620727,0.42648403556860953
C_0522,C,5,2,0.12751932215703288,0.5202672112029882
C_0522,C,5,3,0.274174578148521,0.6643605548778141
D_0601,D,6,0,0.13541750051209434,0.17777782275275922
D_0601,D,6,1,0.09189830837568778,0.19402053950780793
D_0601,D,6,2,0.09791199451483644,0.34278983566758114
D_0601,D,6,3,0.0964025226520939,0.46334379128332615
D_0608,D,6,0,0.13862928337351238,0.1838637195685731
D_0608,D,6,1,0.18692076393440354,0.2569310371964002
D_0608,D,6,2,0.11913235423022027,0.29903982332066487
D_0608,D,6,3,0.2056063905109875,0.3095394502607191
