role,path,n,primary,weather_error_proxy
C,0,12,0.18551159490383673,0.18900253283057036
C,1,12,0.19468572833465705,0.24688429248118585
C,2,12,0.18989651865404963,0.3106431717219013
C,3,12,0.2330750699267765,0.38299951180067393
D,0,16,0.14947867852478466,0.31829070421317784
D,1,16,0.15301651764994448,0.24032141682778235
D,2,16,0.171981511657824,0.32268890245597104
D,3,16,0.1771606253168552,0.45079778338039955
