id,role,month,input_spread,output_spread,weather_error_proxy,latest,f0,mixture,damage,mixture_gain,oldest_minus_latest,oldest_weather_minus_latest
C_0301,C,3,0.22301804132397596,0.13021025632148756,0.2865085915792139,0.6420086555043215,0.9003793364164663,0.496746264646616,-0.25837068091214477,0.14526239085770554,-0.19998378728622124,0.13184759863654438
C_0308,C,3,0.12356793809872776,0.14296456496354332,0.07521487384265768,0.27529284564316103,0.6797320751874648,0.32556437558141516,-0.4044392295443038,-0.05027152993825412,0.2574496522161883,0.14553363731953764
C_0315,C,3,0.2323630346402269,0.09792820721828027,0.1630637314149509,0.10697633596304432,0.264373490707157,0.1282666600532727,-0.15739715474411267,-0.02129032409022838,0.04739598485302618,0.23978922835520639
C_0322,C,3,0.1373341248705968,0.030086532771274745,0.15394501851385275,0.07058080395489597,0.1317897452644263,0.07816779674548804,-0.061208941309530335,-0.007586992790592079,0.015302569606199717,0.02529795874625429
C_0401,C,4,0.2536878063451394,0.07246537916921875,0.1987341232453276,0.1748893293189592,0.22502868343614818,0.1784513024837405,-0.05013935411718898,-0.0035619731647812958,0.058521526400345,0.2470640210104947
C_0408,C,4,0.24817853057723763,0.12985961224532938,0.25715685703976016,0.1698901102976888,0.2433032437855265,0.21051306210167556,-0.0734131334878377,-0.04062295180398676,0.10078227878725399,0.15805743130635913
C_0415,C,4,0.1799926327785552,0.06149957319455164,0.2709172706451798,0.12386258916317312,0.5285313614256246,0.14230647995080525,-0.4046687722624515,-0.01844389078763213,0.04399446243647469,0.09418458724593592
C_0422,C,4,0.20158866037420525,0.08961570722463308,0.15989889409453972,0.13636732494067594,0.5445507028215838,0.15920926806875618,-0.40818337788090786,-0.022841943128080244,-0.0016521414834844428,0.18171939554752342
C_0501,C,5,0.20991340096483435,0.03747631223438854,0.09750294689917058,0.10003624064654364,0.22086565562545366,0.10277324750795955,-0.12082941497891002,-0.002737006861415911,0.020592528182983655,0.3001920447473788
C_0508,C,5,0.1872284300719637,0.15741789423205144,0.1623656779504238,0.17928599709733703,0.20010226782418786,0.16636343931137776,-0.020816270726850827,0.012922557785959271,0.067012633607888,0.16305581311779968
C_0515,C,5,0.26324007663636007,0.04104359290065463,0.2013204457730135,0.09429505715912744,0.11450543929571086,0.10173559828908957,-0.020210382136583424,-0.007440541129962133,0.0398252639632158,0.2182634396991487
C_0522,C,5,0.40384395681417534,0.19222971880859943,0.24140196296875416,0.15265384915711303,0.17473296275209174,0.13912622505299305,-0.022079113594978717,0.013527624104119979,0.12152072899140795,0.42295859190905993
D_0601,D,6,0.2145414588174344,0.0598941837745305,0.17777782275275922,0.13541750051209434,0.1660217073622602,0.10032230116203511,-0.030604206850165877,0.035095199350059225,-0.03901497786000044,0.2855659685305669
D_0608,D,6,0.21547607425695847,0.1386032624636443,0.1838637195685731,0.13862928337351238,0.16805153883762655,0.142168537647906,-0.029422255464114172,-0.0035392542743936106,0.06697710713747512,0.12567573069214602
D_0615,D,6,0.22294526137013435,0.1650568489403944,0.1932302965733998,0.27485403410001485,0.29063824493191476,0.23979956305468447,-0.015784210831899903,0.03505447104533038,-0.04771488164052182,0.17299833212063287
D_0622,D,6,0.16099579745157383,0.09927257586091714,0.11196126985146654,0.18909836831219443,0.36824770962509673,0.2487853787027212,-0.1791493413129023,-0.05968701039052676,0.053382032876245045,0.17989350025698675
D_0701,D,7,0.26424060708962116,0.12054420424106263,0.31790592521337946,0.10282181790198679,0.21507546116318935,0.1045261542321294,-0.11225364326120256,-0.0017043363301426084,0.022747970253542374,-0.03126922944733834
D_0708,D,7,0.23913543920813785,0.09290476252654832,0.24433554609047892,0.09431376888531147,0.12660739313546246,0.10951230486293521,-0.03229362425015099,-0.015198535977623745,0.08370618501652875,0.19473677664022465
D_0715,D,7,0.39072085030681,0.09121032328514395,0.34816099313913446,0.0983690209023344,0.22682931368216097,0.11568428692380708,-0.12846029277982657,-0.01731526602147268,0.03695001854485086,0.43931832698473944
D_0722,D,7,0.3005082999153441,0.07407663784174562,0.32759992004396565,0.1441328520218489,0.13797812738078397,0.1385980407655809,0.006154724641064924,0.00553481125626798,0.007853590195732785,0.07879241237996859
D_0801,D,8,0.3442361503944622,0.07203995442664322,0.4009543460145044,0.21047175785429617,0.242679186505239,0.16547278357609949,-0.03220742865094284,0.044998974278196685,0.006912896288507525,0.07978308443374843
D_0808,D,8,0.4340988451829515,0.06911416492854042,0.7562829704908309,0.13997181037915496,0.15098952525964443,0.16332264221550877,-0.011017714880489471,-0.023350831836353808,0.08430954083456688,-0.10458952194063653
D_0815,D,8,0.29352644176834647,0.05195794552246296,0.5583740804362242,0.13131910054869808,0.13535471173559158,0.1065212284075298,-0.004035611186893495,0.024797872141168284,-0.02318752108980217,-0.06549974838888356
D_0822,D,8,0.3418177696312481,0.13546798167001078,0.6432526018842908,0.20629094434850845,0.17736845179281838,0.19163633321000817,0.02892249255569007,0.014654611138500279,0.03722916083082356,0.019148241314923098
D_0901,D,9,0.2189027760009335,0.05490111970666856,0.2050695996446076,0.10039183835303613,0.08311508418072676,0.07177691316755207,0.017276754172309366,0.028614925185484058,-0.004270028170678189,0.11597650691873881
D_0908,D,9,0.281906834541583,0.14165341101242607,0.20822706707748243,0.15348085988238225,0.12732194857709864,0.18518923182745908,0.02615891130528361,-0.031708371945076835,0.10881079881207595,0.228015610059791
