role,signal,cohort,n,threshold,latest_primary,f0_primary,mixture_primary,damage_mean,harmful_origins,mixture_gain_mean,weather_error_proxy_mean
C,input_spread,low,6,0.21646572114440515,0.14757096690763113,0.38426196802479023,0.16239743452763364,-0.23669100111715904,0,-0.014826467620002537,0.15330744699097074
C,input_spread,high,6,0.21646572114440515,0.22345222290004238,0.3203871927321834,0.20913985210456454,-0.09693496983214105,0,0.014312370795477826,0.22469761867017005
C,output_spread,low,6,0.09377195722145668,0.11667189086389589,0.2942119313114912,0.12710728217430653,-0.17754004044759533,0,-0.010435391310410632,0.18038644986184735
C,output_spread,high,6,0.09377195722145668,0.2543512989437776,0.4104372294454824,0.24443000445789168,-0.15608593050170474,0,0.00992129448588592,0.19761861579929343
D,input_spread,low,3,0.21646572114440515,0.15438171739926707,0.2341069852749945,0.16375873917088743,-0.07972526787572745,0,-0.009377021771620383,0.15786760405759961
D,input_spread,high,13,0.21646572114440515,0.14834720801528875,0.16963223797469193,0.1441357680421578,-0.02128502995940323,5,0.004211439973130913,0.3553114196336959
D,output_spread,low,8,0.09377195722145668,0.1317984561820968,0.15869688115523367,0.12140131263513104,-0.02689842497313687,2,0.01039714354696575,0.3773194098265632
D,output_spread,high,8,0.09377195722145668,0.1671589008674725,0.2047456250317637,0.17422883762245817,-0.037586724164291166,3,-0.00706993675498566,0.2592619985997926
