arm,cp,dataset,id,micro,cold_peak_MiB,warm_peak_MiB,fp32_peak_MiB,evaluation_peak_MiB,complete_preliminary_BF16_peak_bytes,checkpoint_FP32_passed,arm_FP32_microbatch_passed,timing_blocks_completed,selection_eligibility
query,0,electricity,electricity_query_cp0_mb1,1,851.890625,860.890625,706.23779296875,609.46337890625,902709248,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
query,0,electricity,electricity_query_cp0_mb2,2,938.970703125,947.970703125,868.58056640625,609.43994140625,994019328,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
query,12,electricity,electricity_query_cp12_mb1,1,604.9716796875,613.9716796875,650.189453125,609.46337890625,643795968,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
query,12,electricity,electricity_query_cp12_mb2,2,674.82080078125,683.82080078125,757.9619140625,609.43994140625,717038080,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
side,0,electricity,electricity_side_cp0_mb1,1,646.97314453125,655.97314453125,644.3505859375,603.36962890625,687837696,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
side,0,electricity,electricity_side_cp0_mb2,2,749.99609375,758.99609375,749.36083984375,603.36962890625,795865088,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
side,12,electricity,electricity_side_cp12_mb1,1,598.9013671875,607.9013671875,608.271484375,603.36962890625,637430784,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
side,12,electricity,electricity_side_cp12_mb2,2,662.86767578125,671.86767578125,674.2197265625,603.36962890625,704504320,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,0,electricity,electricity_standard_cp0_mb1,1,1304.357421875,1313.357421875,1264.669921875,574.34619140625,1377155072,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,0,electricity,electricity_standard_cp0_mb2,2,1822.1845703125,1831.1845703125,1990.0126953125,574.34619140625,1920136192,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,12,electricity,electricity_standard_cp12_mb1,1,637.52734375,646.52734375,657.4052734375,574.34619140625,677933056,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,12,electricity,electricity_standard_cp12_mb2,2,723.94921875,732.94921875,772.73974609375,574.34619140625,768552960,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,3,electricity,electricity_standard_cp3_mb1,1,1183.275390625,1192.275390625,1156.7734375,574.34619140625,1250191360,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,3,electricity,electricity_standard_cp3_mb2,2,1621.8271484375,1630.8271484375,1773.74365234375,574.34619140625,1710046208,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,6,electricity,electricity_standard_cp6_mb1,1,1001.359375,1010.359375,990.3173828125,574.34619140625,1059438592,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,6,electricity,electricity_standard_cp6_mb2,2,1320.919921875,1329.919921875,1440.07568359375,574.34619140625,1394522112,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,9,electricity,electricity_standard_cp9_mb1,1,819.443359375,828.443359375,823.861328125,574.34619140625,868685824,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,9,electricity,electricity_standard_cp9_mb2,2,1023.4970703125,1032.4970703125,1106.40771484375,574.34619140625,1082651648,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
query,0,ettm2,ettm2_query_cp0_mb1,1,851.890625,860.890625,706.23779296875,609.46337890625,902709248,True,True,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
query,0,ettm2,ettm2_query_cp0_mb2,2,938.970703125,947.970703125,868.58056640625,609.43994140625,994019328,True,True,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
query,12,ettm2,ettm2_query_cp12_mb1,1,604.9716796875,613.9716796875,650.189453125,609.46337890625,643795968,True,True,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
query,12,ettm2,ettm2_query_cp12_mb2,2,674.82080078125,683.82080078125,757.9619140625,609.43994140625,717038080,True,True,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
side,0,ettm2,ettm2_side_cp0_mb1,1,646.97314453125,655.97314453125,644.3505859375,603.36962890625,687837696,True,True,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
side,0,ettm2,ettm2_side_cp0_mb2,2,749.99609375,758.99609375,749.36083984375,603.36962890625,795865088,True,True,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
side,12,ettm2,ettm2_side_cp12_mb1,1,598.9013671875,607.9013671875,608.271484375,603.36962890625,637430784,True,True,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
side,12,ettm2,ettm2_side_cp12_mb2,2,662.86767578125,671.86767578125,674.2197265625,603.36962890625,704504320,True,True,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,0,ettm2,ettm2_standard_cp0_mb1,1,1304.357421875,1313.357421875,1264.669921875,574.34619140625,1377155072,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,0,ettm2,ettm2_standard_cp0_mb2,2,1822.1845703125,1831.1845703125,1990.0126953125,574.34619140625,1920136192,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,12,ettm2,ettm2_standard_cp12_mb1,1,637.52734375,646.52734375,657.4052734375,574.34619140625,677933056,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,12,ettm2,ettm2_standard_cp12_mb2,2,723.94921875,732.94921875,772.73974609375,574.34619140625,768552960,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,3,ettm2,ettm2_standard_cp3_mb1,1,1183.275390625,1192.275390625,1156.7734375,574.34619140625,1250191360,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,3,ettm2,ettm2_standard_cp3_mb2,2,1621.8271484375,1630.8271484375,1773.74365234375,574.34619140625,1710046208,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,6,ettm2,ettm2_standard_cp6_mb1,1,1001.359375,1010.359375,990.3173828125,574.34619140625,1059438592,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,6,ettm2,ettm2_standard_cp6_mb2,2,1320.919921875,1329.919921875,1440.07568359375,574.34619140625,1394522112,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,9,ettm2,ettm2_standard_cp9_mb1,1,819.443359375,828.443359375,823.861328125,574.34619140625,868685824,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
standard,9,ettm2,ettm2_standard_cp9_mb2,2,1023.4970703125,1032.4970703125,1106.40771484375,574.34619140625,1082651648,True,False,0,NOT_ADJUDICATED_WHOLE_A_NUMERICAL_STOP
