stage,timing_use,cpu_export_seconds,gradient_norm,loss,nvml_end_used_mib,nvml_start_used_mib,peak_allocated,peak_reserved,physical_free_mib,precision,process_nvml_mib,seconds,start_allocated,start_reserved,tag
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.02657513397571165,2.56622314453125,2.457408905029297,1612,1298,810276352,897581056,8242,fp32,1182,0.3191204549948452,559188480,568328192,ettm2_standard_cp12_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,13.280696868896484,2.9731976985931396,1422,1284,678400512,698351616,8432,bf16,992,0.1673283700074535,549751296,553648128,ettm2_side_cp0_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,13.280696868896484,2.9731976985931396,1430,1308,687837696,706740224,8424,bf16,1000,0.16533700400032103,559188480,578813952,ettm2_side_cp0_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.019605847002821974,13.228545188903809,2.972342014312744,1470,1304,675650560,746586112,8384,fp32,1040,0.1444442140054889,559188480,574619648,ettm2_side_cp0_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,13.272566795349121,2.9733171463012695,1562,1288,786427904,840957952,8291,bf16,1130,0.10035356499429327,549751296,553648128,ettm2_side_cp0_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,13.272566795349121,2.9733171463012695,1572,1306,795865088,851443712,8281,bf16,1140,0.1001581490127137,559188480,572522496,ettm2_side_cp0_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.01948834999348037,13.228545188903809,2.972342014312744,1606,1306,785761792,887095296,8247,fp32,1174,0.12165195700072218,559188480,572522496,ettm2_side_cp0_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,13.280696868896484,2.9731976985931396,1386,1288,627993600,656408576,8468,bf16,954,0.223218901999644,549751296,553648128,ettm2_side_cp12_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,13.280696868896484,2.9731976985931396,1390,1306,637430784,660602880,8464,bf16,958,0.21971041899814736,559188480,572522496,ettm2_side_cp12_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.01999765900836792,13.228545188903809,2.972342014312744,1412,1306,637818880,683671552,8442,fp32,980,0.18739807601377834,559188480,572522496,ettm2_side_cp12_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,13.272566795349121,2.9733171463012695,1470,1288,695067136,744488960,8383,bf16,1038,0.13092404000053648,549751296,553648128,ettm2_side_cp12_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,13.272566795349121,2.9733171463012695,1480,1306,704504320,754974720,8373,bf16,1048,0.12734632700448856,559188480,572522496,ettm2_side_cp12_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.01929103500151541,13.228545188903809,2.972342014312744,1510,1304,706970624,786432000,8343,fp32,1078,0.14097379498707596,559188480,570425344,ettm2_side_cp12_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,1.1855653524398804,2.568753480911255,1626,1288,893272064,908066816,8227,bf16,1194,0.2728676050028298,549751296,553648128,ettm2_query_cp0_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,1.1855653524398804,2.568753480911255,1634,1304,902709248,916455424,8219,bf16,1202,0.2759003910032334,559188480,570425344,ettm2_query_cp0_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.02771085500717163,1.1813417673110962,2.5593652725219727,1496,1304,740544000,771751936,8357,fp32,1064,0.22054641199065372,559188480,570425344,ettm2_query_cp0_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,1.1871347427368164,2.568542003631592,1711,1287,984582144,998244352,8142,bf16,1280,0.1626072969957022,549751296,553648128,ettm2_query_cp0_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,1.1871347427368164,2.568542003631592,1719,1305,994019328,1006632960,8134,bf16,1288,0.15930868400027975,559188480,572522496,ettm2_query_cp0_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.026554844007478096,1.1813417673110962,2.5593652725219727,1671,1303,910772736,956301312,8182,fp32,1240,0.15775711899914313,559188480,570425344,ettm2_query_cp0_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,1.1855653524398804,2.568753480911255,1386,1288,634358784,656408576,8468,bf16,954,0.403036900999723,549751296,553648128,ettm2_query_cp12_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,1.1855653524398804,2.568753480911255,1385,1301,643795968,656408576,8468,bf16,954,0.3954900690005161,559188480,568328192,ettm2_query_cp12_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.027088914008345455,1.1813417673110962,2.5593652725219727,1447,1301,681773056,721420288,8406,fp32,1016,0.32908953000151087,559188480,568328192,ettm2_query_cp12_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,1.1871347427368164,2.568542003631592,1490,1288,707600896,765460480,8364,bf16,1058,0.2192141069972422,549751296,553648128,ettm2_query_cp12_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,1.1871347427368164,2.568542003631592,1490,1299,717038080,765460480,8364,bf16,1058,0.2208904849976534,559188480,566231040,ettm2_query_cp12_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.02702973700070288,1.1813417673110962,2.5593652725219727,1576,1304,794780672,855638016,8278,fp32,1144,0.2180210140068084,559188480,570425344,ettm2_query_cp12_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.448395729064941,3.769052028656006,2085,1287,1367717888,1390411776,7768,bf16,1654,0.2283665829891106,549751296,553648128,electricity_standard_cp0_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.448395729064941,3.769052028656006,2089,1303,1377155072,1394606080,7764,bf16,1658,0.2209046379866777,559188480,570425344,electricity_standard_cp0_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.02701710700057447,9.62735652923584,3.6125199794769287,2138,1304,1326102528,1444937728,7716,fp32,1706,0.2609002289973432,559188480,570425344,electricity_standard_cp0_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.49422836303711,3.762852668762207,2635,1288,1910699008,1967128576,7218,bf16,2204,0.14254117201198824,549751296,553648128,electricity_standard_cp0_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.49422836303711,3.762852668762207,2645,1305,1920136192,1977614336,7208,bf16,2214,0.1431207940040622,559188480,572522496,electricity_standard_cp0_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.03839360098936595,9.627341270446777,3.612520694732666,2937,1303,2086679552,2283798528,6916,fp32,2506,0.23001036699861288,559188480,570425344,electricity_standard_cp0_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.448395729064941,3.769052028656006,1986,1288,1240754176,1285554176,7868,bf16,1554,0.25732627999968827,549751296,553648128,electricity_standard_cp3_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.448395729064941,3.769052028656006,1990,1301,1250191360,1289748480,7864,bf16,1558,0.24928087899752427,559188480,568328192,electricity_standard_cp3_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.027033384001697414,9.62735652923584,3.6125199794769287,2024,1304,1212964864,1325400064,7830,fp32,1592,0.2836594249965856,559188480,570425344,electricity_standard_cp3_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.49422836303711,3.762852668762207,2419,1287,1700609024,1740636160,7434,bf16,1988,0.16227503899426665,549751296,553648128,electricity_standard_cp3_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.49422836303711,3.762852668762207,2427,1303,1710046208,1749024768,7426,bf16,1996,0.15629539398651104,559188480,570425344,electricity_standard_cp3_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.026717684013419785,9.627341270446777,3.612520694732666,2694,1303,1859905024,2027945984,7160,fp32,2262,0.2513894900039304,559188480,570425344,electricity_standard_cp3_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.448395729064941,3.769052028656006,1805,1288,1050001408,1096810496,8048,bf16,1374,0.2844017039897153,549751296,553648128,electricity_standard_cp6_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.448395729064941,3.769052028656006,1807,1299,1059438592,1098907648,8046,bf16,1376,0.2810487520036986,559188480,566231040,electricity_standard_cp6_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.02712694699584972,9.62735652923584,3.6125199794769287,1841,1301,1038423040,1134559232,8012,fp32,1410,0.3006223270058399,559188480,568328192,electricity_standard_cp6_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.49422836303711,3.762852668762207,2128,1288,1385084928,1434451968,7726,bf16,1696,0.17403954900510143,549751296,553648128,electricity_standard_cp6_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.49422836303711,3.762852668762207,2132,1301,1394522112,1438646272,7722,bf16,1700,0.16694305899727624,559188480,568328192,electricity_standard_cp6_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.02669548500853125,9.627341270446777,3.612520694732666,2330,1304,1510028800,1646264320,7524,fp32,1898,0.2691734520049067,559188480,570425344,electricity_standard_cp6_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.448395729064941,3.769052028656006,1625,1287,859248640,908066816,8228,bf16,1194,0.31887495299451984,549751296,553648128,electricity_standard_cp9_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.448395729064941,3.769052028656006,1626,1299,868685824,908066816,8228,bf16,1194,0.3145637489942601,559188480,566231040,electricity_standard_cp9_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.02806580500327982,9.62735652923584,3.6125199794769287,1658,1302,863881216,941621248,8196,fp32,1226,0.3246295730059501,559188480,568328192,electricity_standard_cp9_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.49422836303711,3.762852668762207,1831,1287,1073214464,1124073472,8022,bf16,1400,0.186261178998393,549751296,553648128,electricity_standard_cp9_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.49422836303711,3.762852668762207,1831,1299,1082651648,1124073472,8022,bf16,1400,0.17364692599221598,559188480,566231040,electricity_standard_cp9_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.026579675992252305,9.627341270446777,3.612520694732666,1969,1301,1160152576,1268776960,7884,fp32,1538,0.2928907539899228,559188480,568328192,electricity_standard_cp9_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.448395729064941,3.769052028656006,1446,1288,668495872,719323136,8408,bf16,1014,0.35026303099584766,549751296,553648128,electricity_standard_cp12_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.448395729064941,3.769052028656006,1426,1300,677933056,698351616,8428,bf16,994,0.3434112200047821,559188480,566231040,electricity_standard_cp12_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.028255918994545937,9.62735652923584,3.6125199794769287,1481,1302,689339392,757071872,8372,fp32,1050,0.3448648810008308,559188480,568328192,electricity_standard_cp12_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.49422836303711,3.762852668762207,1544,1288,759115776,822083584,8310,bf16,1112,0.1900985599932028,549751296,553648128,electricity_standard_cp12_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,8.49422836303711,3.762852668762207,1544,1300,768552960,822083584,8310,bf16,1112,0.18930183199699968,559188480,566231040,electricity_standard_cp12_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.027847634002682753,9.627341270446777,3.612520694732666,1616,1302,810276352,897581056,8238,fp32,1184,0.3128442539891694,559188480,568328192,electricity_standard_cp12_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,4.526091575622559,4.075651168823242,1425,1287,678400512,698351616,8428,bf16,994,0.1670079729956342,549751296,553648128,electricity_side_cp0_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,4.526091575622559,4.075651168823242,1433,1305,687837696,706740224,8420,bf16,1002,0.16206988599151373,559188480,572522496,electricity_side_cp0_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.019167341000866145,4.5739922523498535,4.083759307861328,1472,1306,675650560,746586112,8382,fp32,1040,0.14250189998710994,559188480,572522496,electricity_side_cp0_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,4.562432765960693,4.076335430145264,1562,1288,786427904,840957952,8292,bf16,1130,0.10287053399952129,549751296,553648128,electricity_side_cp0_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,4.562432765960693,4.076335430145264,1571,1306,795865088,851443712,8282,bf16,1140,0.10743745700165164,559188480,572522496,electricity_side_cp0_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.019549399003153667,4.5739922523498535,4.083759307861328,1605,1305,785761792,887095296,8248,fp32,1174,0.121038437995594,559188480,572522496,electricity_side_cp0_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,4.526091575622559,4.075651168823242,1386,1288,627993600,656408576,8468,bf16,954,0.2214991170039866,549751296,553648128,electricity_side_cp12_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,4.526091575622559,4.075651168823242,1390,1306,637430784,660602880,8464,bf16,958,0.22036497900262475,559188480,572522496,electricity_side_cp12_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.019569942000089213,4.5739922523498535,4.083759307861328,1412,1306,637818880,683671552,8442,fp32,980,0.18402223799785133,559188480,572522496,electricity_side_cp12_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,4.562432765960693,4.076335430145264,1469,1287,695067136,744488960,8384,bf16,1038,0.13255740801105276,549751296,553648128,electricity_side_cp12_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,4.562432765960693,4.076335430145264,1479,1305,704504320,754974720,8374,bf16,1048,0.12868953199358657,559188480,572522496,electricity_side_cp12_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.019438215997070074,4.5739922523498535,4.083759307861328,1509,1303,706970624,786432000,8344,fp32,1078,0.14148780799587257,559188480,570425344,electricity_side_cp12_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,2.282554864883423,3.993705987930298,1626,1288,893272064,908066816,8228,bf16,1194,0.27110295700549614,549751296,553648128,electricity_query_cp0_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,2.282554864883423,3.993705987930298,1634,1304,902709248,916455424,8220,bf16,1202,0.2774149589968147,559188480,570425344,electricity_query_cp0_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.030338536016643047,2.2609200477600098,3.9808292388916016,1496,1304,740544000,771751936,8358,fp32,1064,0.2207948630093597,559188480,570425344,electricity_query_cp0_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,2.2770016193389893,3.99574613571167,1711,1287,984582144,998244352,8142,bf16,1280,0.16433236899320036,549751296,553648128,electricity_query_cp0_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,2.2770016193389893,3.99574613571167,1720,1305,994019328,1006632960,8134,bf16,1288,0.16432879598869476,559188480,572522496,electricity_query_cp0_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.027055936006945558,2.260918617248535,3.980829954147339,1672,1304,910772736,956301312,8182,fp32,1240,0.16212806600378826,559188480,570425344,electricity_query_cp0_mb2_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,2.282554864883423,3.993705987930298,1386,1288,634358784,656408576,8468,bf16,954,0.40069914000923745,549751296,553648128,electricity_query_cp12_mb1_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,2.282554864883423,3.993705987930298,1386,1302,643795968,656408576,8468,bf16,954,0.39735740299511235,559188480,568328192,electricity_query_cp12_mb1_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.02724299499823246,2.2609200477600098,3.9808292388916016,1447,1302,681773056,721420288,8406,fp32,1016,0.3240080429823138,559188480,568328192,electricity_query_cp12_mb1_fp32
cold_optimizer_creation,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,2.2770016193389893,3.99574613571167,1490,1288,707600896,765460480,8364,bf16,1058,0.22251167500508018,549751296,553648128,electricity_query_cp12_mb2_cold
kernel_warmup,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.0,2.2770016193389893,3.99574613571167,1490,1300,717038080,765460480,8364,bf16,1058,0.22420791100012138,559188480,566231040,electricity_query_cp12_mb2_kernel
fp32_equivalence,NOT_A_REPEATED_BF16_TIMING_BLOCK,0.02762856299523264,2.260918617248535,3.980829954147339,1576,1304,794780672,855638016,8278,fp32,1144,0.21128340701397974,559188480,570425344,electricity_query_cp12_mb2_fp32
