budget_gib,status,Query_advantage
1,NOT_IDENTIFIED_DUE_TO_EXECUTION_OR_INTEGRITY,UNDETERMINED
2,NOT_IDENTIFIED_DUE_TO_EXECUTION_OR_INTEGRITY,UNDETERMINED
4,NOT_IDENTIFIED_DUE_TO_EXECUTION_OR_INTEGRITY,UNDETERMINED
8,NOT_IDENTIFIED_DUE_TO_EXECUTION_OR_INTEGRITY,UNDETERMINED
