arm,buffers_unchanged,frozen_unchanged,id,initial_lora_hash,lr,optimizer_seconds,peak_allocated_bytes,peak_reserved_bytes,seconds,seed,started_at,status,trainable_parameters,updates
G0,True,True,G0_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.979643024504185,634260480,645922816,62.79463282998768,73100,1789569068.290657,COMPLETE,1179648,512
G0,True,True,G0_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,50.78075324918609,633457664,650117120,62.589319808990695,73100,1789569132.0619655,COMPLETE,1179648,512
G1,True,True,G1_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,50.05066481989343,633457664,650117120,63.02036864499678,73100,1789569195.637035,COMPLETE,1179648,512
G1,True,True,G1_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,50.288020472595235,633457664,650117120,61.955972646013834,73100,1789569259.6219237,COMPLETE,1179648,512
G2,True,True,G2_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,50.10444663869566,633457664,650117120,62.93457943102112,73100,1789569322.6531584,COMPLETE,1179648,512
G2,True,True,G2_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,49.83540750294924,633457664,650117120,61.63816760899499,73100,1789569386.5859203,COMPLETE,1179648,512
G3,True,True,G3_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.92802750595729,633457664,650117120,62.84306791401468,73100,1789569449.1877122,COMPLETE,1179648,512
G3,True,True,G3_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,49.84184845210984,633457664,650117120,61.780181103007635,73100,1789569513.0165431,COMPLETE,1179648,512
G0,True,True,G0_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,49.84440960889333,633457664,650117120,62.61742368299747,73101,1789569575.7724738,COMPLETE,1179648,512
G1,True,True,G1_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,49.90297891528462,633457664,650117120,62.742216737999115,73101,1789569639.363475,COMPLETE,1179648,512
G2,True,True,G2_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,49.80376361173694,633457664,650117120,62.682571318990085,73101,1789569703.118046,COMPLETE,1179648,512
G3,True,True,G3_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,49.73924416070804,633457664,650117120,62.44851430100971,73101,1789569766.7912118,COMPLETE,1179648,512
G0,True,True,G0_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,49.82950496504782,633457664,650117120,62.800817584997276,73102,1789569830.2206686,COMPLETE,1179648,512
G1,True,True,G1_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,49.904708060552366,633457664,650117120,62.62931570300134,73102,1789569894.0069907,COMPLETE,1179648,512
G2,True,True,G2_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,49.923884711868595,633457664,650117120,62.84032764600124,73102,1789569957.5869708,COMPLETE,1179648,512
G3,True,True,G3_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,49.93137496750569,633457664,650117120,62.83401764900191,73102,1789570021.395125,COMPLETE,1179648,512
