arm,seed,policy,condition,score,revision
G0,73101,selected,PRIMARY,0.24728757927496445,
G0,73101,selected,standard,0.24728757927496445,
G0,73101,fixed512,PRIMARY,0.3005235782460791,
G0,73101,fixed512,standard,0.3005235782460791,
G1,73101,selected,PRIMARY,0.24747599160879108,
G1,73101,selected,standard,0.24747599160879102,
G1,73101,fixed512,PRIMARY,0.30624107491975444,
G1,73101,fixed512,standard,0.30624107491975444,
G2,73101,selected,PRIMARY,0.24839228651429515,
G2,73101,selected,standard,0.24839228651429518,
G2,73101,fixed512,PRIMARY,0.2987152647623638,
G2,73101,fixed512,standard,0.2987152647623638,
G3,73101,selected,PRIMARY,0.24559453947020576,
G3,73101,selected,standard,0.24559453947020576,
G3,73101,fixed512,PRIMARY,0.3073701301235339,
G3,73101,fixed512,standard,0.3073701301235339,
G0,73102,selected,PRIMARY,0.25012813418045,
G0,73102,selected,standard,0.25012813418044993,
G0,73102,fixed512,PRIMARY,0.31060135369339675,
G0,73102,fixed512,standard,0.31060135369339675,
G1,73102,selected,PRIMARY,0.2477412857608528,
G1,73102,selected,standard,0.24774128576085283,
G1,73102,fixed512,PRIMARY,0.3125129030756658,
G1,73102,fixed512,standard,0.31251290307566587,
G2,73102,selected,PRIMARY,0.250484460554793,
G2,73102,selected,standard,0.250484460554793,
G2,73102,fixed512,PRIMARY,0.31880569190471764,
G2,73102,fixed512,standard,0.3188056919047176,
G3,73102,selected,PRIMARY,0.2489493620786895,
G3,73102,selected,standard,0.24894936207868956,
G3,73102,fixed512,PRIMARY,0.3203264307715621,
G3,73102,fixed512,standard,0.3203264307715621,
SPECTRAL_RIDGE,73101,selected,PRIMARY,0.5779837400164913,
SPECTRAL_RIDGE,73101,selected,standard,0.5779837400164914,
SPECTRAL_RIDGE,73102,selected,PRIMARY,0.5779837400164913,
SPECTRAL_RIDGE,73102,selected,standard,0.5779837400164914,
