arm,LoRA_parameters,extra_parameters,total_trainable,frozen_parameters,input_rows,context,horizon,native_calls_per_update,CPU_fitted_scalar_entries_used,shared_prepared_CPU_scalar_storage,CPU_scalar_entries_in_forward,unique_training_origins,occurrences_per_unique_origin
G0,1179648,0,1179648,119477664,4,336,48,1,0,1920,0,64,8
G1,1179648,0,1179648,119477664,4,336,48,1,0,1920,0,64,8
G2,1179648,0,1179648,119477664,4,336,48,1,1000,1920,0,64,8
G3,1179648,0,1179648,119477664,4,336,48,1,1000,1920,0,64,8
