id,unique_origins,each_occurrences,total_updates,contaminated_updates,clip_fraction
G0_73100_1e-04,64,8,512,0,0.552734375
G0_73100_3e-05,64,8,512,0,0.431640625
G1_73100_1e-04,64,8,512,0,0.4296875
G1_73100_3e-05,64,8,512,0,0.2890625
G2_73100_1e-04,64,8,512,0,0.513671875
G2_73100_3e-05,64,8,512,0,0.384765625
G3_73100_1e-04,64,8,512,0,0.51953125
G3_73100_3e-05,64,8,512,0,0.419921875
G0_73101_3e-05,64,8,512,0,0.412109375
G1_73101_3e-05,64,8,512,0,0.28125
G2_73101_3e-05,64,8,512,0,0.396484375
G3_73101_3e-05,64,8,512,0,0.392578125
G0_73102_3e-05,64,8,512,0,0.458984375
G1_73102_3e-05,64,8,512,0,0.287109375
G2_73102_3e-05,64,8,512,0,0.416015625
G3_73102_3e-05,64,8,512,0,0.4296875
