method,baseline,seed,method_score_old,baseline_score_old,gain_percent_old,ci_low_old,ci_high_old,method_score_repaired,baseline_score_repaired,gain_percent_repaired,ci_low_repaired,ci_high_repaired,execution
A3,A2,73101,0.3856444145540346,0.3848142249083258,-0.2157377747422348,-0.2651099195438069,-0.0341113214332265,,,,,,BLOCKED_DIVERSITY
A3,A2,73102,0.4082364393949343,0.4076827640686489,-0.1358103346729277,-0.1476162102522739,-0.0735555278046284,,,,,,BLOCKED_DIVERSITY
A3,A2,MEAN,0.3969404269744845,0.3962484944884873,-0.174620849194732,-0.204295652424266,-0.054029207061681,,,,,,BLOCKED_DIVERSITY
A3,A1,73101,0.3856444145540346,0.3703567079516427,-4.127833052341521,-5.822573875337764,-2.210572997514352,,,,,,BLOCKED_DIVERSITY
A3,A1,73102,0.4082364393949343,0.3928672397965883,-3.912059352748176,-5.198146667021298,-1.807288899183976,,,,,,BLOCKED_DIVERSITY
A3,A1,MEAN,0.3969404269744845,0.3816119738741155,-4.01676418712832,-5.496773297375279,-2.006490954593684,,,,,,BLOCKED_DIVERSITY
A3,A0,73101,0.3856444145540346,0.2801907944153741,-37.63636145102212,-86.52783451391397,-0.8608071804860813,,,,,,BLOCKED_DIVERSITY
A3,A0,73102,0.4082364393949343,0.2671047854492024,-52.83756100003389,-104.9647913043933,-5.960929711057731,,,,,,BLOCKED_DIVERSITY
A3,A0,MEAN,0.3969404269744845,0.2736477899322883,-45.05522850109767,-95.68600412207358,-3.373793138526546,,,,,,BLOCKED_DIVERSITY
