arm,episodes,scaled_RMSE,raw_RMSE,raw_MAE,scaled_2pinball,gain_vs_F0_percent,target_updates,target_training_seconds,H3,H14
AFFINE,16,0.690096354651433,24.82855444612344,20.527437584959877,0.4205863413704154,1.3565919185104316,0,0.0,0.7934145010936084,0.5867782082092576
F0,16,0.6995868939172729,18.964863754095525,14.309531328405937,0.39586390699406593,0.0,0,0.0,0.7131421645764885,0.6860316232580572
LOCAL,16,0.694729330654138,18.93688450283583,14.270403901848693,0.3924889600664092,0.6943473791990914,120,12.22018880599353,0.711323288835644,0.6781353724726318
LOCAL_FIXED120,16,0.6437710514933669,19.72038339098321,14.956822456479568,0.39237873914726434,7.97840024008602,1920,195.31516325369012,0.737796480906898,0.5497456220798358
POOLED,16,0.8994718300240243,21.6915976162053,18.38765711755653,0.5761232079659291,-28.57185259539583,0,0.0,0.9108874194627388,0.8880562405853096
POOLED_AFFINE,16,0.6855545563050687,24.947227304938735,21.628876820861066,0.43355152026508337,2.005803386857556,0,0.0,0.8321502972144228,0.5389588153957146
WARM,16,0.8404109024906756,20.3076786357603,16.8321039966017,0.5347577315173913,-20.12959502212392,120,12.283847073922516,0.8931551678822284,0.7876666370991231
