building,arm,H3,H14,mean,gain_vs_F0_percent
Bear_education_Holly,AFFINE,0.5006081494948862,0.4741164531147563,0.4873623013048213,57.95739353067208
Bear_education_Holly,F0,1.1577087454153103,1.1607122195663693,1.1592104824908398,0.0
Bear_education_Holly,LOCAL,1.1520000337138143,1.1484969773013198,1.150248505507567,0.7731104159803474
Bear_education_Holly,LOCAL_FIXED120,0.9835071264369345,0.599447282213958,0.7914772043254463,31.722735751598016
Bear_education_Holly,POOLED,2.1687846358095815,2.1744111706514957,2.1715979032305386,-87.33421893876799
Bear_education_Holly,POOLED_AFFINE,0.5242806849935239,0.4775873948741202,0.500934039933822,56.786619211944505
Bear_education_Holly,WARM,2.06757424127824,2.043870893878144,2.055722567578192,-77.33816236383426
Rat_education_Debra,AFFINE,0.9121202898608706,0.7923610266521937,0.8522406582565321,-2.913350309564167
Rat_education_Debra,F0,0.7987064412350975,0.8575231066184811,0.8281147739267893,0.0
Rat_education_Debra,LOCAL,0.7985236138094397,0.8643231744814903,0.831423394145465,-0.3995364317661746
Rat_education_Debra,LOCAL_FIXED120,0.7304211971003558,0.895420361809311,0.8129207794548334,1.8347691588580635
Rat_education_Debra,POOLED,0.7898232645721869,0.8479857736819388,0.8189045191270629,1.1121954455724667
Rat_education_Debra,POOLED_AFFINE,0.795433783297386,0.7600596641809104,0.7777467237391482,6.08225475181463
Rat_education_Debra,WARM,0.7799130820903846,0.8903752199738306,0.8351441510321076,-0.8488409247894543
Rat_assembly_Kimberley,AFFINE,0.39439230730093405,0.24920833827929612,0.32180032279011506,-29.749889635614082
Rat_assembly_Kimberley,F0,0.2766726881058389,0.21935905988847537,0.24801587399715713,0.0
Rat_assembly_Kimberley,LOCAL,0.2756626080759708,0.21899015132744554,0.24732637970170818,0.2780040988250853
Rat_assembly_Kimberley,LOCAL_FIXED120,0.23605323999832012,0.23319597616636978,0.23462460808234495,5.399358395489509
Rat_assembly_Kimberley,POOLED,0.20453154175439162,0.16216218168820742,0.18334686172129952,26.07454564646087
Rat_assembly_Kimberley,POOLED_AFFINE,0.38447605243081434,0.23269109417521547,0.3085835733030149,-24.420896263499653
Rat_assembly_Kimberley,WARM,0.20247012982257195,0.17316475415913674,0.18781744199085434,24.27200768890817
Panther_lodging_Teresita,AFFINE,0.6478170507505603,0.5760336130391872,0.6119253318948737,14.121732750002565
Panther_lodging_Teresita,F0,0.7223623412647066,0.7027370499782906,0.7125496956214985,0.0
Panther_lodging_Teresita,LOCAL,0.723133750875536,0.6955091978575707,0.7093214743665534,0.4530520853186864
Panther_lodging_Teresita,LOCAL_FIXED120,0.8540866184639413,0.6089106277678756,0.7314986231159084,-2.6593131132955317
Panther_lodging_Teresita,POOLED,1.0668320352753133,1.0378481192404578,1.0523400772578855,-47.686552071293185
Panther_lodging_Teresita,POOLED_AFFINE,0.5157904523811764,0.4300666648185925,0.4729285585998845,33.62869123291284
Panther_lodging_Teresita,WARM,1.0080922101753595,0.8271855492721532,0.9176388797237564,-28.782439367036066
Fox_education_Etta,AFFINE,0.6034484097451742,0.36848826128002804,0.4859683355126011,-2.3236295361810315
Fox_education_Etta,F0,0.5286956621523932,0.4211696577457162,0.47493265994905465,0.0
Fox_education_Etta,LOCAL,0.5296912375195213,0.4146081995530171,0.4721497185362692,0.5859654741545839
Fox_education_Etta,LOCAL_FIXED120,0.5350718688650908,0.37289798633426213,0.45398492759967646,4.410674210450219
Fox_education_Etta,POOLED,0.4873790543296446,0.3882560122940439,0.43781753331184425,7.814818766347145
Fox_education_Etta,POOLED_AFFINE,0.7146376630418354,0.4251369432961689,0.5698873031690022,-19.993285622878233
Fox_education_Etta,WARM,0.49299490502589305,0.3828474517543464,0.43792117839011974,7.792995656037864
Fox_education_Otilia,AFFINE,0.6937988674616393,0.7320529074130284,0.7129258874373339,-4.799555272771598
Fox_education_Otilia,F0,0.7394457290202361,0.6211056313013513,0.6802756801607936,0.0
Fox_education_Otilia,LOCAL,0.74013780332773,0.630184909649601,0.6851613564886656,-0.7181906498137861
Fox_education_Otilia,LOCAL_FIXED120,0.6710984043092343,0.6546066485858111,0.6628525264475227,2.5611901500216407
Fox_education_Otilia,POOLED,0.8479999747714173,0.7122869725298221,0.7801434736506196,-14.68048857284163
Fox_education_Otilia,POOLED_AFFINE,0.7225153205508777,0.7464470915708148,0.7344812060608463,-7.9681704757166045
Fox_education_Otilia,WARM,0.8282274509273462,0.7113951231572934,0.7698112870423197,-13.161665114996165
Bear_assembly_Genia,AFFINE,2.11018530535579,1.0232611529306321,1.5667232291432112,-82.46918497423896
Bear_assembly_Genia,F0,0.7969541970847587,0.9202927225684436,0.8586234598266012,0.0
Bear_assembly_Genia,LOCAL,0.7942560975484374,0.9161209450459906,0.855188521297214,0.40005179104712896
Bear_assembly_Genia,LOCAL_FIXED120,1.3983519131058229,0.5725854362530225,0.9854686746794227,-14.773089810338735
Bear_assembly_Genia,POOLED,1.0320722378908551,1.1917981901221688,1.111935214006512,-29.502076990892732
Bear_assembly_Genia,POOLED_AFFINE,2.3956808945087236,0.6994317677092577,1.5475563311089906,-80.23690284697314
Bear_assembly_Genia,WARM,1.1158903818578692,0.7629419337471312,0.9394161578025002,-9.409560972421499
Rat_retail_Jeffrey,AFFINE,0.4849456287790126,0.478703912964939,0.48182477087197584,24.118800164673413
Rat_retail_Jeffrey,F0,0.6845915123335667,0.5853535383973305,0.6349725253654486,0.0
Rat_retail_Jeffrey,LOCAL,0.6771811658147021,0.5368494245646198,0.607015295189661,4.402903914574446
Rat_retail_Jeffrey,LOCAL_FIXED120,0.4937814789754847,0.460900657508076,0.47734106824178035,24.82492561909602
Rat_retail_Jeffrey,POOLED,0.6896766112985206,0.589701504474342,0.6396890578864314,-0.7427931654630696
Rat_retail_Jeffrey,POOLED_AFFINE,0.6043875265110441,0.5402499025406367,0.5723187145258404,9.867168788688733
Rat_retail_Jeffrey,WARM,0.6500789418801629,0.5095521708509491,0.579815556365556,8.6865126909464
