building,history_days,selected_steps,fixed_steps,selected_scaled_RMSE,fixed_scaled_RMSE,gain_selected_vs_fixed_percent
Bear_education_Holly,3,2,120,1.1520000337138143,0.9835071264369345,-17.131844065766828
Bear_education_Holly,14,13,120,1.1484969773013198,0.599447282213958,-91.59265733252452
Rat_education_Debra,3,2,120,0.7985236138094397,0.7304211971003558,-9.32371855847538
Rat_education_Debra,14,13,120,0.8643231744814903,0.895420361809311,3.4729149184171777
Rat_assembly_Kimberley,3,2,120,0.2756626080759708,0.23605323999832012,-16.77984512219895
Rat_assembly_Kimberley,14,13,120,0.21899015132744554,0.23319597616636978,6.091796724995517
Panther_lodging_Teresita,3,2,120,0.723133750875536,0.8540866184639413,15.332504310150833
Panther_lodging_Teresita,14,13,120,0.6955091978575707,0.6089106277678756,-14.221885140541104
Fox_education_Etta,3,2,120,0.5296912375195213,0.5350718688650908,1.0055903998433107
Fox_education_Etta,14,13,120,0.4146081995530171,0.37289798633426213,-11.185421951130175
Fox_education_Otilia,3,2,120,0.74013780332773,0.6710984043092343,-10.287522452025264
Fox_education_Otilia,14,13,120,0.630184909649601,0.6546066485858111,3.730750212966807
Bear_assembly_Genia,3,2,120,0.7942560975484374,1.3983519131058229,43.200557019702764
Bear_assembly_Genia,14,13,120,0.9161209450459906,0.5725854362530225,-59.997248802039316
Rat_retail_Jeffrey,3,2,120,0.6771811658147021,0.4937814789754847,-37.14187239661998
Rat_retail_Jeffrey,14,13,120,0.5368494245646198,0.460900657508076,-16.478337754424444
