cell,rule,candidate,loss
beijing_233_34000_native_anchor,ALL16,beijing_233_34000_native_anchor_1_step450,0.2314911108453171
beijing_233_34000_native_anchor,ALL16,beijing_233_34000_native_anchor_1_step900,0.252347372458005
beijing_233_34001_native,RECENT4,beijing_233_34001_native_0_step0,0.23950302220179195
beijing_233_34001_native,RECENT4,beijing_233_34001_native_0_step150,0.2349236387356014
beijing_233_34001_native,RECENT4,beijing_233_34001_native_0_step450,0.2524626656059069
beijing_233_34001_native,RECENT4,beijing_233_34001_native_0_step900,0.27336269406877534
beijing_233_34001_native,RECENT4,beijing_233_34001_native_1_step150,0.23306935819877506
beijing_233_34001_native,RECENT4,beijing_233_34001_native_1_step450,0.284022203447168
beijing_233_34001_native,RECENT4,beijing_233_34001_native_1_step900,0.308923244171896
beijing_233_34001_native,SPREAD4,beijing_233_34001_native_0_step0,0.19402132815845421
beijing_233_34001_native,SPREAD4,beijing_233_34001_native_0_step150,0.19909975005708816
beijing_233_34001_native,SPREAD4,beijing_233_34001_native_0_step450,0.21249107527272856
beijing_233_34001_native,SPREAD4,beijing_233_34001_native_0_step900,0.22380981577565512
beijing_233_34001_native,SPREAD4,beijing_233_34001_native_1_step150,0.20336738936173313
beijing_233_34001_native,SPREAD4,beijing_233_34001_native_1_step450,0.25190678192182125
beijing_233_34001_native,SPREAD4,beijing_233_34001_native_1_step900,0.2925691164345798
beijing_233_34001_native,ALL16,beijing_233_34001_native_0_step0,0.22845665956278377
beijing_233_34001_native,ALL16,beijing_233_34001_native_0_step150,0.22913256808397173
beijing_233_34001_native,ALL16,beijing_233_34001_native_0_step450,0.23995392554299327
beijing_233_34001_native,ALL16,beijing_233_34001_native_0_step900,0.25276881977737825
beijing_233_34001_native,ALL16,beijing_233_34001_native_1_step150,0.23170761701662665
beijing_233_34001_native,ALL16,beijing_233_34001_native_1_step450,0.25772424971552493
beijing_233_34001_native,ALL16,beijing_233_34001_native_1_step900,0.30462771236885844
beijing_233_34001_native_anchor,RECENT4,beijing_233_34001_native_anchor_0_step0,0.23950302220179195
beijing_233_34001_native_anchor,RECENT4,beijing_233_34001_native_anchor_0_step150,0.236536680699932
beijing_233_34001_native_anchor,RECENT4,beijing_233_34001_native_anchor_0_step450,0.24642928894761934
beijing_233_34001_native_anchor,RECENT4,beijing_233_34001_native_anchor_0_step900,0.2621666925962589
beijing_233_34001_native_anchor,RECENT4,beijing_233_34001_native_anchor_1_step150,0.23767124758762978
beijing_233_34001_native_anchor,RECENT4,beijing_233_34001_native_anchor_1_step450,0.2643027982072685
beijing_233_34001_native_anchor,RECENT4,beijing_233_34001_native_anchor_1_step900,0.3110226926810135
beijing_233_34001_native_anchor,SPREAD4,beijing_233_34001_native_anchor_0_step0,0.19402132815845421
