cell,source,seed,arm,rule,candidate,canonical,loss
beijing_233_34000_native,beijing,34000,native,ALL16,beijing_233_34000_native_0_step0,beijing_F0,0.19018039750971266
beijing_233_34000_native,beijing,34000,native,F0,beijing_233_34000_native_0_step0,beijing_F0,0.19018039750971266
beijing_233_34000_native,beijing,34000,native,FIXED,beijing_233_34000_native_0_step150,beijing_233_34000_native_0_step150,0.18787553821714614
beijing_233_34000_native,beijing,34000,native,RECENT4,beijing_233_34000_native_0_step150,beijing_233_34000_native_0_step150,0.18787553821714614
beijing_233_34000_native,beijing,34000,native,SPREAD4,beijing_233_34000_native_0_step450,beijing_233_34000_native_0_step450,0.18456307527591584
beijing_233_34000_native_anchor,beijing,34000,native_anchor,ALL16,beijing_233_34000_native_anchor_0_step450,beijing_233_34000_native_anchor_0_step450,0.18609333433514386
beijing_233_34000_native_anchor,beijing,34000,native_anchor,F0,beijing_233_34000_native_anchor_0_step0,beijing_F0,0.19018039750971266
beijing_233_34000_native_anchor,beijing,34000,native_anchor,FIXED,beijing_233_34000_native_anchor_0_step150,beijing_233_34000_native_anchor_0_step150,0.18851740277791393
beijing_233_34000_native_anchor,beijing,34000,native_anchor,RECENT4,beijing_233_34000_native_anchor_0_step150,beijing_233_34000_native_anchor_0_step150,0.18851740277791393
beijing_233_34000_native_anchor,beijing,34000,native_anchor,SPREAD4,beijing_233_34000_native_anchor_0_step450,beijing_233_34000_native_anchor_0_step450,0.18609333433514386
beijing_233_34001_native,beijing,34001,native,ALL16,beijing_233_34001_native_0_step0,beijing_F0,0.19018039750971266
beijing_233_34001_native,beijing,34001,native,F0,beijing_233_34001_native_0_step0,beijing_F0,0.19018039750971266
beijing_233_34001_native,beijing,34001,native,FIXED,beijing_233_34001_native_0_step150,beijing_233_34001_native_0_step150,0.18925690094394554
beijing_233_34001_native,beijing,34001,native,RECENT4,beijing_233_34001_native_1_step150,beijing_233_34001_native_1_step150,0.18954343716624544
beijing_233_34001_native,beijing,34001,native,SPREAD4,beijing_233_34001_native_0_step0,beijing_F0,0.19018039750971266
beijing_233_34001_native_anchor,beijing,34001,native_anchor,ALL16,beijing_233_34001_native_anchor_0_step0,beijing_F0,0.19018039750971266
beijing_233_34001_native_anchor,beijing,34001,native_anchor,F0,beijing_233_34001_native_anchor_0_step0,beijing_F0,0.19018039750971266
beijing_233_34001_native_anchor,beijing,34001,native_anchor,FIXED,beijing_233_34001_native_anchor_0_step150,beijing_233_34001_native_anchor_0_step150,0.18945278332516396
beijing_233_34001_native_anchor,beijing,34001,native_anchor,RECENT4,beijing_233_34001_native_anchor_0_step150,beijing_233_34001_native_anchor_0_step150,0.18945278332516396
beijing_233_34001_native_anchor,beijing,34001,native_anchor,SPREAD4,beijing_233_34001_native_anchor_0_step0,beijing_F0,0.19018039750971266
electricity_new_233_34000_native,electricity_new,34000,native,ALL16,electricity_new_233_34000_native_0_step150,electricity_new_233_34000_native_0_step150,0.2146192477090041
electricity_new_233_34000_native,electricity_new,34000,native,F0,electricity_new_233_34000_native_0_step0,electricity_new_F0,0.215498740504586
electricity_new_233_34000_native,electricity_new,34000,native,FIXED,electricity_new_233_34000_native_0_step150,electricity_new_233_34000_native_0_step150,0.2146192477090041
electricity_new_233_34000_native,electricity_new,34000,native,RECENT4,electricity_new_233_34000_native_0_step450,electricity_new_233_34000_native_0_step450,0.21594235894244973
electricity_new_233_34000_native,electricity_new,34000,native,SPREAD4,electricity_new_233_34000_native_0_step0,electricity_new_F0,0.215498740504586
