canonical,source,split,origin,channel,numerator,count
beijing_233_34000_native_0_step450,beijing,S,18624,2,3.0959727253519467,48
beijing_233_34000_native_0_step450,beijing,S,18624,3,6.857219124956051,48
beijing_233_34000_native_0_step450,beijing,S,18720,0,30.33897068913061,48
beijing_233_34000_native_0_step450,beijing,S,18720,1,9.826205584239288,48
beijing_233_34000_native_0_step450,beijing,S,18720,2,4.2221442222991845,48
beijing_233_34000_native_0_step450,beijing,S,18720,3,8.779497794826822,48
beijing_233_34000_native_0_step450,beijing,S,18816,0,15.5832141164987,48
beijing_233_34000_native_0_step450,beijing,S,18816,1,7.925342000959916,48
beijing_233_34000_native_0_step450,beijing,S,18816,2,4.574154519749426,48
beijing_233_34000_native_0_step450,beijing,S,18816,3,12.615980055604666,48
beijing_233_34000_native_0_step450,beijing,S,18912,0,24.069475587004955,42
beijing_233_34000_native_0_step450,beijing,S,18912,1,8.600808426457464,48
beijing_233_34000_native_0_step450,beijing,S,18912,2,4.26416236265448,48
beijing_233_34000_native_0_step450,beijing,S,18912,3,6.509160059267941,48
beijing_233_34000_native_0_step450,beijing,S,19008,0,12.205186497314457,46
beijing_233_34000_native_0_step450,beijing,S,19008,1,5.651895323466592,48
beijing_233_34000_native_0_step450,beijing,S,19008,2,2.8233142334309167,48
beijing_233_34000_native_0_step450,beijing,S,19008,3,8.71056213784815,48
beijing_233_34000_native_0_step450,beijing,S,19104,0,20.40606037831138,47
beijing_233_34000_native_0_step450,beijing,S,19104,1,13.984405528656428,48
beijing_233_34000_native_0_step450,beijing,S,19104,2,6.778458039913696,48
beijing_233_34000_native_0_step450,beijing,S,19104,3,19.949378298870958,48
beijing_233_34000_native_0_step450,beijing,S,19200,0,6.142643570809587,48
beijing_233_34000_native_0_step450,beijing,S,19200,1,5.554929246723132,48
beijing_233_34000_native_0_step450,beijing,S,19200,2,6.813441321039252,48
beijing_233_34000_native_0_step450,beijing,S,19200,3,11.107148443358467,48
beijing_233_34000_native_0_step450,beijing,S,19296,0,42.81830203606955,48
beijing_233_34000_native_0_step450,beijing,S,19296,1,15.078460270741177,48
beijing_233_34000_native_0_step450,beijing,S,19296,2,4.851061901209807,48
beijing_233_34000_native_0_step450,beijing,S,19296,3,24.55923785469021,48
beijing_233_34000_native_0_step450,beijing,S,19392,0,12.763225985768443,48
beijing_233_34000_native_0_step450,beijing,S,19392,1,4.805725217885785,48
beijing_233_34000_native_0_step450,beijing,S,19392,2,4.272658255987829,48
beijing_233_34000_native_0_step450,beijing,S,19392,3,4.856937704300388,48
beijing_233_34000_native_0_step450,beijing,S,19488,0,14.28393577023116,48
beijing_233_34000_native_0_step450,beijing,S,19488,1,12.964157745252313,48
beijing_233_34000_native_0_step450,beijing,S,19488,2,6.183664441204498,48
beijing_233_34000_native_0_step450,beijing,S,19488,3,8.534411507955344,48
beijing_233_34000_native_0_step450,beijing,S,19584,0,32.234117577810814,48
beijing_233_34000_native_0_step450,beijing,S,19584,1,10.544208951593136,48
beijing_233_34000_native_0_step450,beijing,S,19584,2,14.656574313841555,48
beijing_233_34000_native_0_step450,beijing,S,19584,3,7.824678950408977,48
beijing_233_34000_native_0_step450,beijing,S,19680,0,8.157077305099047,48
beijing_233_34000_native_0_step450,beijing,S,19680,1,8.221957367645802,48
beijing_233_34000_native_0_step450,beijing,S,19680,2,14.370323422050157,48
beijing_233_34000_native_0_step450,beijing,S,19680,3,14.432099898884147,48
beijing_233_34000_native_0_step450,beijing,S,19776,0,5.029340644105796,48
beijing_233_34000_native_0_step450,beijing,S,19776,1,5.265107039585432,48
beijing_233_34000_native_0_step450,beijing,S,19776,2,4.954134163442051,48
beijing_233_34000_native_0_step450,beijing,S,19776,3,6.5115959325391355,48
beijing_233_34000_native_0_step450,beijing,S,19872,0,19.876272016261634,48
beijing_233_34000_native_0_step450,beijing,S,19872,1,16.74060887325556,48
beijing_233_34000_native_0_step450,beijing,S,19872,2,8.472962621539663,48
beijing_233_34000_native_0_step450,beijing,S,19872,3,9.099987200788107,48
beijing_233_34000_native_0_step900,beijing,S,18432,0,7.105632082121072,48
beijing_233_34000_native_0_step900,beijing,S,18432,1,2.7157476824183644,48
beijing_233_34000_native_0_step900,beijing,S,18432,2,7.485662052619956,48
beijing_233_34000_native_0_step900,beijing,S,18432,3,5.463269297297572,48
beijing_233_34000_native_0_step900,beijing,S,18528,0,26.148191273845438,48
beijing_233_34000_native_0_step900,beijing,S,18528,1,8.676355870194863,48
beijing_233_34000_native_0_step900,beijing,S,18528,2,5.310931699605606,48
beijing_233_34000_native_0_step900,beijing,S,18528,3,19.61247813970178,48
beijing_233_34000_native_0_step900,beijing,S,18624,0,2.9036866283039706,48
beijing_233_34000_native_0_step900,beijing,S,18624,1,7.219839223321726,48
beijing_233_34000_native_0_step900,beijing,S,18624,2,5.707554110661683,48
beijing_233_34000_native_0_step900,beijing,S,18624,3,9.621422843718515,48
beijing_233_34000_native_0_step900,beijing,S,18720,0,37.98891620298429,48
beijing_233_34000_native_0_step900,beijing,S,18720,1,14.090461330760714,48
beijing_233_34000_native_0_step900,beijing,S,18720,2,4.580848039164328,48
beijing_233_34000_native_0_step900,beijing,S,18720,3,10.62822682585013,48
beijing_233_34000_native_0_step900,beijing,S,18816,0,19.434865433334505,48
beijing_233_34000_native_0_step900,beijing,S,18816,1,9.682582905066337,48
beijing_233_34000_native_0_step900,beijing,S,18816,2,4.773726035612661,48
beijing_233_34000_native_0_step900,beijing,S,18816,3,14.444341619631855,48
beijing_233_34000_native_0_step900,beijing,S,18912,0,23.8510753752258,42
beijing_233_34000_native_0_step900,beijing,S,18912,1,7.482980657721832,48
beijing_233_34000_native_0_step900,beijing,S,18912,2,3.955874506893798,48
beijing_233_34000_native_0_step900,beijing,S,18912,3,5.138205196438968,48
beijing_233_34000_native_0_step900,beijing,S,19008,0,12.556362172608624,46
beijing_233_34000_native_0_step900,beijing,S,19008,1,5.179169187710339,48
beijing_233_34000_native_0_step900,beijing,S,19008,2,2.913271766056295,48
beijing_233_34000_native_0_step900,beijing,S,19008,3,9.651909290461932,48
beijing_233_34000_native_0_step900,beijing,S,19104,0,26.372598154939347,47
beijing_233_34000_native_0_step900,beijing,S,19104,1,12.729723567823392,48
beijing_233_34000_native_0_step900,beijing,S,19104,2,7.204402465415103,48
beijing_233_34000_native_0_step900,beijing,S,19104,3,18.47808576701801,48
beijing_233_34000_native_0_step900,beijing,S,19200,0,5.175686268259221,48
beijing_233_34000_native_0_step900,beijing,S,19200,1,5.454411144623949,48
beijing_233_34000_native_0_step900,beijing,S,19200,2,6.7781201790522445,48
beijing_233_34000_native_0_step900,beijing,S,19200,3,16.366873701177468,48
beijing_233_34000_native_0_step900,beijing,S,19296,0,26.91142762947312,48
beijing_233_34000_native_0_step900,beijing,S,19296,1,8.40135993424385,48
beijing_233_34000_native_0_step900,beijing,S,19296,2,4.081942966403229,48
beijing_233_34000_native_0_step900,beijing,S,19296,3,16.205932032156863,48
beijing_233_34000_native_0_step900,beijing,S,19392,0,12.097106734274991,48
beijing_233_34000_native_0_step900,beijing,S,19392,1,6.923601743950234,48
beijing_233_34000_native_0_step900,beijing,S,19392,2,3.4512948051117736,48
beijing_233_34000_native_0_step900,beijing,S,19392,3,4.438682308043478,48
beijing_233_34000_native_0_step900,beijing,S,19488,0,13.636094944200595,48
beijing_233_34000_native_0_step900,beijing,S,19488,1,15.129472519412287,48
beijing_233_34000_native_0_step900,beijing,S,19488,2,5.765588869367826,48
beijing_233_34000_native_0_step900,beijing,S,19488,3,7.928664472909272,48
beijing_233_34000_native_0_step900,beijing,S,19584,0,22.249781122276783,48
beijing_233_34000_native_0_step900,beijing,S,19584,1,9.00986148965137,48
beijing_233_34000_native_0_step900,beijing,S,19584,2,16.08991538173725,48
beijing_233_34000_native_0_step900,beijing,S,19584,3,4.948499021630448,48
beijing_233_34000_native_0_step900,beijing,S,19680,0,11.787193159531453,48
beijing_233_34000_native_0_step900,beijing,S,19680,1,9.864439553796098,48
beijing_233_34000_native_0_step900,beijing,S,19680,2,22.028561710733428,48
beijing_233_34000_native_0_step900,beijing,S,19680,3,17.36153491803173,48
beijing_233_34000_native_0_step900,beijing,S,19776,0,8.368719501780824,48
beijing_233_34000_native_0_step900,beijing,S,19776,1,5.17278934247549,48
beijing_233_34000_native_0_step900,beijing,S,19776,2,5.967265263045799,48
beijing_233_34000_native_0_step900,beijing,S,19776,3,5.923861913133518,48
beijing_233_34000_native_0_step900,beijing,S,19872,0,23.709233609351752,48
beijing_233_34000_native_0_step900,beijing,S,19872,1,20.21393700878129,48
beijing_233_34000_native_0_step900,beijing,S,19872,2,7.478770681577979,48
beijing_233_34000_native_0_step900,beijing,S,19872,3,11.599191203134195,48
beijing_233_34000_native_1_step150,beijing,S,18432,0,6.595678447786623,48
beijing_233_34000_native_1_step150,beijing,S,18432,1,4.078008639706376,48
beijing_233_34000_native_1_step150,beijing,S,18432,2,6.114263381257216,48
beijing_233_34000_native_1_step150,beijing,S,18432,3,5.758414537299578,48
beijing_233_34000_native_1_step150,beijing,S,18528,0,28.46423198718268,48
beijing_233_34000_native_1_step150,beijing,S,18528,1,10.434950041633689,48
beijing_233_34000_native_1_step150,beijing,S,18528,2,5.439241908733737,48
beijing_233_34000_native_1_step150,beijing,S,18528,3,14.809630896331987,48
beijing_233_34000_native_1_step150,beijing,S,18624,0,6.56291795118889,48
beijing_233_34000_native_1_step150,beijing,S,18624,1,4.8761453677860445,48
beijing_233_34000_native_1_step150,beijing,S,18624,2,3.060945202844952,48
beijing_233_34000_native_1_step150,beijing,S,18624,3,7.4452284831100215,48
beijing_233_34000_native_1_step150,beijing,S,18720,0,33.9325843006037,48
beijing_233_34000_native_1_step150,beijing,S,18720,1,10.981019764893848,48
beijing_233_34000_native_1_step150,beijing,S,18720,2,5.494970093841169,48
beijing_233_34000_native_1_step150,beijing,S,18720,3,10.112651025448036,48
beijing_233_34000_native_1_step150,beijing,S,18816,0,14.289309695627924,48
beijing_233_34000_native_1_step150,beijing,S,18816,1,7.209252980589557,48
beijing_233_34000_native_1_step150,beijing,S,18816,2,4.113575895780876,48
beijing_233_34000_native_1_step150,beijing,S,18816,3,11.773300537096377,48
beijing_233_34000_native_1_step150,beijing,S,18912,0,26.984447573519365,42
beijing_233_34000_native_1_step150,beijing,S,18912,1,10.491177317919496,48
beijing_233_34000_native_1_step150,beijing,S,18912,2,4.286225427221792,48
beijing_233_34000_native_1_step150,beijing,S,18912,3,6.93186663408251,48
beijing_233_34000_native_1_step150,beijing,S,19008,0,12.069245734041665,46
beijing_233_34000_native_1_step150,beijing,S,19008,1,5.677626245799011,48
beijing_233_34000_native_1_step150,beijing,S,19008,2,2.848188719559483,48
beijing_233_34000_native_1_step150,beijing,S,19008,3,8.549644063006964,48
beijing_233_34000_native_1_step150,beijing,S,19104,0,19.477289064419313,47
beijing_233_34000_native_1_step150,beijing,S,19104,1,14.572421485859964,48
beijing_233_34000_native_1_step150,beijing,S,19104,2,6.730783744781372,48
beijing_233_34000_native_1_step150,beijing,S,19104,3,18.863304797008364,48
beijing_233_34000_native_1_step150,beijing,S,19200,0,6.310638458218289,48
beijing_233_34000_native_1_step150,beijing,S,19200,1,7.041463754570999,48
beijing_233_34000_native_1_step150,beijing,S,19200,2,5.577356454984951,48
beijing_233_34000_native_1_step150,beijing,S,19200,3,8.711343929478206,48
beijing_233_34000_native_1_step150,beijing,S,19296,0,48.05898159754163,48
beijing_233_34000_native_1_step150,beijing,S,19296,1,18.069247850848097,48
beijing_233_34000_native_1_step150,beijing,S,19296,2,5.718064696386649,48
beijing_233_34000_native_1_step150,beijing,S,19296,3,27.30218226268246,48
beijing_233_34000_native_1_step150,beijing,S,19392,0,13.151276992016546,48
beijing_233_34000_native_1_step150,beijing,S,19392,1,4.813305615613033,48
beijing_233_34000_native_1_step150,beijing,S,19392,2,4.239183965000576,48
beijing_233_34000_native_1_step150,beijing,S,19392,3,5.004868277409089,48
beijing_233_34000_native_1_step150,beijing,S,19488,0,13.937050127961763,48
beijing_233_34000_native_1_step150,beijing,S,19488,1,12.909050056505707,48
beijing_233_34000_native_1_step150,beijing,S,19488,2,6.790076596000321,48
beijing_233_34000_native_1_step150,beijing,S,19488,3,9.262852003819681,48
