cell,source,seed,arm,f0_loss,recent_loss,spread_loss,recent_minus_spread,recent_gain_f0,spread_gain_f0,spread_minus_recent_gain_pp,same_checkpoint
beijing_233_34000_native,beijing,34000,native,0.19018039750971266,0.18787553821714614,0.18456307527591584,0.003312462941230304,1.2119331554393287,2.953680982557596,1.7417478271182676,False
beijing_233_34000_native_anchor,beijing,34000,native_anchor,0.19018039750971266,0.18851740277791393,0.18609333433514386,0.002424068442770072,0.8744301482037881,2.1490454474205607,1.2746152992167727,False
beijing_233_34001_native,beijing,34001,native,0.19018039750971266,0.18954343716624544,0.19018039750971266,-0.0006369603434672189,0.3349242886269016,0.0,-0.3349242886269016,False
beijing_233_34001_native_anchor,beijing,34001,native_anchor,0.19018039750971266,0.18945278332516396,0.19018039750971266,-0.0007276141845486972,0.38259157835209456,0.0,-0.38259157835209456,False
electricity_new_233_34000_native,electricity_new,34000,native,0.215498740504586,0.21594235894244973,0.215498740504586,0.00044361843786372424,-0.20585662673712177,0.0,0.20585662673712177,False
electricity_new_233_34000_native_anchor,electricity_new,34000,native_anchor,0.215498740504586,0.21371202909431905,0.215498740504586,-0.0017867114102669557,0.8291052681251903,0.0,-0.8291052681251903,False
electricity_new_233_34001_native,electricity_new,34001,native,0.215498740504586,0.21790524698709277,0.215498740504586,0.0024065064825067595,-1.116714871220116,0.0,1.116714871220116,False
electricity_new_233_34001_native_anchor,electricity_new,34001,native_anchor,0.215498740504586,0.21542225172121665,0.215498740504586,-7.648878336935505e-05,0.03549384241887358,0.0,-0.03549384241887358,False
ettm2_later_233_34000_native,ettm2_later,34000,native,0.10953722808179839,0.10779878457683317,0.10837899474728652,-0.0005802101704533436,1.5870800598194879,1.0573878441098994,-0.5296922157095886,False
ettm2_later_233_34000_native_anchor,ettm2_later,34000,native_anchor,0.10953722808179839,0.108364722709958,0.108364722709958,0.0,1.0704172383883934,1.0704172383883934,0.0,True
ettm2_later_233_34001_native,ettm2_later,34001,native,0.10953722808179839,0.10834535587807509,0.10836390427172968,-1.854839365458827e-05,1.0880978317556587,1.0711644165329026,-0.016933415222756057,False
ettm2_later_233_34001_native_anchor,ettm2_later,34001,native_anchor,0.10953722808179839,0.10816349636503353,0.10859062862343544,-0.0004271322584019077,1.2541231331315106,0.8641805849387254,-0.3899425481927852,False
